title_i,title_j,cosine_similarity
Investigation of dosimetric characteristics of radiochromic film in response to alpha particles emitted from Americium‐241,Establishing a standardized murine orthotopic intra-rectal model for the study of colorectal adenocarcinoma,0.242728
Investigation of dosimetric characteristics of radiochromic film in response to alpha particles emitted from Americium‐241,Investigation of the Dosimetry Characteristics of the GAFCHROMIC® EBT3 Film Response to Alpha Particle Irradiation,0.810473
Investigation of dosimetric characteristics of radiochromic film in response to alpha particles emitted from Americium‐241,Dosimetric evaluation of unlaminated radiochromic films exposed to an Americium‐241 source using measurements and Monte Carlo simulations,0.773501
Investigation of dosimetric characteristics of radiochromic film in response to alpha particles emitted from Americium‐241,Preclinical magnetic resonance imaging in the presence of Alpha-DaRT seeds: mitigation of metal artifacts,0.485813
Establishing a standardized murine orthotopic intra-rectal model for the study of colorectal adenocarcinoma,Investigation of the Dosimetry Characteristics of the GAFCHROMIC® EBT3 Film Response to Alpha Particle Irradiation,0.122668
Establishing a standardized murine orthotopic intra-rectal model for the study of colorectal adenocarcinoma,Dosimetric evaluation of unlaminated radiochromic films exposed to an Americium‐241 source using measurements and Monte Carlo simulations,0.22184
Establishing a standardized murine orthotopic intra-rectal model for the study of colorectal adenocarcinoma,Preclinical magnetic resonance imaging in the presence of Alpha-DaRT seeds: mitigation of metal artifacts,0.388093
Investigation of the Dosimetry Characteristics of the GAFCHROMIC® EBT3 Film Response to Alpha Particle Irradiation,Dosimetric evaluation of unlaminated radiochromic films exposed to an Americium‐241 source using measurements and Monte Carlo simulations,0.793747
Investigation of the Dosimetry Characteristics of the GAFCHROMIC® EBT3 Film Response to Alpha Particle Irradiation,Preclinical magnetic resonance imaging in the presence of Alpha-DaRT seeds: mitigation of metal artifacts,0.401276
Dosimetric evaluation of unlaminated radiochromic films exposed to an Americium‐241 source using measurements and Monte Carlo simulations,Preclinical magnetic resonance imaging in the presence of Alpha-DaRT seeds: mitigation of metal artifacts,0.418946
