abstract_i,abstract_j,cosine_similarity
0,1,0.261507
0,2,0.375163
0,3,0.381188
0,4,0.41375
0,5,0.43577
0,6,0.218043
0,7,0.221963
0,8,-0.003567
0,9,0.404847
0,10,0.259756
1,2,0.082628
1,3,0.52339
1,4,0.271997
1,5,0.59246
1,6,0.211132
1,7,0.134836
1,8,0.035658
1,9,0.43456
1,10,0.328209
2,3,0.291704
2,4,0.31474
2,5,0.234706
2,6,0.282316
2,7,0.483771
2,8,0.130976
2,9,0.411583
2,10,0.198809
3,4,0.341857
3,5,0.369509
3,6,0.144891
3,7,0.183959
3,8,0.113008
3,9,0.782208
3,10,0.59052
4,5,0.362727
4,6,0.167943
4,7,0.381458
4,8,0.127084
4,9,0.333636
4,10,0.234139
5,6,0.19917
5,7,0.233889
5,8,0.058944
5,9,0.401039
5,10,0.21304
6,7,0.453989
6,8,0.117671
6,9,0.255188
6,10,0.356455
7,8,0.130133
7,9,0.24478
7,10,0.368421
8,9,0.105901
8,10,0.012381
9,10,0.579494
