title_i,title_j,cosine_similarity
Decays of neutron deficient gadolinium isotopes,LOW-LYING NEGATIVE PARITY STATES IN THE <i>A</i> = 17 NUCLEI,0.451454
Decays of neutron deficient gadolinium isotopes,"Calculations in the<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mn>50</mml:mn><mml:mo>&lt;</mml:mo><mml:mi>N</mml:mi></mml:math>,<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>Z</mml:mi><mml:mo>&lt;</mml:mo><mml:mn/><mml:mn>82</mml:mn><mml:mn/></mml:math>region with an interaction derived from the Tabakin potential",0.484179
Decays of neutron deficient gadolinium isotopes,Shell-model calculations in the <sup>16</sup>O region with the Tabakin potential,0.315681
Decays of neutron deficient gadolinium isotopes,Coupling of an odd particle to a deformed core,0.232993
Decays of neutron deficient gadolinium isotopes,Angular momentum projected quasiboson states in transitional nuclei,0.417629
Decays of neutron deficient gadolinium isotopes,"Phenomenological Approach to Four-Particle, Four-Hole States in<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:msup><mml:mrow><mml:mi mathvariant=""normal"">O</mml:mi></mml:mrow><mml:mrow><mml:mn>16</mml:mn></mml:mrow></mml:msup></mml:mrow></mml:math>",0.191136
Decays of neutron deficient gadolinium isotopes,Relation between the interacting boson approximation and the quasiparticle formalism,0.410344
Decays of neutron deficient gadolinium isotopes,Negative-parity states in odd-mass lanthanum isotopes,0.439311
Decays of neutron deficient gadolinium isotopes,Decoupling Parameter in Light Nuclei,0.318102
Decays of neutron deficient gadolinium isotopes,Angular momentum projected quasiboson states for triaxial nuclei,0.429505
Decays of neutron deficient gadolinium isotopes,"Charge radii in the<i>50≤N</i>,<i>Z≤82</i>region",0.517698
Decays of neutron deficient gadolinium isotopes,Skin thickness in the Te isotopes,0.367193
Decays of neutron deficient gadolinium isotopes,Calculations in the 50,0.505781
LOW-LYING NEGATIVE PARITY STATES IN THE <i>A</i> = 17 NUCLEI,"Calculations in the<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mn>50</mml:mn><mml:mo>&lt;</mml:mo><mml:mi>N</mml:mi></mml:math>,<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>Z</mml:mi><mml:mo>&lt;</mml:mo><mml:mn/><mml:mn>82</mml:mn><mml:mn/></mml:math>region with an interaction derived from the Tabakin potential",0.557314
LOW-LYING NEGATIVE PARITY STATES IN THE <i>A</i> = 17 NUCLEI,Shell-model calculations in the <sup>16</sup>O region with the Tabakin potential,0.510932
LOW-LYING NEGATIVE PARITY STATES IN THE <i>A</i> = 17 NUCLEI,Coupling of an odd particle to a deformed core,0.414323
LOW-LYING NEGATIVE PARITY STATES IN THE <i>A</i> = 17 NUCLEI,Angular momentum projected quasiboson states in transitional nuclei,0.571765
LOW-LYING NEGATIVE PARITY STATES IN THE <i>A</i> = 17 NUCLEI,"Phenomenological Approach to Four-Particle, Four-Hole States in<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:msup><mml:mrow><mml:mi mathvariant=""normal"">O</mml:mi></mml:mrow><mml:mrow><mml:mn>16</mml:mn></mml:mrow></mml:msup></mml:mrow></mml:math>",0.507475
LOW-LYING NEGATIVE PARITY STATES IN THE <i>A</i> = 17 NUCLEI,Relation between the interacting boson approximation and the quasiparticle formalism,0.480811
LOW-LYING NEGATIVE PARITY STATES IN THE <i>A</i> = 17 NUCLEI,Negative-parity states in odd-mass lanthanum isotopes,0.604526
LOW-LYING NEGATIVE PARITY STATES IN THE <i>A</i> = 17 NUCLEI,Decoupling Parameter in Light Nuclei,0.526025
