abstract_i,abstract_j,cosine_similarity
0,1,0.379875
0,2,0.35882
0,3,0.327022
0,4,0.270913
0,5,0.703684
0,6,0.399515
0,7,0.340003
0,8,0.320819
0,9,0.325177
0,10,0.28726
0,11,0.300857
0,12,0.330707
0,13,0.223289
0,14,0.304934
0,15,0.458741
0,16,0.1006
0,17,0.136219
0,18,0.324634
0,19,0.343824
0,20,0.019751
0,21,0.338769
0,22,0.299396
0,23,0.243303
1,2,0.423568
1,3,0.471334
1,4,0.567537
1,5,0.045874
1,6,0.420659
1,7,0.317658
1,8,0.364683
1,9,0.290525
1,10,0.161947
1,11,0.237649
1,12,0.407849
1,13,0.207652
1,14,0.290945
1,15,0.458584
1,16,0.008521
1,17,0.302476
1,18,0.645051
1,19,0.397108
1,20,0.072079
1,21,0.324473
1,22,0.160659
1,23,0.318024
2,3,0.615747
2,4,0.433582
2,5,0.102594
2,6,0.445112
2,7,0.495835
2,8,0.530554
2,9,0.167113
2,10,0.352912
2,11,0.308514
2,12,0.515718
2,13,0.363178
2,14,0.422982
2,15,0.398389
2,16,0.037537
2,17,0.292522
2,18,0.472371
2,19,0.502746
2,20,0.060086
2,21,0.631543
2,22,0.21756
2,23,0.396438
3,4,0.416363
3,5,0.075477
3,6,0.393186
3,7,0.396467
3,8,0.474599
3,9,0.277515
3,10,0.28675
3,11,0.313454
3,12,0.363115
3,13,0.276687
3,14,0.31975
3,15,0.426532
3,16,0.090041
3,17,0.25657
3,18,0.542033
3,19,0.319742
3,20,0.008772
3,21,0.395988
3,22,0.195877
3,23,0.293873
4,5,-0.011337
4,6,0.374449
4,7,0.337569
4,8,0.455233
4,9,0.256154
4,10,0.27465
4,11,0.350245
4,12,0.380229
4,13,0.268569
4,14,0.419847
4,15,0.315987
4,16,0.043475
4,17,0.560327
4,18,0.794214
4,19,0.347949
4,20,0.032718
4,21,0.32895
4,22,0.189706
4,23,0.378282
5,6,0.175047
5,7,0.148179
5,8,0.048293
5,9,0.184527
5,10,0.12041
5,11,0.129937
5,12,0.00953
5,13,0.054507
5,14,0.065203
5,15,0.221748
5,16,0.075731
5,17,0.079105
5,18,0.046493
5,19,0.109973
5,20,-0.008086
5,21,0.071641
5,22,0.19868
5,23,-0.002497
6,7,0.365421
6,8,0.430374
6,9,0.06219
6,10,0.291298
6,11,0.138563
6,12,0.353011
6,13,0.204592
6,14,0.30616
6,15,0.427081
6,16,0.028542
6,17,0.075983
6,18,0.363098
6,19,0.444382
6,20,0.099603
6,21,0.457923
6,22,0.145811
6,23,0.558375
7,8,0.612139
7,9,0.199709
7,10,0.370375
7,11,0.347249
7,12,0.412479
7,13,0.248846
7,14,0.3477
7,15,0.446385
7,16,0.094274
7,17,0.23366
7,18,0.3445
7,19,0.451221
7,20,0.065515
7,21,0.504547
7,22,0.227805
7,23,0.232985
8,9,0.133434
8,10,0.385771
8,11,0.230644
8,12,0.46207
8,13,0.302275
8,14,0.333012
8,15,0.414931
8,16,0.059331
8,17,0.19212
8,18,0.380139
8,19,0.484083
8,20,0.047534
8,21,0.535435
8,22,0.151753
8,23,0.257111
9,10,0.218312
9,11,0.58958
9,12,0.151776
9,13,0.256657
9,14,0.28748
9,15,0.151927
9,16,0.121954
9,17,0.271137
9,18,0.310379
9,19,0.133158
9,20,-0.027587
9,21,0.140196
9,22,0.187234
9,23,0.153491
10,11,0.25218
10,12,0.333856
10,13,0.46363
10,14,0.266362
10,15,0.426699
10,16,0.045755
10,17,0.123859
10,18,0.280984
10,19,0.396025
10,20,0.041079
10,21,0.364275
10,22,0.454451
10,23,0.176293
11,12,0.133073
11,13,0.301337
11,14,0.390891
11,15,0.150631
11,16,0.139691
11,17,0.427099
11,18,0.356973
11,19,0.167085
11,20,-0.016041
11,21,0.230553
11,22,0.258858
11,23,0.194276
12,13,0.300668
12,14,0.305767
12,15,0.380384
12,16,0.050214
12,17,0.136987
12,18,0.374366
12,19,0.739861
12,20,0.061206
12,21,0.588918
12,22,0.18468
12,23,0.261846
13,14,0.322011
13,15,0.315053
13,16,0.025461
13,17,0.189244
13,18,0.257319
13,19,0.312928
13,20,-0.045394
13,21,0.3321
13,22,0.258018
13,23,0.229508
14,15,0.227295
14,16,0.105941
14,17,0.376538
14,18,0.390384
14,19,0.340502
14,20,-0.083648
14,21,0.394358
14,22,0.138032
14,23,0.337813
15,16,0.015342
15,17,0.071342
15,18,0.382792
15,19,0.401663
15,20,0.053361
15,21,0.359597
15,22,0.296606
15,23,0.29462
16,17,0.062368
16,18,0.040998
16,19,0.067283
16,20,-0.080851
16,21,0.063
16,22,0.027684
16,23,-0.030092
17,18,0.568852
17,19,0.099131
17,20,-0.043402
17,21,0.138378
17,22,0.216937
17,23,0.219867
18,19,0.336442
18,20,0.049711
18,21,0.342447
18,22,0.198921
18,23,0.294636
19,20,0.093741
19,21,0.607978
19,22,0.136225
19,23,0.297344
20,21,0.094951
20,22,-0.023651
20,23,0.018872
21,22,0.098486
21,23,0.300993
22,23,0.107805
