title_i,title_j,cosine_similarity
Resonant pseudo-Dirac dark matter as a sub-GeV thermal target,Photon-dark photon conversion with multiple level crossings,0.59276
Resonant pseudo-Dirac dark matter as a sub-GeV thermal target,Photon conversion to axions and dark photons in magnetized plasmas: a finite-temperature field theory approach,0.417232
Resonant pseudo-Dirac dark matter as a sub-GeV thermal target,"Large-<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>N</mml:mi></mml:math> phase transition in a finite lattice gauge theory",0.094277
Resonant pseudo-Dirac dark matter as a sub-GeV thermal target,Analytical Computation of Cosmological Correlators from Symmetries and Singularities,0.360026
Resonant pseudo-Dirac dark matter as a sub-GeV thermal target,Resonant axion and dark photon production in magnetic white dwarfs,0.465855
Resonant pseudo-Dirac dark matter as a sub-GeV thermal target,Spectral Surgery in a Heat Bath: a finite-temperature guide to particle production for phenomenologists,0.471285
Resonant pseudo-Dirac dark matter as a sub-GeV thermal target,Parametric Resonance and Backreaction Effects in Magnetogenesis from Ultralight Dark Matter,0.624044
Photon-dark photon conversion with multiple level crossings,Photon conversion to axions and dark photons in magnetized plasmas: a finite-temperature field theory approach,0.434747
Photon-dark photon conversion with multiple level crossings,"Large-<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>N</mml:mi></mml:math> phase transition in a finite lattice gauge theory",0.164697
Photon-dark photon conversion with multiple level crossings,Analytical Computation of Cosmological Correlators from Symmetries and Singularities,0.249897
Photon-dark photon conversion with multiple level crossings,Resonant axion and dark photon production in magnetic white dwarfs,0.426019
Photon-dark photon conversion with multiple level crossings,Spectral Surgery in a Heat Bath: a finite-temperature guide to particle production for phenomenologists,0.420159
Photon-dark photon conversion with multiple level crossings,Parametric Resonance and Backreaction Effects in Magnetogenesis from Ultralight Dark Matter,0.547232
Photon conversion to axions and dark photons in magnetized plasmas: a finite-temperature field theory approach,"Large-<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>N</mml:mi></mml:math> phase transition in a finite lattice gauge theory",0.203644
Photon conversion to axions and dark photons in magnetized plasmas: a finite-temperature field theory approach,Analytical Computation of Cosmological Correlators from Symmetries and Singularities,0.373762
Photon conversion to axions and dark photons in magnetized plasmas: a finite-temperature field theory approach,Resonant axion and dark photon production in magnetic white dwarfs,0.63199
Photon conversion to axions and dark photons in magnetized plasmas: a finite-temperature field theory approach,Spectral Surgery in a Heat Bath: a finite-temperature guide to particle production for phenomenologists,0.493325
Photon conversion to axions and dark photons in magnetized plasmas: a finite-temperature field theory approach,Parametric Resonance and Backreaction Effects in Magnetogenesis from Ultralight Dark Matter,0.487661
"Large-<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>N</mml:mi></mml:math> phase transition in a finite lattice gauge theory",Analytical Computation of Cosmological Correlators from Symmetries and Singularities,0.239434
"Large-<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>N</mml:mi></mml:math> phase transition in a finite lattice gauge theory",Resonant axion and dark photon production in magnetic white dwarfs,0.151917
"Large-<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>N</mml:mi></mml:math> phase transition in a finite lattice gauge theory",Spectral Surgery in a Heat Bath: a finite-temperature guide to particle production for phenomenologists,0.269308
"Large-<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>N</mml:mi></mml:math> phase transition in a finite lattice gauge theory",Parametric Resonance and Backreaction Effects in Magnetogenesis from Ultralight Dark Matter,0.199535
Analytical Computation of Cosmological Correlators from Symmetries and Singularities,Resonant axion and dark photon production in magnetic white dwarfs,0.298814
Analytical Computation of Cosmological Correlators from Symmetries and Singularities,Spectral Surgery in a Heat Bath: a finite-temperature guide to particle production for phenomenologists,0.311641
Analytical Computation of Cosmological Correlators from Symmetries and Singularities,Parametric Resonance and Backreaction Effects in Magnetogenesis from Ultralight Dark Matter,0.401619
Resonant axion and dark photon production in magnetic white dwarfs,Spectral Surgery in a Heat Bath: a finite-temperature guide to particle production for phenomenologists,0.391772
Resonant axion and dark photon production in magnetic white dwarfs,Parametric Resonance and Backreaction Effects in Magnetogenesis from Ultralight Dark Matter,0.54027
Spectral Surgery in a Heat Bath: a finite-temperature guide to particle production for phenomenologists,Parametric Resonance and Backreaction Effects in Magnetogenesis from Ultralight Dark Matter,0.436529
