title_i,title_j,cosine_similarity
Coherent heterodyne time-domain spectrometry covering the entire “terahertz gap”,"Metabolic profiling to discriminate wheat near isogenic lines, with quantitative trait loci at chromosome 2DL, varying in resistance to fusarium head blight",0.054133
Coherent heterodyne time-domain spectrometry covering the entire “terahertz gap”,Biosynthesis of 3-Acetyldeoxynivalenol and Sambucinol,0.064538
Coherent heterodyne time-domain spectrometry covering the entire “terahertz gap”,Biosynthesis of Trichothecenes and Apotrichothecenes,0.030489
Coherent heterodyne time-domain spectrometry covering the entire “terahertz gap”,"Publisher's Note: “Coherent heterodyne time-domain spectrometry covering the entire ‘terahertz gap’” [Appl. Phys. Lett. 92, 011131 (2008)]",-0.001639
Coherent heterodyne time-domain spectrometry covering the entire “terahertz gap”,Intense terahertz wave generation from gases,0.587447
"Metabolic profiling to discriminate wheat near isogenic lines, with quantitative trait loci at chromosome 2DL, varying in resistance to fusarium head blight",Biosynthesis of 3-Acetyldeoxynivalenol and Sambucinol,0.479328
"Metabolic profiling to discriminate wheat near isogenic lines, with quantitative trait loci at chromosome 2DL, varying in resistance to fusarium head blight",Biosynthesis of Trichothecenes and Apotrichothecenes,0.515168
"Metabolic profiling to discriminate wheat near isogenic lines, with quantitative trait loci at chromosome 2DL, varying in resistance to fusarium head blight","Publisher's Note: “Coherent heterodyne time-domain spectrometry covering the entire ‘terahertz gap’” [Appl. Phys. Lett. 92, 011131 (2008)]",-0.007235
"Metabolic profiling to discriminate wheat near isogenic lines, with quantitative trait loci at chromosome 2DL, varying in resistance to fusarium head blight",Intense terahertz wave generation from gases,-0.025721
Biosynthesis of 3-Acetyldeoxynivalenol and Sambucinol,Biosynthesis of Trichothecenes and Apotrichothecenes,0.886946
Biosynthesis of 3-Acetyldeoxynivalenol and Sambucinol,"Publisher's Note: “Coherent heterodyne time-domain spectrometry covering the entire ‘terahertz gap’” [Appl. Phys. Lett. 92, 011131 (2008)]",0.000496
Biosynthesis of 3-Acetyldeoxynivalenol and Sambucinol,Intense terahertz wave generation from gases,-0.010459
Biosynthesis of Trichothecenes and Apotrichothecenes,"Publisher's Note: “Coherent heterodyne time-domain spectrometry covering the entire ‘terahertz gap’” [Appl. Phys. Lett. 92, 011131 (2008)]",0.007989
Biosynthesis of Trichothecenes and Apotrichothecenes,Intense terahertz wave generation from gases,-0.045567
"Publisher's Note: “Coherent heterodyne time-domain spectrometry covering the entire ‘terahertz gap’” [Appl. Phys. Lett. 92, 011131 (2008)]",Intense terahertz wave generation from gases,-0.028205
