title_i,title_j,cosine_similarity
Simultaneously generating multiple chirped microwave waveforms using an arrayed waveguide Sagnac interferometer,A Review of Recent Results on Simultaneous Interrogation of Multiple Fiber Bragg Grating-Based Sensors Using Microwave Photonics,0.58347
Simultaneously generating multiple chirped microwave waveforms using an arrayed waveguide Sagnac interferometer,"Integrated Microwave Photonics for Spectral Analysis, Waveform Generation, and Filtering",0.509301
Simultaneously generating multiple chirped microwave waveforms using an arrayed waveguide Sagnac interferometer,Simultaneously Generating Multiple Chirped Microwave Pulses With Superimposed FBGs,0.834543
Simultaneously generating multiple chirped microwave waveforms using an arrayed waveguide Sagnac interferometer,Simultaneous Generation of WDM Chirped Microwave Waveforms Using Integrated Spectral Shapers in Silicon Photonics,0.89374
Simultaneously generating multiple chirped microwave waveforms using an arrayed waveguide Sagnac interferometer,"A dual polarized, Ku-band patch antenna using hybrid LTCC-PCB technology",0.145106
Simultaneously generating multiple chirped microwave waveforms using an arrayed waveguide Sagnac interferometer,Simultaneous Multi-Channel Microwave Photonic Signal Processing,0.666084
Simultaneously generating multiple chirped microwave waveforms using an arrayed waveguide Sagnac interferometer,Design and Implementation of a Planar Slot Antenna for SSR,0.133107
Simultaneously generating multiple chirped microwave waveforms using an arrayed waveguide Sagnac interferometer,DESIGN AND IMPLEMENTATION OF A COMPACT PRACTICAL PASSIVE BEAM-FORMING MATRIX FOR 3D S-BAND RADAR,0.28148
Simultaneously generating multiple chirped microwave waveforms using an arrayed waveguide Sagnac interferometer,Simultaneous interrogation of multiple fiber Bragg grating temperature sensors using a microwave photonic approach,0.688633
Simultaneously generating multiple chirped microwave waveforms using an arrayed waveguide Sagnac interferometer,Generating Multiple Chirped Microwave Waveforms Using an Integrated Arrayed Waveguide Sagnac Interferometer,0.662632
Simultaneously generating multiple chirped microwave waveforms using an arrayed waveguide Sagnac interferometer,"Design, fabrication, and test of a radiating element for a KU-BAND smart antenna",0.156834
Simultaneously generating multiple chirped microwave waveforms using an arrayed waveguide Sagnac interferometer,Application of Nanotechnology in High Frequency and Microwave Devices,0.154407
Simultaneously generating multiple chirped microwave waveforms using an arrayed waveguide Sagnac interferometer,Photonic generation of simultaneous multiple chirped microwave waveforms,0.899911
Simultaneously generating multiple chirped microwave waveforms using an arrayed waveguide Sagnac interferometer,Simultaneous Measurement of Multiple Fiber Bragg Grating Sensors using Microwave Photonics,0.646919
Simultaneously generating multiple chirped microwave waveforms using an arrayed waveguide Sagnac interferometer,Photonic generation of multi-channel chirped microwave waveforms,0.877386
A Review of Recent Results on Simultaneous Interrogation of Multiple Fiber Bragg Grating-Based Sensors Using Microwave Photonics,"Integrated Microwave Photonics for Spectral Analysis, Waveform Generation, and Filtering",0.504453
A Review of Recent Results on Simultaneous Interrogation of Multiple Fiber Bragg Grating-Based Sensors Using Microwave Photonics,Simultaneously Generating Multiple Chirped Microwave Pulses With Superimposed FBGs,0.524636
A Review of Recent Results on Simultaneous Interrogation of Multiple Fiber Bragg Grating-Based Sensors Using Microwave Photonics,Simultaneous Generation of WDM Chirped Microwave Waveforms Using Integrated Spectral Shapers in Silicon Photonics,0.561406
A Review of Recent Results on Simultaneous Interrogation of Multiple Fiber Bragg Grating-Based Sensors Using Microwave Photonics,"A dual polarized, Ku-band patch antenna using hybrid LTCC-PCB technology",0.07612
A Review of Recent Results on Simultaneous Interrogation of Multiple Fiber Bragg Grating-Based Sensors Using Microwave Photonics,Simultaneous Multi-Channel Microwave Photonic Signal Processing,0.583554
A Review of Recent Results on Simultaneous Interrogation of Multiple Fiber Bragg Grating-Based Sensors Using Microwave Photonics,Design and Implementation of a Planar Slot Antenna for SSR,0.082689
A Review of Recent Results on Simultaneous Interrogation of Multiple Fiber Bragg Grating-Based Sensors Using Microwave Photonics,DESIGN AND IMPLEMENTATION OF A COMPACT PRACTICAL PASSIVE BEAM-FORMING MATRIX FOR 3D S-BAND RADAR,0.18268
A Review of Recent Results on Simultaneous Interrogation of Multiple Fiber Bragg Grating-Based Sensors Using Microwave Photonics,Simultaneous interrogation of multiple fiber Bragg grating temperature sensors using a microwave photonic approach,0.828911
A Review of Recent Results on Simultaneous Interrogation of Multiple Fiber Bragg Grating-Based Sensors Using Microwave Photonics,Generating Multiple Chirped Microwave Waveforms Using an Integrated Arrayed Waveguide Sagnac Interferometer,0.374285
A Review of Recent Results on Simultaneous Interrogation of Multiple Fiber Bragg Grating-Based Sensors Using Microwave Photonics,"Design, fabrication, and test of a radiating element for a KU-BAND smart antenna",0.049945
