abstract_i,abstract_j,cosine_similarity
0,1,0.612101
0,2,0.738895
0,3,0.590604
0,4,0.289675
0,5,0.393608
0,6,0.368289
0,7,0.571614
0,8,0.685622
0,9,0.69275
0,10,0.320003
0,11,0.555822
0,12,0.583681
0,13,0.466029
0,14,0.617036
0,15,0.545435
0,16,0.736492
0,17,0.720131
0,18,0.649463
0,19,0.753255
0,20,0.559839
1,2,0.565422
1,3,0.522569
1,4,0.259491
1,5,0.279453
1,6,0.243035
1,7,0.624812
1,8,0.585533
1,9,0.619571
1,10,0.263669
1,11,0.5151
1,12,0.576087
1,13,0.494779
1,14,0.558585
1,15,0.571567
1,16,0.721641
1,17,0.645701
1,18,0.563491
1,19,0.606076
1,20,0.519699
2,3,0.561342
2,4,0.264207
2,5,0.31474
2,6,0.266185
2,7,0.593228
2,8,0.787227
2,9,0.754096
2,10,0.2789
2,11,0.563178
2,12,0.626029
2,13,0.538176
2,14,0.611831
2,15,0.518742
2,16,0.79646
2,17,0.830853
2,18,0.675653
2,19,0.786441
2,20,0.559589
3,4,0.39233
3,5,0.376646
3,6,0.350755
3,7,0.753333
3,8,0.550482
3,9,0.494041
3,10,0.347608
3,11,0.516412
3,12,0.620688
3,13,0.700645
3,14,0.839413
3,15,0.703924
3,16,0.518121
3,17,0.519017
3,18,0.794625
3,19,0.591875
3,20,0.676977
4,5,0.359631
4,6,0.292703
4,7,0.287305
4,8,0.341415
4,9,0.248781
4,10,0.719713
4,11,0.371847
4,12,0.30813
4,13,0.263755
4,14,0.385049
4,15,0.260072
4,16,0.232708
4,17,0.24914
4,18,0.333146
4,19,0.288844
4,20,0.331376
5,6,0.83133
5,7,0.288166
5,8,0.326161
5,9,0.247535
5,10,0.565964
5,11,0.315987
5,12,0.174377
5,13,0.271771
5,14,0.494707
5,15,0.260474
5,16,0.388402
5,17,0.290718
5,18,0.319496
5,19,0.313045
5,20,0.440307
6,7,0.269292
6,8,0.281762
6,9,0.235841
6,10,0.568909
6,11,0.334763
6,12,0.133331
6,13,0.249127
6,14,0.451189
6,15,0.286466
6,16,0.350299
6,17,0.224015
6,18,0.282337
6,19,0.282133
6,20,0.440658
7,8,0.547644
7,9,0.451829
7,10,0.30649
7,11,0.401481
7,12,0.607727
7,13,0.755663
7,14,0.722381
7,15,0.761307
7,16,0.568275
7,17,0.49644
7,18,0.815391
7,19,0.636405
7,20,0.649839
8,9,0.848367
8,10,0.301519
8,11,0.509139
8,12,0.652357
8,13,0.502237
8,14,0.592963
8,15,0.472124
8,16,0.666157
8,17,0.739272
8,18,0.658554
8,19,0.733984
8,20,0.469833
9,10,0.225681
9,11,0.552905
9,12,0.619356
9,13,0.414916
9,14,0.535614
9,15,0.467798
9,16,0.710089
9,17,0.784214
9,18,0.569964
9,19,0.697396
9,20,0.426835
10,11,0.352842
10,12,0.220026
10,13,0.300462
10,14,0.42443
10,15,0.288382
10,16,0.309481
10,17,0.208845
10,18,0.258556
10,19,0.266979
10,20,0.431575
11,12,0.441702
11,13,0.322803
11,14,0.516002
11,15,0.414205
11,16,0.627906
11,17,0.602191
11,18,0.46576
11,19,0.539261
11,20,0.463652
12,13,0.549079
12,14,0.578103
12,15,0.645901
12,16,0.565959
12,17,0.61289
12,18,0.645024
12,19,0.622429
12,20,0.496525
13,14,0.695977
13,15,0.713322
13,16,0.439728
13,17,0.415589
13,18,0.691333
13,19,0.48684
13,20,0.605792
14,15,0.635511
14,16,0.590959
14,17,0.536318
14,18,0.778397
14,19,0.606348
14,20,0.782551
15,16,0.538771
15,17,0.502573
15,18,0.639602
15,19,0.505359
15,20,0.633205
16,17,0.827288
16,18,0.585256
16,19,0.705009
16,20,0.528901
17,18,0.595192
17,19,0.700318
17,20,0.440887
18,19,0.813207
18,20,0.618451
19,20,0.571244
