title_i,title_j,cosine_similarity
[18F]FDG PET/CT imaging of giant cell arteritis: contemporary practical guide to image acquisition and interpretation,Variants of physiological FDG vascular activity on digital PET,0.727442
[18F]FDG PET/CT imaging of giant cell arteritis: contemporary practical guide to image acquisition and interpretation,Large-deformation image registration using fluid landmarks,0.205014
[18F]FDG PET/CT imaging of giant cell arteritis: contemporary practical guide to image acquisition and interpretation,"Strengthen Teachers Training,Promote Teachers Construction",0.065935
[18F]FDG PET/CT imaging of giant cell arteritis: contemporary practical guide to image acquisition and interpretation,Road Network-based Vehicle Trajectory Imputation via Generative Adversarial Network,0.024752
[18F]FDG PET/CT imaging of giant cell arteritis: contemporary practical guide to image acquisition and interpretation,Rapid liver tissue characterization using simultaneous multi-relaxation-time imaging: a comparative study with conventional magnetic resonance imaging,0.329346
[18F]FDG PET/CT imaging of giant cell arteritis: contemporary practical guide to image acquisition and interpretation,Effectiveness of mentalization-based therapy and dialectical behavior therapy for cluster B personality disorders: a naturalistic study of service utilization and treatment dropout,0.041202
[18F]FDG PET/CT imaging of giant cell arteritis: contemporary practical guide to image acquisition and interpretation,Diagnostic accuracy of cranial and large vessel giant cell arteritis with digital [18F]FDG PET/CT,0.926156
Variants of physiological FDG vascular activity on digital PET,Large-deformation image registration using fluid landmarks,0.277056
Variants of physiological FDG vascular activity on digital PET,"Strengthen Teachers Training,Promote Teachers Construction",0.021091
Variants of physiological FDG vascular activity on digital PET,Road Network-based Vehicle Trajectory Imputation via Generative Adversarial Network,0.063528
Variants of physiological FDG vascular activity on digital PET,Rapid liver tissue characterization using simultaneous multi-relaxation-time imaging: a comparative study with conventional magnetic resonance imaging,0.368651
Variants of physiological FDG vascular activity on digital PET,Effectiveness of mentalization-based therapy and dialectical behavior therapy for cluster B personality disorders: a naturalistic study of service utilization and treatment dropout,0.161172
Variants of physiological FDG vascular activity on digital PET,Diagnostic accuracy of cranial and large vessel giant cell arteritis with digital [18F]FDG PET/CT,0.763059
Large-deformation image registration using fluid landmarks,"Strengthen Teachers Training,Promote Teachers Construction",0.057422
Large-deformation image registration using fluid landmarks,Road Network-based Vehicle Trajectory Imputation via Generative Adversarial Network,0.052268
Large-deformation image registration using fluid landmarks,Rapid liver tissue characterization using simultaneous multi-relaxation-time imaging: a comparative study with conventional magnetic resonance imaging,0.326546
Large-deformation image registration using fluid landmarks,Effectiveness of mentalization-based therapy and dialectical behavior therapy for cluster B personality disorders: a naturalistic study of service utilization and treatment dropout,0.141413
Large-deformation image registration using fluid landmarks,Diagnostic accuracy of cranial and large vessel giant cell arteritis with digital [18F]FDG PET/CT,0.223154
"Strengthen Teachers Training,Promote Teachers Construction",Road Network-based Vehicle Trajectory Imputation via Generative Adversarial Network,0.030515
"Strengthen Teachers Training,Promote Teachers Construction",Rapid liver tissue characterization using simultaneous multi-relaxation-time imaging: a comparative study with conventional magnetic resonance imaging,-0.029959
"Strengthen Teachers Training,Promote Teachers Construction",Effectiveness of mentalization-based therapy and dialectical behavior therapy for cluster B personality disorders: a naturalistic study of service utilization and treatment dropout,0.045165
"Strengthen Teachers Training,Promote Teachers Construction",Diagnostic accuracy of cranial and large vessel giant cell arteritis with digital [18F]FDG PET/CT,0.085119
Road Network-based Vehicle Trajectory Imputation via Generative Adversarial Network,Rapid liver tissue characterization using simultaneous multi-relaxation-time imaging: a comparative study with conventional magnetic resonance imaging,0.050119
Road Network-based Vehicle Trajectory Imputation via Generative Adversarial Network,Effectiveness of mentalization-based therapy and dialectical behavior therapy for cluster B personality disorders: a naturalistic study of service utilization and treatment dropout,0.064894
Road Network-based Vehicle Trajectory Imputation via Generative Adversarial Network,Diagnostic accuracy of cranial and large vessel giant cell arteritis with digital [18F]FDG PET/CT,0.022999
Rapid liver tissue characterization using simultaneous multi-relaxation-time imaging: a comparative study with conventional magnetic resonance imaging,Effectiveness of mentalization-based therapy and dialectical behavior therapy for cluster B personality disorders: a naturalistic study of service utilization and treatment dropout,0.045263
Rapid liver tissue characterization using simultaneous multi-relaxation-time imaging: a comparative study with conventional magnetic resonance imaging,Diagnostic accuracy of cranial and large vessel giant cell arteritis with digital [18F]FDG PET/CT,0.380971
Effectiveness of mentalization-based therapy and dialectical behavior therapy for cluster B personality disorders: a naturalistic study of service utilization and treatment dropout,Diagnostic accuracy of cranial and large vessel giant cell arteritis with digital [18F]FDG PET/CT,0.10261
