abstract_i,abstract_j,cosine_similarity
0,1,0.382936
0,2,0.437929
0,3,0.328695
0,4,0.431737
0,5,0.379897
0,6,0.713511
0,7,0.467683
0,8,0.742376
0,9,0.787526
0,10,0.401178
0,11,0.799153
0,12,0.363119
0,13,0.493714
0,14,0.697017
0,15,0.331082
0,16,0.597702
1,2,0.491803
1,3,0.279908
1,4,0.449743
1,5,0.284477
1,6,0.501616
1,7,0.421206
1,8,0.363328
1,9,0.387657
1,10,0.352041
1,11,0.39504
1,12,0.284007
1,13,0.446449
1,14,0.321617
1,15,0.298245
1,16,0.314693
2,3,0.602113
2,4,0.830324
2,5,0.474303
2,6,0.427408
2,7,0.520916
2,8,0.314929
2,9,0.386798
2,10,0.652969
2,11,0.449759
2,12,0.588126
2,13,0.423362
2,14,0.482311
2,15,0.6313
2,16,0.474445
3,4,0.67508
3,5,0.393872
3,6,0.284646
3,7,0.363105
3,8,0.199027
3,9,0.24437
3,10,0.790269
3,11,0.377293
3,12,0.739525
3,13,0.326983
3,14,0.4397
3,15,0.885591
3,16,0.452687
4,5,0.454435
4,6,0.382949
4,7,0.551318
4,8,0.243372
4,9,0.36075
4,10,0.737459
4,11,0.466919
4,12,0.741378
4,13,0.373301
4,14,0.422057
4,15,0.739127
4,16,0.4089
5,6,0.35792
5,7,0.741777
5,8,0.209259
5,9,0.279551
5,10,0.463538
5,11,0.432733
5,12,0.421007
5,13,0.323665
5,14,0.347557
5,15,0.417187
5,16,0.287836
6,7,0.500484
6,8,0.665179
6,9,0.683939
6,10,0.326912
6,11,0.634996
6,12,0.333455
6,13,0.667827
6,14,0.580255
6,15,0.279668
6,16,0.535355
7,8,0.344147
7,9,0.47598
7,10,0.363262
7,11,0.448316
7,12,0.386448
7,13,0.401994
7,14,0.339656
7,15,0.419223
7,16,0.302569
8,9,0.843747
8,10,0.241448
8,11,0.558735
8,12,0.283783
8,13,0.499326
8,14,0.565987
8,15,0.189482
8,16,0.435797
9,10,0.269296
9,11,0.606035
9,12,0.313567
9,13,0.521792
9,14,0.570233
9,15,0.245225
9,16,0.467037
10,11,0.447881
10,12,0.840651
10,13,0.329581
10,14,0.44998
10,15,0.764911
10,16,0.437761
11,12,0.377473
11,13,0.498577
11,14,0.562062
11,15,0.381329
11,16,0.443947
12,13,0.364373
12,14,0.454389
12,15,0.812245
12,16,0.439403
13,14,0.51296
13,15,0.338495
13,16,0.505544
14,15,0.443911
14,16,0.815104
15,16,0.455761
