title_i,title_j,cosine_similarity
A Linear Collider Vision for the Future of Particle Physics,Topside ionosphere electron density measurements on Ariel 4,0.275436
A Linear Collider Vision for the Future of Particle Physics,Energy Depletion and Re-Acceleration of Driver Electrons in a Plasma-Wakefield Accelerator,0.46054
A Linear Collider Vision for the Future of Particle Physics,Longitudinally resolved measurement of energy-transfer efficiency in a plasma-wakefield accelerator,0.444859
A Linear Collider Vision for the Future of Particle Physics,"Status of and upgrade concepts for HALHF: the hybrid, asymmetric, linear Higgs factory",0.621861
A Linear Collider Vision for the Future of Particle Physics,Report on the Advanced Linear Collider Study Group (ALEGRO) Workshop 2024,0.710569
A Linear Collider Vision for the Future of Particle Physics,Beam-driven plasma-wakefield acceleration,0.496357
A Linear Collider Vision for the Future of Particle Physics,"Updated baseline design for HALHF: the hybrid, asymmetric, linear Higgs factory",0.655288
A Linear Collider Vision for the Future of Particle Physics,Morphological classification of radio galaxies with Wasserstein generative adversarial network-supported augmentation,0.136895
A Linear Collider Vision for the Future of Particle Physics,EDM4hep - The common event data model for the Key4hep project,0.362738
Topside ionosphere electron density measurements on Ariel 4,Energy Depletion and Re-Acceleration of Driver Electrons in a Plasma-Wakefield Accelerator,0.304484
Topside ionosphere electron density measurements on Ariel 4,Longitudinally resolved measurement of energy-transfer efficiency in a plasma-wakefield accelerator,0.375617
Topside ionosphere electron density measurements on Ariel 4,"Status of and upgrade concepts for HALHF: the hybrid, asymmetric, linear Higgs factory",0.334116
Topside ionosphere electron density measurements on Ariel 4,Report on the Advanced Linear Collider Study Group (ALEGRO) Workshop 2024,0.369342
Topside ionosphere electron density measurements on Ariel 4,Beam-driven plasma-wakefield acceleration,0.271524
Topside ionosphere electron density measurements on Ariel 4,"Updated baseline design for HALHF: the hybrid, asymmetric, linear Higgs factory",0.252581
Topside ionosphere electron density measurements on Ariel 4,Morphological classification of radio galaxies with Wasserstein generative adversarial network-supported augmentation,0.140906
Topside ionosphere electron density measurements on Ariel 4,EDM4hep - The common event data model for the Key4hep project,0.205639
Energy Depletion and Re-Acceleration of Driver Electrons in a Plasma-Wakefield Accelerator,Longitudinally resolved measurement of energy-transfer efficiency in a plasma-wakefield accelerator,0.862158
Energy Depletion and Re-Acceleration of Driver Electrons in a Plasma-Wakefield Accelerator,"Status of and upgrade concepts for HALHF: the hybrid, asymmetric, linear Higgs factory",0.654248
Energy Depletion and Re-Acceleration of Driver Electrons in a Plasma-Wakefield Accelerator,Report on the Advanced Linear Collider Study Group (ALEGRO) Workshop 2024,0.55497
Energy Depletion and Re-Acceleration of Driver Electrons in a Plasma-Wakefield Accelerator,Beam-driven plasma-wakefield acceleration,0.850504
Energy Depletion and Re-Acceleration of Driver Electrons in a Plasma-Wakefield Accelerator,"Updated baseline design for HALHF: the hybrid, asymmetric, linear Higgs factory",0.604694
Energy Depletion and Re-Acceleration of Driver Electrons in a Plasma-Wakefield Accelerator,Morphological classification of radio galaxies with Wasserstein generative adversarial network-supported augmentation,0.040455
Energy Depletion and Re-Acceleration of Driver Electrons in a Plasma-Wakefield Accelerator,EDM4hep - The common event data model for the Key4hep project,0.156552
Longitudinally resolved measurement of energy-transfer efficiency in a plasma-wakefield accelerator,"Status of and upgrade concepts for HALHF: the hybrid, asymmetric, linear Higgs factory",0.632721
Longitudinally resolved measurement of energy-transfer efficiency in a plasma-wakefield accelerator,Report on the Advanced Linear Collider Study Group (ALEGRO) Workshop 2024,0.563062
Longitudinally resolved measurement of energy-transfer efficiency in a plasma-wakefield accelerator,Beam-driven plasma-wakefield acceleration,0.813805
Longitudinally resolved measurement of energy-transfer efficiency in a plasma-wakefield accelerator,"Updated baseline design for HALHF: the hybrid, asymmetric, linear Higgs factory",0.58097
Longitudinally resolved measurement of energy-transfer efficiency in a plasma-wakefield accelerator,Morphological classification of radio galaxies with Wasserstein generative adversarial network-supported augmentation,0.051442
Longitudinally resolved measurement of energy-transfer efficiency in a plasma-wakefield accelerator,EDM4hep - The common event data model for the Key4hep project,0.181248
"Status of and upgrade concepts for HALHF: the hybrid, asymmetric, linear Higgs factory",Report on the Advanced Linear Collider Study Group (ALEGRO) Workshop 2024,0.665023
"Status of and upgrade concepts for HALHF: the hybrid, asymmetric, linear Higgs factory",Beam-driven plasma-wakefield acceleration,0.727813
"Status of and upgrade concepts for HALHF: the hybrid, asymmetric, linear Higgs factory","Updated baseline design for HALHF: the hybrid, asymmetric, linear Higgs factory",0.858984
"Status of and upgrade concepts for HALHF: the hybrid, asymmetric, linear Higgs factory",Morphological classification of radio galaxies with Wasserstein generative adversarial network-supported augmentation,0.125942
"Status of and upgrade concepts for HALHF: the hybrid, asymmetric, linear Higgs factory",EDM4hep - The common event data model for the Key4hep project,0.343708
Report on the Advanced Linear Collider Study Group (ALEGRO) Workshop 2024,Beam-driven plasma-wakefield acceleration,0.589406
Report on the Advanced Linear Collider Study Group (ALEGRO) Workshop 2024,"Updated baseline design for HALHF: the hybrid, asymmetric, linear Higgs factory",0.66885
Report on the Advanced Linear Collider Study Group (ALEGRO) Workshop 2024,Morphological classification of radio galaxies with Wasserstein generative adversarial network-supported augmentation,0.137261
Report on the Advanced Linear Collider Study Group (ALEGRO) Workshop 2024,EDM4hep - The common event data model for the Key4hep project,0.389092
Beam-driven plasma-wakefield acceleration,"Updated baseline design for HALHF: the hybrid, asymmetric, linear Higgs factory",0.683441
Beam-driven plasma-wakefield acceleration,Morphological classification of radio galaxies with Wasserstein generative adversarial network-supported augmentation,0.034922
Beam-driven plasma-wakefield acceleration,EDM4hep - The common event data model for the Key4hep project,0.175736
"Updated baseline design for HALHF: the hybrid, asymmetric, linear Higgs factory",Morphological classification of radio galaxies with Wasserstein generative adversarial network-supported augmentation,0.137916
"Updated baseline design for HALHF: the hybrid, asymmetric, linear Higgs factory",EDM4hep - The common event data model for the Key4hep project,0.374883
Morphological classification of radio galaxies with Wasserstein generative adversarial network-supported augmentation,EDM4hep - The common event data model for the Key4hep project,0.217937
