title_i,title_j,cosine_similarity
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,IEEE PSS2B Versus PSS4B: The Limits of Performance of Modern Power System Stabilizers,0.735298
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,"Wide-area monitoring and control at Hydro-Quebec: past, present and future",0.761318
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,Time-varying contingency screening for dynamic security assessment using intelligent-systems techniques,0.61003
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,Fast adaptive schemes for tracking voltage phasor and local frequency in power transmission and distribution systems,0.502041
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,"PMU configuration for system dynamic performance measurement in large, multiarea power systems",0.760896
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,A minimal realization approach to reduced-order modelling and modal analysis for power system response signals,0.527735
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,Dissipation in Computation,0.052747
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,A review of global modeling of charge transport in semiconductors and full-wave electromagnetics,-0.006587
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,An approach to PSS design for transient stability improvement through supplementary damping of the common low-frequency,0.739864
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,"Modeling and closed-loop validation of a new PSS concept, the multi-band PSS",0.701509
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,Assessing the technical value of FACTS-based wide-area damping control loops,0.688479
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,A pulse generation circuit for improved measurement of current transients in ferroelectric thin films,0.112083
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,Recurrent neural networks for phasor detection and adaptive identification in power system control and protection,0.517207
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,Large-scale active-load modulation for angle stability improvement,0.639543
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,A Flexible Curriculum for a Multi-disciplinary Undergraduate Engineering Degree,0.117251
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,PMU configuration for system dynamic performance measurement in large multi-area power systems,0.757374
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,On-line tracking of changing harmonics in stressed power systems: application to Hydro-Quebec network,0.599012
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,Online Tracking of Changing Harmonics in Stressed Power Systems: Application to Hydro-Quebec Network,0.599012
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,Active-power stabilizers for multimachine power systems: challenges and prospects,0.657791
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,Effects of transient carrier transport in millimeter-wave GaAs diodes,0.035301
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,Coupling Maxwell's equation time-domain solution with Monte-Carlo technique to simulate ultrafast optically controlled switches,0.101381
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,Electromagnetic and transport considerations in subpicosecond photoconductive switch modeling,0.14639
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,Transport in lateral surface superlattices,-0.0921
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,Monte Carlo estimation of hot carrier noise at millimeter- and submillimeter-wave frequencies,0.02645
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,On the Ziv–Merhav theorem beyond Markovianity I,0.090287
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,Monte Carlo analysis of high-field hole diffusion coefficients in nondegenerate GaAs,-0.043722
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,Laser Ablation of Thin Films on Low Temperature Cofired Ceramic,-0.09216
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,Monte Carlo simulation of electron-hole thermalization in photoexcited bulk semiconductors,-0.11134
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,Theoretical and experimental investigations of subpicosecond photoconductivity,0.066358
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,Ballistic transport in semiconductors,-0.109284
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,VLSI Implementation of Neural Classifiers,0.034289
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,The bloch-FET—A lateral surface superlattice device,-0.106436
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,Ferroelectric thin-film memory for electrically programmable IC neural networks,0.085887
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,Hot-phonon and electron-hole scattering effects on the transient transport of photogenerated electrons in GaAs,-0.013345
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,Delay time and signal propagation in large-scale integrated circuits,0.069755
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,"LOSS OF SYNCHRONISM DETECTION, A STRATEGIC FUNCTION FOR POWER SYSTEM PROTECTION",0.637981
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,Computer-Dedicated Voltage Regulation Method for Distribution Substations,0.49646
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,PMU Configuration for System Dynamic Performance Measurement in Large Multiarea Power Systems,0.760752
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,Laser Ablation of Thin Films on LTCC,-0.086977
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,A Synthetic Neural Chip,0.022204
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,Dynamic computational blocks for bit-level systolic arrays,0.06908
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,Woodchuck: a low-level synthesizer for dynamic pipelined DSP arithmetic logic blocks,0.062282
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,A pipelined associated memory implemented in VLSI,-0.06159
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,A General CAD Tool for Large-Signal GaAs MESFET Circuit Design,0.096024
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,Ferroelectric connections for IC neural networks,0.010367
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,A Monte Carlo study of Si(111) surface oxidation,-0.054838
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,A synthetic neural integrated circuit,0.020251
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,Dynamic simulation of a photoconductive switching experiment,0.111343
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,Neural processing of semantic networks,0.035595
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,A comparison of systolic architectures for matrix multiplication,0.071562
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,Anisotropy effects on the electronic transport in photoexcited GaAs,0.005386
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,&lt;title&gt;Subpicosecond Hot Electron Transport&lt;/title&gt;,0.003321
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,Ultrafast field-dependent response of bandedge photogenerated electrons in quantum-well structures,0.018482
Wide-area measurement based stabilizing control of large power systems-a decentralized/hierarchical approach,Comparisons of artificial neural networks for on-line identification of a nonlinear multivariate electromechanical process,0.486424
