title_i,title_j,cosine_similarity
An explanation for the soft X-ray excess in active galactic nuclei,A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,0.653168
An explanation for the soft X-ray excess in active galactic nuclei,On the interpretation of the multicolour disc model for black hole candidates,0.625027
An explanation for the soft X-ray excess in active galactic nuclei,Iron Kα lines from X-ray photoionized accretion discs,0.637235
An explanation for the soft X-ray excess in active galactic nuclei,X-ray reflection by photoionized accretion discs,0.68426
An explanation for the soft X-ray excess in active galactic nuclei,The spectra of accretion discs in active galactic nuclei,0.777378
An explanation for the soft X-ray excess in active galactic nuclei,The Comptonization of iron X-ray features in compact X-ray sources,0.428123
An explanation for the soft X-ray excess in active galactic nuclei,"Iron K fluorescent lines from relativistic, ionized discs",0.556261
An explanation for the soft X-ray excess in active galactic nuclei,Soft X-ray emission lines from photoionized accretion discs: constraints on their strength and width,0.75053
An explanation for the soft X-ray excess in active galactic nuclei,Spectral formation in compact X-ray sources,0.578465
An explanation for the soft X-ray excess in active galactic nuclei,X-ray photoionized accretion discs: UV and X-ray continuum spectra and polarization,0.645267
An explanation for the soft X-ray excess in active galactic nuclei,Fe Kα emission from photoionized slabs: the impact of the iron abundance,0.577084
An explanation for the soft X-ray excess in active galactic nuclei,A complete relativistic ionized accretion disc in Cygnus X-1,0.783533
An explanation for the soft X-ray excess in active galactic nuclei,Time-dependent X-ray spectra of Compton-cooled plasmas,0.571088
An explanation for the soft X-ray excess in active galactic nuclei,The spectra of accretion discs in low-mass X-ray binaries,0.637705
An explanation for the soft X-ray excess in active galactic nuclei,Saturation and beaming in astrophysical masers,0.30128
An explanation for the soft X-ray excess in active galactic nuclei,Applications of linear pulsation theory to the Cepheid mass problem and the double-mode Cepheids,0.456977
An explanation for the soft X-ray excess in active galactic nuclei,"Finite, two-component isothermal spheres. I - Equilibrium models",0.247087
An explanation for the soft X-ray excess in active galactic nuclei,The evidence against Comptonization as a mechanism to explain the Fe Kα line profile in MCG-6-30-15,0.652674
An explanation for the soft X-ray excess in active galactic nuclei,Fe emission and ionized excess absorption in the luminous quasar 3C 109 with XMM-Newton,0.755417
An explanation for the soft X-ray excess in active galactic nuclei,"Erratum: Tests of models for parton fragmentation by means of three-jet events in<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:msup><mml:mrow><mml:mi mathvariant=""italic"">e</mml:mi></mml:mrow><mml:mrow><mml:mo>+</mml:mo></mml:mrow></mml:msup></mml:mrow></mml:math><mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:msup><mml:mrow><mml:mi mathvariant=""italic"">e</mml:mi></mml:mrow><mml:mrow><mml:mi mathvariant=""normal"">−</mml:mi></mml:mrow></mml:msup></mml:mrow></mml:math>annihilation at √<i>s</i>¯=29 GeV [Phys. Rev. Lett. 54, 270 (1985)]",0.070915
An explanation for the soft X-ray excess in active galactic nuclei,X-ray reflection in the NLS1 1H 0707-495,0.762626
An explanation for the soft X-ray excess in active galactic nuclei,X-ray reflection in Galactic Black Hole Candidates: smeared edge profiles and resonant Auger destruction,0.692964
An explanation for the soft X-ray excess in active galactic nuclei,X-ray line emission from photo-ionized gas in a Seyfert nucleus,0.593546
An explanation for the soft X-ray excess in active galactic nuclei,Models of the hard X-ray spectrum of AM Herculis and implications for the accretion rate,0.61351
An explanation for the soft X-ray excess in active galactic nuclei,The effect of photoelectric absorption on the Comptonized X-ray spectrum of an accreting white dwarf,0.595948
An explanation for the soft X-ray excess in active galactic nuclei,Optically thick X-ray transfer - The shell game,0.418315
An explanation for the soft X-ray excess in active galactic nuclei,Noise environment in the NLR transonic windtunnel HST,0.023437
An explanation for the soft X-ray excess in active galactic nuclei,A comprehensive range of X-ray ionized reflection models,0.681611
An explanation for the soft X-ray excess in active galactic nuclei,"Stratigraphic notes, 1983",0.082678
An explanation for the soft X-ray excess in active galactic nuclei,X-ray spectra including reflection off matter within the innermost stable orbit,0.653404
An explanation for the soft X-ray excess in active galactic nuclei,Ionized Iron Lines in X-ray Reflection Spectra,0.647427
An explanation for the soft X-ray excess in active galactic nuclei,An explanation for the soft X-ray excess in AGN (Conference proceedings version),0.844455
An explanation for the soft X-ray excess in active galactic nuclei,Experimental study of p.bar.n annihilations between 1.0 and 1.6 GeV/c,0.250022
An explanation for the soft X-ray excess in active galactic nuclei,Comptonization of X-Rays by Low Temperature Electrons,0.486597
An explanation for the soft X-ray excess in active galactic nuclei,Optically-Thick X-Ray Transfer: The Shell Game.,0.418315
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,On the interpretation of the multicolour disc model for black hole candidates,0.551851
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,Iron Kα lines from X-ray photoionized accretion discs,0.644498
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,X-ray reflection by photoionized accretion discs,0.634064
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,The spectra of accretion discs in active galactic nuclei,0.636644
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,The Comptonization of iron X-ray features in compact X-ray sources,0.388552
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,"Iron K fluorescent lines from relativistic, ionized discs",0.626292
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,Soft X-ray emission lines from photoionized accretion discs: constraints on their strength and width,0.656398
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,Spectral formation in compact X-ray sources,0.46827
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,X-ray photoionized accretion discs: UV and X-ray continuum spectra and polarization,0.634526
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,Fe Kα emission from photoionized slabs: the impact of the iron abundance,0.512662
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,A complete relativistic ionized accretion disc in Cygnus X-1,0.699992
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,Time-dependent X-ray spectra of Compton-cooled plasmas,0.449262
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,The spectra of accretion discs in low-mass X-ray binaries,0.597127
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,Saturation and beaming in astrophysical masers,0.20476
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,Applications of linear pulsation theory to the Cepheid mass problem and the double-mode Cepheids,0.386593
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,"Finite, two-component isothermal spheres. I - Equilibrium models",0.220091
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,The evidence against Comptonization as a mechanism to explain the Fe Kα line profile in MCG-6-30-15,0.563112
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,Fe emission and ionized excess absorption in the luminous quasar 3C 109 with XMM-Newton,0.652183
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,"Erratum: Tests of models for parton fragmentation by means of three-jet events in<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:msup><mml:mrow><mml:mi mathvariant=""italic"">e</mml:mi></mml:mrow><mml:mrow><mml:mo>+</mml:mo></mml:mrow></mml:msup></mml:mrow></mml:math><mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:msup><mml:mrow><mml:mi mathvariant=""italic"">e</mml:mi></mml:mrow><mml:mrow><mml:mi mathvariant=""normal"">−</mml:mi></mml:mrow></mml:msup></mml:mrow></mml:math>annihilation at √<i>s</i>¯=29 GeV [Phys. Rev. Lett. 54, 270 (1985)]",0.051436
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,X-ray reflection in the NLS1 1H 0707-495,0.557451
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,X-ray reflection in Galactic Black Hole Candidates: smeared edge profiles and resonant Auger destruction,0.585012
