title_i,title_j,cosine_similarity
Chamber and microfluidic probe for microperfusion of organotypic brain slices,Cross-talk between GABAergic postsynapse and microglia regulate synapse loss after brain ischemia,0.400482
Chamber and microfluidic probe for microperfusion of organotypic brain slices,DNA Methylation Mediates Persistent Epileptiform Activity In Vitro and In Vivo,0.141689
Chamber and microfluidic probe for microperfusion of organotypic brain slices,Trophic factor BDNF inhibits GABAergic signaling by facilitating dendritic enrichment of SUMO E3 ligase PIAS3 and altering gephyrin scaffold,0.29422
Chamber and microfluidic probe for microperfusion of organotypic brain slices,Blocking brain‐derived neurotrophic factor inhibits injury‐induced hyperexcitability of hippocampal <scp>CA</scp>3 neurons,0.294218
Chamber and microfluidic probe for microperfusion of organotypic brain slices,Prolonged ampakine exposure prunes dendritic spines and increases presynaptic release probability for enhanced long‐term potentiation in the hippocampus,0.203053
Chamber and microfluidic probe for microperfusion of organotypic brain slices,Coexistence of Superconductivity and Magnetism,-0.031588
Chamber and microfluidic probe for microperfusion of organotypic brain slices,Coexistence of Superconductivity and Ferromagnetism,-0.032544
Chamber and microfluidic probe for microperfusion of organotypic brain slices,Superconductivity and ferromagnetism in nanomaterial NbSe2,-0.027534
Chamber and microfluidic probe for microperfusion of organotypic brain slices,MAGNETO-CAPILLARY VALVE FOR LAB-ON-A-CHIP SAMPLE PREPARATION,0.427817
Chamber and microfluidic probe for microperfusion of organotypic brain slices,"Coexistence of superconductivity, ferromagnetism and antiferromagnetism in iron pnictides",-0.078645
Chamber and microfluidic probe for microperfusion of organotypic brain slices,Blocking gephyrin phosphorylation or microglia BDNF signaling prevents synapse loss and reduces infarct volume after ischemia,0.373764
Cross-talk between GABAergic postsynapse and microglia regulate synapse loss after brain ischemia,DNA Methylation Mediates Persistent Epileptiform Activity In Vitro and In Vivo,0.357779
Cross-talk between GABAergic postsynapse and microglia regulate synapse loss after brain ischemia,Trophic factor BDNF inhibits GABAergic signaling by facilitating dendritic enrichment of SUMO E3 ligase PIAS3 and altering gephyrin scaffold,0.61764
Cross-talk between GABAergic postsynapse and microglia regulate synapse loss after brain ischemia,Blocking brain‐derived neurotrophic factor inhibits injury‐induced hyperexcitability of hippocampal <scp>CA</scp>3 neurons,0.625842
Cross-talk between GABAergic postsynapse and microglia regulate synapse loss after brain ischemia,Prolonged ampakine exposure prunes dendritic spines and increases presynaptic release probability for enhanced long‐term potentiation in the hippocampus,0.461325
Cross-talk between GABAergic postsynapse and microglia regulate synapse loss after brain ischemia,Coexistence of Superconductivity and Magnetism,-0.001882
Cross-talk between GABAergic postsynapse and microglia regulate synapse loss after brain ischemia,Coexistence of Superconductivity and Ferromagnetism,-0.028649
Cross-talk between GABAergic postsynapse and microglia regulate synapse loss after brain ischemia,Superconductivity and ferromagnetism in nanomaterial NbSe2,0.02258
Cross-talk between GABAergic postsynapse and microglia regulate synapse loss after brain ischemia,MAGNETO-CAPILLARY VALVE FOR LAB-ON-A-CHIP SAMPLE PREPARATION,0.054288
Cross-talk between GABAergic postsynapse and microglia regulate synapse loss after brain ischemia,"Coexistence of superconductivity, ferromagnetism and antiferromagnetism in iron pnictides",-0.001782
Cross-talk between GABAergic postsynapse and microglia regulate synapse loss after brain ischemia,Blocking gephyrin phosphorylation or microglia BDNF signaling prevents synapse loss and reduces infarct volume after ischemia,0.928077
DNA Methylation Mediates Persistent Epileptiform Activity In Vitro and In Vivo,Trophic factor BDNF inhibits GABAergic signaling by facilitating dendritic enrichment of SUMO E3 ligase PIAS3 and altering gephyrin scaffold,0.406857
DNA Methylation Mediates Persistent Epileptiform Activity In Vitro and In Vivo,Blocking brain‐derived neurotrophic factor inhibits injury‐induced hyperexcitability of hippocampal <scp>CA</scp>3 neurons,0.420735
DNA Methylation Mediates Persistent Epileptiform Activity In Vitro and In Vivo,Prolonged ampakine exposure prunes dendritic spines and increases presynaptic release probability for enhanced long‐term potentiation in the hippocampus,0.520676
DNA Methylation Mediates Persistent Epileptiform Activity In Vitro and In Vivo,Coexistence of Superconductivity and Magnetism,-0.014407
DNA Methylation Mediates Persistent Epileptiform Activity In Vitro and In Vivo,Coexistence of Superconductivity and Ferromagnetism,-0.041427
DNA Methylation Mediates Persistent Epileptiform Activity In Vitro and In Vivo,Superconductivity and ferromagnetism in nanomaterial NbSe2,-0.081053
DNA Methylation Mediates Persistent Epileptiform Activity In Vitro and In Vivo,MAGNETO-CAPILLARY VALVE FOR LAB-ON-A-CHIP SAMPLE PREPARATION,0.022015
DNA Methylation Mediates Persistent Epileptiform Activity In Vitro and In Vivo,"Coexistence of superconductivity, ferromagnetism and antiferromagnetism in iron pnictides",-0.067898
DNA Methylation Mediates Persistent Epileptiform Activity In Vitro and In Vivo,Blocking gephyrin phosphorylation or microglia BDNF signaling prevents synapse loss and reduces infarct volume after ischemia,0.418165
Trophic factor BDNF inhibits GABAergic signaling by facilitating dendritic enrichment of SUMO E3 ligase PIAS3 and altering gephyrin scaffold,Blocking brain‐derived neurotrophic factor inhibits injury‐induced hyperexcitability of hippocampal <scp>CA</scp>3 neurons,0.523023
Trophic factor BDNF inhibits GABAergic signaling by facilitating dendritic enrichment of SUMO E3 ligase PIAS3 and altering gephyrin scaffold,Prolonged ampakine exposure prunes dendritic spines and increases presynaptic release probability for enhanced long‐term potentiation in the hippocampus,0.352149
Trophic factor BDNF inhibits GABAergic signaling by facilitating dendritic enrichment of SUMO E3 ligase PIAS3 and altering gephyrin scaffold,Coexistence of Superconductivity and Magnetism,0.053344
Trophic factor BDNF inhibits GABAergic signaling by facilitating dendritic enrichment of SUMO E3 ligase PIAS3 and altering gephyrin scaffold,Coexistence of Superconductivity and Ferromagnetism,0.022267
Trophic factor BDNF inhibits GABAergic signaling by facilitating dendritic enrichment of SUMO E3 ligase PIAS3 and altering gephyrin scaffold,Superconductivity and ferromagnetism in nanomaterial NbSe2,0.071507
Trophic factor BDNF inhibits GABAergic signaling by facilitating dendritic enrichment of SUMO E3 ligase PIAS3 and altering gephyrin scaffold,MAGNETO-CAPILLARY VALVE FOR LAB-ON-A-CHIP SAMPLE PREPARATION,0.009097
Trophic factor BDNF inhibits GABAergic signaling by facilitating dendritic enrichment of SUMO E3 ligase PIAS3 and altering gephyrin scaffold,"Coexistence of superconductivity, ferromagnetism and antiferromagnetism in iron pnictides",0.071633
Trophic factor BDNF inhibits GABAergic signaling by facilitating dendritic enrichment of SUMO E3 ligase PIAS3 and altering gephyrin scaffold,Blocking gephyrin phosphorylation or microglia BDNF signaling prevents synapse loss and reduces infarct volume after ischemia,0.61311
Blocking brain‐derived neurotrophic factor inhibits injury‐induced hyperexcitability of hippocampal <scp>CA</scp>3 neurons,Prolonged ampakine exposure prunes dendritic spines and increases presynaptic release probability for enhanced long‐term potentiation in the hippocampus,0.539771
Blocking brain‐derived neurotrophic factor inhibits injury‐induced hyperexcitability of hippocampal <scp>CA</scp>3 neurons,Coexistence of Superconductivity and Magnetism,-0.00702
Blocking brain‐derived neurotrophic factor inhibits injury‐induced hyperexcitability of hippocampal <scp>CA</scp>3 neurons,Coexistence of Superconductivity and Ferromagnetism,-0.038837
Blocking brain‐derived neurotrophic factor inhibits injury‐induced hyperexcitability of hippocampal <scp>CA</scp>3 neurons,Superconductivity and ferromagnetism in nanomaterial NbSe2,0.032807
Blocking brain‐derived neurotrophic factor inhibits injury‐induced hyperexcitability of hippocampal <scp>CA</scp>3 neurons,MAGNETO-CAPILLARY VALVE FOR LAB-ON-A-CHIP SAMPLE PREPARATION,-0.029532
Blocking brain‐derived neurotrophic factor inhibits injury‐induced hyperexcitability of hippocampal <scp>CA</scp>3 neurons,"Coexistence of superconductivity, ferromagnetism and antiferromagnetism in iron pnictides",-0.054416
Blocking brain‐derived neurotrophic factor inhibits injury‐induced hyperexcitability of hippocampal <scp>CA</scp>3 neurons,Blocking gephyrin phosphorylation or microglia BDNF signaling prevents synapse loss and reduces infarct volume after ischemia,0.581121
Prolonged ampakine exposure prunes dendritic spines and increases presynaptic release probability for enhanced long‐term potentiation in the hippocampus,Coexistence of Superconductivity and Magnetism,0.01699
Prolonged ampakine exposure prunes dendritic spines and increases presynaptic release probability for enhanced long‐term potentiation in the hippocampus,Coexistence of Superconductivity and Ferromagnetism,-0.006141
Prolonged ampakine exposure prunes dendritic spines and increases presynaptic release probability for enhanced long‐term potentiation in the hippocampus,Superconductivity and ferromagnetism in nanomaterial NbSe2,0.00702
Prolonged ampakine exposure prunes dendritic spines and increases presynaptic release probability for enhanced long‐term potentiation in the hippocampus,MAGNETO-CAPILLARY VALVE FOR LAB-ON-A-CHIP SAMPLE PREPARATION,0.014554
Prolonged ampakine exposure prunes dendritic spines and increases presynaptic release probability for enhanced long‐term potentiation in the hippocampus,"Coexistence of superconductivity, ferromagnetism and antiferromagnetism in iron pnictides",-0.027974
Prolonged ampakine exposure prunes dendritic spines and increases presynaptic release probability for enhanced long‐term potentiation in the hippocampus,Blocking gephyrin phosphorylation or microglia BDNF signaling prevents synapse loss and reduces infarct volume after ischemia,0.519467
Coexistence of Superconductivity and Magnetism,Coexistence of Superconductivity and Ferromagnetism,0.87765
Coexistence of Superconductivity and Magnetism,Superconductivity and ferromagnetism in nanomaterial NbSe2,0.745538
Coexistence of Superconductivity and Magnetism,MAGNETO-CAPILLARY VALVE FOR LAB-ON-A-CHIP SAMPLE PREPARATION,0.187114
Coexistence of Superconductivity and Magnetism,"Coexistence of superconductivity, ferromagnetism and antiferromagnetism in iron pnictides",0.696949
Coexistence of Superconductivity and Magnetism,Blocking gephyrin phosphorylation or microglia BDNF signaling prevents synapse loss and reduces infarct volume after ischemia,0.030776
Coexistence of Superconductivity and Ferromagnetism,Superconductivity and ferromagnetism in nanomaterial NbSe2,0.744258
Coexistence of Superconductivity and Ferromagnetism,MAGNETO-CAPILLARY VALVE FOR LAB-ON-A-CHIP SAMPLE PREPARATION,0.152511
Coexistence of Superconductivity and Ferromagnetism,"Coexistence of superconductivity, ferromagnetism and antiferromagnetism in iron pnictides",0.75111
Coexistence of Superconductivity and Ferromagnetism,Blocking gephyrin phosphorylation or microglia BDNF signaling prevents synapse loss and reduces infarct volume after ischemia,-0.009545
Superconductivity and ferromagnetism in nanomaterial NbSe2,MAGNETO-CAPILLARY VALVE FOR LAB-ON-A-CHIP SAMPLE PREPARATION,0.148096
Superconductivity and ferromagnetism in nanomaterial NbSe2,"Coexistence of superconductivity, ferromagnetism and antiferromagnetism in iron pnictides",0.66877
Superconductivity and ferromagnetism in nanomaterial NbSe2,Blocking gephyrin phosphorylation or microglia BDNF signaling prevents synapse loss and reduces infarct volume after ischemia,0.040202
MAGNETO-CAPILLARY VALVE FOR LAB-ON-A-CHIP SAMPLE PREPARATION,"Coexistence of superconductivity, ferromagnetism and antiferromagnetism in iron pnictides",0.135623
MAGNETO-CAPILLARY VALVE FOR LAB-ON-A-CHIP SAMPLE PREPARATION,Blocking gephyrin phosphorylation or microglia BDNF signaling prevents synapse loss and reduces infarct volume after ischemia,0.043321
