abstract_i,abstract_j,cosine_similarity
0,1,0.253251
0,2,0.457804
0,3,0.433604
0,4,0.384431
0,5,0.22921
0,6,0.313875
0,7,-0.053811
0,8,0.140117
0,9,0.228705
0,10,0.210943
0,11,0.286584
0,12,0.134787
0,13,0.245497
0,14,0.151192
0,15,0.132959
0,16,0.419068
0,17,0.193827
0,18,0.312673
0,19,0.171015
0,20,0.204789
0,21,0.325589
0,22,0.157906
0,23,0.201837
0,24,0.170906
0,25,0.174151
0,26,0.124498
0,27,0.283385
0,28,0.181261
0,29,0.191725
0,30,0.412185
0,31,0.10416
0,32,0.124165
0,33,0.647968
0,34,0.238256
0,35,0.195473
0,36,0.350455
0,37,0.21311
0,38,0.159048
0,39,0.185103
0,40,0.20368
0,41,0.051475
0,42,0.287508
0,43,0.271254
0,44,0.117937
0,45,0.270941
0,46,0.185726
0,47,0.221363
0,48,0.385343
0,49,0.214709
0,50,0.102549
0,51,0.202144
0,52,0.148841
0,53,0.234946
0,54,0.292126
0,55,0.176957
0,56,0.179484
0,57,0.016768
0,58,0.198596
0,59,0.195736
0,60,0.265345
0,61,0.113696
0,62,0.532429
0,63,0.054281
0,64,0.326503
0,65,0.310689
0,66,0.085985
0,67,0.33638
0,68,0.333229
0,69,0.269349
0,70,0.141273
0,71,0.460815
0,72,0.202781
0,73,0.209915
0,74,0.147808
0,75,0.343735
0,76,0.243401
0,77,0.319656
0,78,0.148617
0,79,0.116567
0,80,0.383889
0,81,0.267675
0,82,0.299335
0,83,0.166828
0,84,0.235529
0,85,0.355313
0,86,0.224627
0,87,0.244331
0,88,0.402412
0,89,0.410153
0,90,0.1562
0,91,0.186594
0,92,0.142564
0,93,0.405825
0,94,0.290797
0,95,0.23253
0,96,0.171842
0,97,0.26598
0,98,0.211434
0,99,0.160181
0,100,0.353363
0,101,0.034554
0,102,0.210226
0,103,0.223029
0,104,0.376105
0,105,0.360085
0,106,0.355108
0,107,0.301176
0,108,0.310908
0,109,0.157956
0,110,0.14124
0,111,0.131478
0,112,0.167299
0,113,0.24677
0,114,0.390567
0,115,0.232535
1,2,0.247496
1,3,0.280259
1,4,0.6345
1,5,0.171882
1,6,0.285291
1,7,-0.000816
1,8,0.620189
1,9,0.745778
1,10,0.150858
1,11,0.257517
1,12,0.216747
1,13,0.289255
1,14,0.581357
1,15,0.417968
1,16,0.220676
1,17,0.619014
1,18,0.571252
1,19,0.345479
1,20,0.272296
1,21,0.358648
1,22,0.205658
1,23,0.347998
1,24,0.70428
1,25,0.52999
1,26,0.399883
1,27,0.63521
1,28,0.684962
1,29,0.243162
1,30,0.334595
1,31,0.457778
1,32,0.471451
1,33,0.335165
1,34,0.277135
1,35,0.174918
1,36,0.264927
1,37,0.124523
1,38,0.609923
1,39,0.117951
1,40,0.164139
1,41,0.270139
1,42,0.204197
1,43,0.368147
1,44,0.158026
1,45,0.181682
1,46,0.211593
1,47,0.173139
1,48,0.213866
1,49,0.198689
1,50,0.280503
1,51,0.685941
1,52,0.226861
1,53,0.522834
1,54,0.286283
1,55,0.547864
1,56,0.207715
1,57,0.090039
1,58,0.564412
1,59,0.162298
1,60,0.366938
1,61,0.365906
1,62,0.303031
1,63,0.480188
1,64,0.187893
1,65,0.228563
1,66,0.222085
1,67,0.277471
1,68,0.153201
1,69,0.219532
1,70,0.225494
1,71,0.234514
1,72,0.676982
1,73,0.578995
1,74,0.110837
1,75,0.207798
1,76,0.347173
1,77,0.399823
1,78,0.315088
1,79,0.37547
1,80,0.345416
1,81,0.227563
1,82,0.500753
1,83,0.150872
1,84,0.703706
1,85,0.390469
1,86,0.42483
1,87,0.220175
1,88,0.332979
1,89,0.263072
1,90,0.138361
1,91,0.652099
1,92,0.340955
1,93,0.170817
1,94,0.37338
1,95,0.379113
1,96,0.463142
1,97,0.657118
1,98,0.632129
1,99,0.122004
1,100,0.283344
1,101,0.211896
1,102,0.12607
1,103,0.397459
1,104,0.166458
1,105,0.302833
1,106,0.254553
1,107,0.222197
1,108,0.282818
1,109,0.648826
1,110,0.617182
1,111,0.571785
1,112,0.208934
1,113,0.383216
1,114,0.221467
1,115,0.190765
2,3,0.384013
2,4,0.36161
2,5,0.359061
2,6,0.401803
2,7,-0.056723
2,8,0.177284
2,9,0.141044
2,10,0.236227
2,11,0.327134
2,12,0.212491
2,13,0.300395
2,14,0.179605
2,15,0.169613
2,16,0.510678
2,17,0.262841
2,18,0.448242
2,19,0.327579
2,20,0.329963
2,21,0.461615
2,22,0.104207
2,23,0.319712
2,24,0.287758
2,25,0.25704
2,26,0.181067
2,27,0.333046
2,28,0.233386
2,29,0.228057
2,30,0.400104
2,31,0.167401
2,32,0.185205
2,33,0.418496
2,34,0.386685
2,35,0.25292
2,36,0.319299
2,37,0.317677
2,38,0.272264
2,39,0.20512
2,40,0.290369
2,41,0.137061
2,42,0.259832
2,43,0.263673
2,44,0.175389
2,45,0.286115
2,46,0.284452
2,47,0.266652
2,48,0.461819
2,49,0.272396
2,50,0.167988
2,51,0.271347
2,52,0.199666
2,53,0.301428
2,54,0.350523
2,55,0.246615
2,56,0.229448
2,57,0.148986
2,58,0.148884
2,59,0.229268
2,60,0.234748
2,61,0.175505
2,62,0.46045
2,63,0.056996
2,64,0.377986
2,65,0.258113
2,66,0.115966
2,67,0.365364
2,68,0.354845
2,69,0.462819
2,70,0.206273
2,71,0.50877
2,72,0.139701
2,73,0.189316
2,74,0.161385
2,75,0.33978
2,76,0.308177
2,77,0.487091
2,78,0.249514
2,79,0.137213
2,80,0.552318
2,81,0.29972
2,82,0.372153
2,83,0.266667
2,84,0.327348
2,85,0.468978
2,86,0.282758
2,87,0.381513
2,88,0.462367
2,89,0.606961
2,90,0.231576
2,91,0.237552
2,92,0.158533
2,93,0.384016
2,94,0.239334
2,95,0.306827
2,96,0.208653
2,97,0.314919
2,98,0.29796
2,99,0.18211
2,100,0.465285
2,101,0.138745
2,102,0.246982
2,103,0.304526
2,104,0.417918
2,105,0.441694
2,106,0.421394
2,107,0.304575
2,108,0.379008
2,109,0.231198
2,110,0.1909
2,111,0.232222
2,112,0.20861
2,113,0.265162
2,114,0.476296
2,115,0.246199
3,4,0.437919
3,5,0.359238
3,6,0.375421
3,7,0.013599
3,8,0.200604
3,9,0.232112
3,10,0.277831
3,11,0.419226
3,12,0.267878
3,13,0.342168
3,14,0.165586
3,15,0.256112
3,16,0.619663
3,17,0.302269
3,18,0.416749
3,19,0.392705
3,20,0.421199
3,21,0.35175
3,22,0.173093
3,23,0.386504
3,24,0.207178
3,25,0.250325
3,26,0.171982
3,27,0.340485
3,28,0.207751
3,29,0.166927
3,30,0.412021
3,31,0.21423
3,32,0.168141
3,33,0.45925
3,34,0.433616
3,35,0.25847
3,36,0.466673
3,37,0.257258
3,38,0.29498
3,39,0.187792
3,40,0.323006
3,41,0.220048
3,42,0.203803
3,43,0.248634
3,44,0.219653
3,45,0.284848
3,46,0.288654
3,47,0.385475
3,48,0.295858
3,49,0.248935
3,50,0.2215
3,51,0.190343
3,52,0.280969
3,53,0.319447
3,54,0.335123
3,55,0.392627
3,56,0.315046
3,57,0.171412
3,58,0.285909
3,59,0.248953
3,60,0.325326
3,61,0.167588
3,62,0.472495
3,63,0.103827
3,64,0.359196
3,65,0.316929
3,66,0.300717
3,67,0.423729
3,68,0.324574
3,69,0.329538
3,70,0.302569
3,71,0.646585
3,72,0.19117
3,73,0.339633
3,74,0.198841
3,75,0.847408
3,76,0.2142
3,77,0.433596
3,78,0.155186
3,79,0.214638
3,80,0.45907
3,81,0.324862
3,82,0.470432
3,83,0.302498
3,84,0.270991
3,85,0.441707
3,86,0.196785
3,87,0.433586
3,88,0.541703
3,89,0.451832
3,90,0.317543
3,91,0.259455
3,92,0.17421
3,93,0.444876
3,94,0.39062
3,95,0.378561
3,96,0.17236
3,97,0.324913
3,98,0.340594
3,99,0.322855
3,100,0.480068
3,101,0.262269
3,102,0.290857
3,103,0.315759
3,104,0.543882
3,105,0.535566
3,106,0.666185
3,107,0.369119
3,108,0.426625
3,109,0.327798
3,110,0.181172
3,111,0.308549
3,112,0.296983
3,113,0.421595
3,114,0.360985
3,115,0.316277
4,5,0.291262
4,6,0.380792
4,7,-0.017352
4,8,0.576689
4,9,0.582795
4,10,0.232726
4,11,0.339542
4,12,0.310997
4,13,0.352324
4,14,0.537213
4,15,0.502342
4,16,0.3606
4,17,0.719152
4,18,0.701598
4,19,0.472689
4,20,0.413197
4,21,0.497947
4,22,0.257068
4,23,0.358206
4,24,0.629469
4,25,0.633208
4,26,0.255838
4,27,0.866571
4,28,0.571989
4,29,0.255632
4,30,0.412922
4,31,0.569727
4,32,0.366072
4,33,0.371953
4,34,0.367851
4,35,0.186195
4,36,0.34256
4,37,0.245133
4,38,0.623805
4,39,0.191397
4,40,0.265931
4,41,0.186321
4,42,0.224925
4,43,0.298172
4,44,0.236829
4,45,0.253815
4,46,0.33741
4,47,0.288498
4,48,0.350706
4,49,0.304763
4,50,0.17837
4,51,0.564575
4,52,0.332855
4,53,0.62882
4,54,0.412627
4,55,0.685102
4,56,0.332524
4,57,0.136798
4,58,0.419868
4,59,0.271685
4,60,0.418162
4,61,0.223894
4,62,0.332097
4,63,0.325835
4,64,0.286634
4,65,0.265824
4,66,0.238997
4,67,0.418419
4,68,0.252263
4,69,0.367994
4,70,0.30362
4,71,0.307671
4,72,0.55485
4,73,0.475524
4,74,0.105757
4,75,0.371375
4,76,0.239778
4,77,0.521093
4,78,0.25343
4,79,0.331615
4,80,0.532382
4,81,0.331915
4,82,0.656309
4,83,0.229839
4,84,0.555639
4,85,0.585842
4,86,0.418076
4,87,0.392937
4,88,0.375635
4,89,0.346397
4,90,0.187069
4,91,0.660646
4,92,0.223786
4,93,0.450588
4,94,0.365557
4,95,0.452936
4,96,0.441163
4,97,0.826655
4,98,0.563519
4,99,0.211875
4,100,0.454934
4,101,0.240144
4,102,0.242805
4,103,0.408859
4,104,0.378793
4,105,0.514392
4,106,0.370992
4,107,0.321964
4,108,0.484819
4,109,0.567437
4,110,0.558093
4,111,0.711163
4,112,0.336142
4,113,0.542291
4,114,0.411942
4,115,0.240826
5,6,0.567165
5,7,0.017685
5,8,0.310134
5,9,0.209591
5,10,0.500239
5,11,0.629868
5,12,0.731391
5,13,0.46899
5,14,0.316009
5,15,0.210646
5,16,0.373127
5,17,0.370298
5,18,0.358858
5,19,0.476688
5,20,0.280432
5,21,0.397274
5,22,0.191017
5,23,0.259453
5,24,0.198485
5,25,0.40131
5,26,0.12077
5,27,0.273321
5,28,0.127141
5,29,0.209115
5,30,0.609011
5,31,0.336667
5,32,0.215434
5,33,0.31817
5,34,0.504305
5,35,0.645326
5,36,0.279027
5,37,0.667416
5,38,0.15417
5,39,0.581112
5,40,0.71531
5,41,0.204214
5,42,0.307067
5,43,0.13976
5,44,0.2933
5,45,0.544053
5,46,0.753704
5,47,0.633736
5,48,0.552249
5,49,0.471855
5,50,0.100803
5,51,0.144336
5,52,0.379065
5,53,0.435113
5,54,0.555924
5,55,0.383413
5,56,0.412714
5,57,0.205294
5,58,0.161662
5,59,0.253391
5,60,0.407386
5,61,0.150492
5,62,0.263358
5,63,0.147445
5,64,0.524202
5,65,0.511068
5,66,0.457791
5,67,0.406831
5,68,0.589996
5,69,0.595041
5,70,0.496922
5,71,0.269117
5,72,0.12037
5,73,0.134016
5,74,0.315051
5,75,0.393703
5,76,0.154716
5,77,0.551712
5,78,0.201642
5,79,0.212282
5,80,0.429052
5,81,0.579426
5,82,0.444561
5,83,0.749736
5,84,0.122174
5,85,0.481189
5,86,0.213824
5,87,0.619742
5,88,0.311967
5,89,0.325355
5,90,0.451185
5,91,0.307905
5,92,0.152596
5,93,0.452718
5,94,0.251993
5,95,0.460694
5,96,0.247431
5,97,0.265535
5,98,0.161859
5,99,0.589311
5,100,0.517232
5,101,0.190977
5,102,0.514349
5,103,0.536217
5,104,0.42209
5,105,0.445213
5,106,0.303953
5,107,0.636751
5,108,0.557642
5,109,0.093876
5,110,0.313488
5,111,0.38521
5,112,0.397459
5,113,0.590135
5,114,0.180404
5,115,0.668874
6,7,-0.008122
6,8,0.251619
6,9,0.258264
6,10,0.509219
6,11,0.573759
6,12,0.527543
6,13,0.487343
6,14,0.25647
6,15,0.24182
6,16,0.455218
6,17,0.432629
6,18,0.482662
6,19,0.567996
6,20,0.444276
6,21,0.429056
6,22,0.28633
6,23,0.367686
6,24,0.283779
6,25,0.497141
6,26,0.232043
6,27,0.316453
6,28,0.242712
6,29,0.460265
6,30,0.627985
6,31,0.312034
6,32,0.311325
6,33,0.342309
6,34,0.525238
6,35,0.441833
6,36,0.421446
6,37,0.417901
6,38,0.185353
6,39,0.313083
