abstract_i,abstract_j,cosine_similarity
0,1,0.454012
0,2,0.387941
0,3,0.518661
0,4,0.512364
0,5,0.677456
0,6,0.338899
0,7,0.564253
0,8,0.588665
0,9,0.747547
0,10,0.410637
0,11,0.293745
0,12,0.507339
0,13,0.649925
0,14,0.384864
0,15,0.625015
0,16,0.590044
0,17,0.532312
0,18,0.367803
0,19,0.525335
0,20,0.64935
0,21,0.495867
0,22,0.534849
0,23,0.599915
0,24,0.607936
0,25,0.601858
0,26,0.535368
0,27,0.517378
0,28,0.583877
0,29,0.687252
0,30,0.492908
0,31,0.527522
0,32,0.44629
0,33,0.511145
0,34,0.579957
0,35,0.420095
0,36,0.641215
0,37,0.457338
0,38,0.556722
0,39,0.382109
0,40,0.415254
0,41,0.468955
0,42,0.629301
0,43,0.539485
0,44,0.604049
0,45,0.385202
0,46,0.447174
0,47,0.59188
0,48,0.844682
0,49,0.507224
0,50,0.630613
0,51,0.602501
0,52,0.558015
0,53,0.574306
0,54,0.346526
0,55,0.713967
0,56,0.44077
0,57,0.55691
0,58,0.585428
0,59,0.581491
0,60,0.577627
0,61,0.466955
0,62,0.524762
0,63,0.581361
0,64,0.498782
0,65,0.701142
0,66,0.504142
0,67,0.521354
0,68,0.487592
0,69,0.583812
0,70,0.5965
0,71,0.633125
0,72,0.477226
0,73,0.42461
0,74,0.249134
0,75,0.375779
0,76,0.65657
0,77,0.507792
0,78,0.486966
0,79,0.493958
0,80,0.536748
0,81,0.611864
0,82,0.540077
0,83,0.553613
0,84,0.714575
0,85,0.613792
0,86,0.580719
0,87,0.553006
0,88,0.522642
0,89,0.485872
0,90,0.543921
0,91,0.566764
0,92,0.320484
0,93,0.609061
0,94,0.525995
0,95,0.620909
0,96,0.297262
0,97,0.605578
0,98,0.622352
0,99,0.522166
0,100,0.537964
0,101,0.445866
1,2,0.709889
1,3,0.599406
1,4,0.448684
1,5,0.559528
1,6,0.292013
1,7,0.65922
1,8,0.494883
1,9,0.46145
1,10,0.425892
1,11,0.323853
1,12,0.489953
1,13,0.538593
1,14,0.247938
1,15,0.562355
1,16,0.405284
1,17,0.430881
1,18,0.410039
1,19,0.480234
1,20,0.493233
1,21,0.622965
1,22,0.322073
1,23,0.594505
1,24,0.341294
1,25,0.592513
1,26,0.370212
1,27,0.445547
1,28,0.384312
1,29,0.520135
1,30,0.536619
1,31,0.459323
1,32,0.461503
1,33,0.558449
1,34,0.546643
1,35,0.654823
1,36,0.50823
1,37,0.235782
1,38,0.471971
1,39,0.2987
1,40,0.373927
1,41,0.457957
1,42,0.394459
1,43,0.586251
1,44,0.519526
1,45,0.230851
1,46,0.548583
1,47,0.605305
1,48,0.403431
1,49,0.669266
1,50,0.550602
1,51,0.457308
1,52,0.553876
1,53,0.44873
1,54,0.450361
1,55,0.420738
1,56,0.569919
1,57,0.612723
1,58,0.502504
1,59,0.394511
1,60,0.59299
1,61,0.38582
1,62,0.614238
1,63,0.38282
1,64,0.368072
1,65,0.556586
1,66,0.542606
1,67,0.492355
1,68,0.494418
1,69,0.555387
1,70,0.414281
1,71,0.615416
1,72,0.503898
1,73,0.415652
1,74,0.245997
1,75,0.31755
1,76,0.534287
1,77,0.519246
1,78,0.543656
1,79,0.443815
1,80,0.471315
1,81,0.394538
1,82,0.629214
1,83,0.533922
1,84,0.584458
1,85,0.533824
1,86,0.557547
1,87,0.535733
1,88,0.621308
1,89,0.451539
1,90,0.46558
1,91,0.4408
1,92,0.528014
1,93,0.424827
1,94,0.526337
1,95,0.488539
1,96,0.368943
1,97,0.398915
1,98,0.398209
1,99,0.599726
1,100,0.498958
1,101,0.44005
2,3,0.636183
2,4,0.409981
2,5,0.453791
2,6,0.227987
2,7,0.620248
2,8,0.357941
2,9,0.445179
2,10,0.486406
2,11,0.183112
2,12,0.436585
2,13,0.493515
2,14,0.201295
2,15,0.392296
2,16,0.407277
2,17,0.380518
2,18,0.356461
2,19,0.450186
2,20,0.401428
2,21,0.623958
2,22,0.20858
2,23,0.51404
2,24,0.291106
2,25,0.540551
2,26,0.338772
2,27,0.418258
2,28,0.376571
2,29,0.427242
2,30,0.505197
2,31,0.368407
2,32,0.488935
2,33,0.51149
2,34,0.491603
2,35,0.556829
2,36,0.461625
2,37,0.136481
2,38,0.464644
2,39,0.187727
2,40,0.348914
2,41,0.376352
2,42,0.355732
2,43,0.546139
2,44,0.506858
2,45,0.10236
2,46,0.542569
2,47,0.54012
2,48,0.39078
2,49,0.686288
2,50,0.41303
2,51,0.337906
2,52,0.535471
2,53,0.294016
2,54,0.451307
2,55,0.369052
2,56,0.459626
2,57,0.547158
2,58,0.405723
2,59,0.375317
2,60,0.49865
2,61,0.37919
2,62,0.613944
2,63,0.265739
2,64,0.25316
2,65,0.53983
2,66,0.49181
2,67,0.485558
2,68,0.534832
2,69,0.435637
2,70,0.353732
2,71,0.525025
2,72,0.545684
2,73,0.386449
2,74,0.256729
2,75,0.229611
2,76,0.419475
2,77,0.481631
2,78,0.51876
2,79,0.398104
2,80,0.451087
2,81,0.332191
2,82,0.43221
2,83,0.504397
2,84,0.481329
2,85,0.427773
2,86,0.528783
2,87,0.486874
2,88,0.598432
2,89,0.503471
2,90,0.405418
2,91,0.373389
2,92,0.602789
2,93,0.370731
2,94,0.453686
2,95,0.389441
2,96,0.25301
2,97,0.313511
