title_i,title_j,cosine_similarity
Erythropoietin Response to Blood Loss in Hemodialysis Patients is Blunted but Preserved,Ion Manipulation from Liquid Xe to Vacuum: Ba-Tagging for a nEXO Upgrade and Future 0νββ Experiments,0.016638
Erythropoietin Response to Blood Loss in Hemodialysis Patients is Blunted but Preserved,Intravesical Growth of Murine Bladder Tumors Assessed by Transrectal Ultrasound,0.013913
Erythropoietin Response to Blood Loss in Hemodialysis Patients is Blunted but Preserved,The Social and Economic Causes of the Revolution in the Mathematical Sciences in Mid-Seventeenth-Century England,0.05289
Erythropoietin Response to Blood Loss in Hemodialysis Patients is Blunted but Preserved,Increased Urea Kinetic Modeling Volume,0.488069
Erythropoietin Response to Blood Loss in Hemodialysis Patients is Blunted but Preserved,Ion manipulation from liquid Xe to vacuum: Ba-tagging for a nEXO upgrade and future $0 νββ$ experiments,0.027275
Ion Manipulation from Liquid Xe to Vacuum: Ba-Tagging for a nEXO Upgrade and Future 0νββ Experiments,Intravesical Growth of Murine Bladder Tumors Assessed by Transrectal Ultrasound,0.046213
Ion Manipulation from Liquid Xe to Vacuum: Ba-Tagging for a nEXO Upgrade and Future 0νββ Experiments,The Social and Economic Causes of the Revolution in the Mathematical Sciences in Mid-Seventeenth-Century England,0.011432
Ion Manipulation from Liquid Xe to Vacuum: Ba-Tagging for a nEXO Upgrade and Future 0νββ Experiments,Increased Urea Kinetic Modeling Volume,0.045299
Ion Manipulation from Liquid Xe to Vacuum: Ba-Tagging for a nEXO Upgrade and Future 0νββ Experiments,Ion manipulation from liquid Xe to vacuum: Ba-tagging for a nEXO upgrade and future $0 νββ$ experiments,0.987393
Intravesical Growth of Murine Bladder Tumors Assessed by Transrectal Ultrasound,The Social and Economic Causes of the Revolution in the Mathematical Sciences in Mid-Seventeenth-Century England,0.007994
Intravesical Growth of Murine Bladder Tumors Assessed by Transrectal Ultrasound,Increased Urea Kinetic Modeling Volume,0.241132
Intravesical Growth of Murine Bladder Tumors Assessed by Transrectal Ultrasound,Ion manipulation from liquid Xe to vacuum: Ba-tagging for a nEXO upgrade and future $0 νββ$ experiments,0.041866
The Social and Economic Causes of the Revolution in the Mathematical Sciences in Mid-Seventeenth-Century England,Increased Urea Kinetic Modeling Volume,0.017693
The Social and Economic Causes of the Revolution in the Mathematical Sciences in Mid-Seventeenth-Century England,Ion manipulation from liquid Xe to vacuum: Ba-tagging for a nEXO upgrade and future $0 νββ$ experiments,0.02078
Increased Urea Kinetic Modeling Volume,Ion manipulation from liquid Xe to vacuum: Ba-tagging for a nEXO upgrade and future $0 νββ$ experiments,0.036539
