abstract_i,abstract_j,cosine_similarity
0,1,0.52505
0,2,0.446993
0,3,0.50784
0,4,0.316422
0,5,0.419611
0,6,0.541814
0,7,0.364909
0,8,0.552025
0,9,0.432846
0,10,0.290247
0,11,0.644196
0,12,0.400551
0,13,0.44839
0,14,0.421827
0,15,0.442774
0,16,0.302277
0,17,0.34744
0,18,0.376306
0,19,0.504312
0,20,0.370808
0,21,0.442349
0,22,0.455813
0,23,0.2952
0,24,0.501945
0,25,0.416813
0,26,0.374959
0,27,0.462217
0,28,0.446674
0,29,0.421071
0,30,0.35115
0,31,0.367067
0,32,0.435071
0,33,0.411108
0,34,0.413857
0,35,0.484274
0,36,0.508182
0,37,0.530664
0,38,0.389873
0,39,0.387762
0,40,0.46641
0,41,0.655229
0,42,0.549646
0,43,0.407136
0,44,0.397749
0,45,0.557597
0,46,0.523179
0,47,0.587797
0,48,0.437736
0,49,0.353226
0,50,0.495887
0,51,0.459288
0,52,0.553153
0,53,0.414178
0,54,0.418256
0,55,0.352929
0,56,0.501012
0,57,0.466327
0,58,0.408869
0,59,0.445514
0,60,0.479379
0,61,0.356242
0,62,0.455248
0,63,0.610206
0,64,0.425577
0,65,0.420947
0,66,0.408855
0,67,0.544126
0,68,0.251693
0,69,0.438197
0,70,0.436153
0,71,0.328012
0,72,0.369909
0,73,0.513429
0,74,0.348709
0,75,0.507307
0,76,0.359088
0,77,0.437488
0,78,0.38991
0,79,0.380024
0,80,0.439043
0,81,0.27535
0,82,0.591644
0,83,0.433663
0,84,0.302897
0,85,0.459128
0,86,0.352678
0,87,0.277783
0,88,0.295589
0,89,0.417733
0,90,0.379031
0,91,0.449766
0,92,0.488655
0,93,0.449797
0,94,0.428954
0,95,0.548914
0,96,0.572017
0,97,0.546933
0,98,0.449669
0,99,0.4077
0,100,0.537046
0,101,0.39982
0,102,0.392342
0,103,0.348946
0,104,0.432471
0,105,0.39705
0,106,0.437185
0,107,0.406197
0,108,0.387138
0,109,0.438226
0,110,0.351131
0,111,0.513508
0,112,0.435515
0,113,0.352374
0,114,0.49727
0,115,0.577243
0,116,0.317237
0,117,0.377184
0,118,0.36319
0,119,0.489433
0,120,0.366209
0,121,0.290052
0,122,0.556931
0,123,0.428376
0,124,0.433232
0,125,0.487411
0,126,0.337323
0,127,0.339224
0,128,0.363167
0,129,0.326122
0,130,0.520935
0,131,0.449778
0,132,0.336225
0,133,0.38001
0,134,0.569324
0,135,0.763064
0,136,0.415956
0,137,0.598005
0,138,0.461847
0,139,0.31199
0,140,0.385045
0,141,0.286776
0,142,0.470686
0,143,0.508648
0,144,0.306907
0,145,0.50343
0,146,0.283488
0,147,0.405518
0,148,0.54296
0,149,0.417923
0,150,0.55672
0,151,0.394928
0,152,0.331071
0,153,0.56816
0,154,0.376249
0,155,0.476657
0,156,0.604673
0,157,0.414302
0,158,0.401228
0,159,0.594373
0,160,0.559326
0,161,0.358214
0,162,0.448875
0,163,0.432089
0,164,0.314924
0,165,0.443504
0,166,0.487195
0,167,0.40478
