abstract_i,abstract_j,cosine_similarity
0,1,0.431572
0,2,0.321247
0,3,0.174402
0,4,0.599171
0,5,0.205781
0,6,0.231592
0,7,0.331696
0,8,0.690992
0,9,0.31112
0,10,0.602098
0,11,0.408512
0,12,0.274415
0,13,0.396256
0,14,0.528239
0,15,0.349773
0,16,0.243728
0,17,0.703463
0,18,0.495389
0,19,0.437471
0,20,0.499425
0,21,0.486445
0,22,0.390019
0,23,0.264563
0,24,0.571954
0,25,0.506437
0,26,0.574618
0,27,0.256619
0,28,0.449309
0,29,0.562436
0,30,0.427372
0,31,0.550923
0,32,0.617024
0,33,0.620195
0,34,0.223601
0,35,0.117237
0,36,0.152359
0,37,0.421566
0,38,0.395847
0,39,0.224372
0,40,0.282492
0,41,0.528334
0,42,0.614671
0,43,0.253526
0,44,0.096269
0,45,0.492794
0,46,0.275513
0,47,0.401082
0,48,0.455184
0,49,0.339539
0,50,0.148606
0,51,0.274987
0,52,0.307957
0,53,0.517156
0,54,0.372698
0,55,0.378585
0,56,0.240402
0,57,0.413373
0,58,0.509999
0,59,0.315733
0,60,0.396062
0,61,0.649869
0,62,0.56258
0,63,0.355816
0,64,0.391793
0,65,0.65855
0,66,0.430593
0,67,0.423078
0,68,0.379319
0,69,0.405332
0,70,0.231297
0,71,0.595317
0,72,0.25942
0,73,0.482622
0,74,0.215887
0,75,0.531479
0,76,0.478634
0,77,0.53261
0,78,0.459928
0,79,0.445439
0,80,0.188281
0,81,0.515204
0,82,0.467419
0,83,0.178138
0,84,0.436134
0,85,0.373801
0,86,0.434057
0,87,0.336039
0,88,0.32998
0,89,0.490737
0,90,0.585735
0,91,0.619383
0,92,0.306249
0,93,0.48226
0,94,0.187401
0,95,0.520494
0,96,0.488398
0,97,0.202742
1,2,0.477887
1,3,0.434758
1,4,0.497078
1,5,0.497386
1,6,0.367212
1,7,0.487772
1,8,0.583572
1,9,0.504681
1,10,0.485569
1,11,0.578296
1,12,0.450117
1,13,0.410943
1,14,0.529925
1,15,0.381185
1,16,0.545531
1,17,0.538719
1,18,0.523374
1,19,0.585481
1,20,0.78112
1,21,0.571749
1,22,0.447234
1,23,0.464456
1,24,0.545742
1,25,0.573577
1,26,0.549392
1,27,0.362865
1,28,0.699549
1,29,0.685155
1,30,0.500935
1,31,0.518906
1,32,0.554973
1,33,0.33388
1,34,0.317487
1,35,0.453867
1,36,0.409922
1,37,0.527727
1,38,0.564582
1,39,0.387345
1,40,0.62272
1,41,0.37941
1,42,0.505192
1,43,0.456552
1,44,0.465559
1,45,0.825672
1,46,0.444967
1,47,0.614246
1,48,0.555105
1,49,0.550004
1,50,0.334325
1,51,0.444342
1,52,0.54926
1,53,0.627285
1,54,0.845898
1,55,0.608601
1,56,0.41976
1,57,0.590348
1,58,0.585204
1,59,0.37905
1,60,0.504573
1,61,0.46656
1,62,0.48163
1,63,0.368687
1,64,0.507566
1,65,0.456714
1,66,0.451377
1,67,0.465325
1,68,0.570208
1,69,0.370345
1,70,0.479922
1,71,0.440706
1,72,0.425548
1,73,0.516001
1,74,0.341676
1,75,0.711361
1,76,0.520428
1,77,0.53838
1,78,0.521734
1,79,0.539341
1,80,0.490889
1,81,0.543016
1,82,0.627855
1,83,0.456323
1,84,0.559343
1,85,0.521569
1,86,0.873103
1,87,0.526568
1,88,0.449736
1,89,0.617696
1,90,0.368662
1,91,0.53576
1,92,0.560376
1,93,0.639165
1,94,0.320516
1,95,0.469821
1,96,0.625041
1,97,0.496485
2,3,0.412318
2,4,0.250909
2,5,0.41815
2,6,0.468615
2,7,0.701149
2,8,0.454074
2,9,0.352644
2,10,0.351918
2,11,0.649531
2,12,0.494493
2,13,0.561692
2,14,0.590925
2,15,0.346612
2,16,0.56949
2,17,0.406442
2,18,0.423114
2,19,0.684188
2,20,0.565903
2,21,0.395932
2,22,0.400917
2,23,0.58606
2,24,0.41608
2,25,0.605588
2,26,0.370934
2,27,0.432151
2,28,0.469587
2,29,0.57032
2,30,0.489338
2,31,0.458196
2,32,0.510825
2,33,0.294349
2,34,0.512509
2,35,0.503745
2,36,0.372452
2,37,0.540165
2,38,0.419534
2,39,0.551614
2,40,0.349425
2,41,0.291636
2,42,0.380683
2,43,0.535831
2,44,0.420911
2,45,0.475399
2,46,0.531575
2,47,0.43114
2,48,0.541893
2,49,0.46522
2,50,0.461475
2,51,0.424236
2,52,0.57039
2,53,0.559277
2,54,0.423671
2,55,0.451062
2,56,0.450632
2,57,0.355626
2,58,0.447967
2,59,0.242488
2,60,0.490579
2,61,0.264269
2,62,0.483466
2,63,0.543568
2,64,0.454394
2,65,0.346109
2,66,0.489398
2,67,0.503577
2,68,0.518204
2,69,0.55585
2,70,0.513643
2,71,0.34874
2,72,0.483494
2,73,0.467517
2,74,0.395146
2,75,0.415744
2,76,0.563039
2,77,0.502984
2,78,0.4025
2,79,0.416649
2,80,0.542464
2,81,0.555721
2,82,0.462151
2,83,0.340164
2,84,0.435811
2,85,0.523359
2,86,0.391699
2,87,0.522538
2,88,0.564729
2,89,0.406816
2,90,0.316238
2,91,0.496055
2,92,0.598105
2,93,0.496699
2,94,0.399068
2,95,0.497869
2,96,0.456185
2,97,0.520088
3,4,0.21767
3,5,0.629569
3,6,0.695729
3,7,0.452103
3,8,0.348379
3,9,0.4626
3,10,0.324638
3,11,0.486449
3,12,0.466877
3,13,0.464371
