abstract_i,abstract_j,cosine_similarity
0,1,0.591155
0,2,0.480262
0,3,0.706844
0,4,0.556843
0,5,0.667227
0,6,0.386676
0,7,0.541856
0,8,0.384205
0,9,0.37982
0,10,0.285827
0,11,0.379345
0,12,0.158778
0,13,0.612081
0,14,0.523347
0,15,0.434704
0,16,0.412516
0,17,0.509989
0,18,0.237442
0,19,0.701724
0,20,0.676886
0,21,0.514096
0,22,0.508206
0,23,0.443531
0,24,0.591614
0,25,0.025248
0,26,0.568699
0,27,0.517313
0,28,0.615198
0,29,-0.013661
0,30,0.684853
0,31,0.542888
0,32,0.437426
0,33,0.592007
0,34,0.5868
0,35,0.39045
0,36,0.473468
0,37,0.625829
0,38,0.586479
0,39,0.350602
0,40,0.539523
0,41,0.533192
0,42,0.619056
0,43,0.491289
0,44,0.63202
0,45,0.45862
0,46,0.625477
0,47,0.659649
0,48,0.749067
0,49,0.506823
0,50,0.684194
0,51,0.558581
0,52,0.469183
0,53,0.493743
0,54,0.514279
0,55,0.14492
0,56,0.406481
0,57,0.048761
0,58,0.497675
0,59,0.511863
0,60,0.385434
0,61,0.511662
0,62,0.458783
0,63,0.484227
0,64,0.455539
0,65,0.642962
0,66,0.505278
0,67,0.597173
0,68,0.04361
0,69,0.217254
0,70,0.573508
0,71,0.438182
0,72,0.360661
0,73,0.502673
0,74,0.098472
0,75,0.407409
0,76,0.555993
0,77,0.594066
0,78,0.347335
0,79,0.493117
0,80,0.320993
0,81,0.502668
0,82,0.410631
0,83,0.038989
0,84,0.369964
0,85,0.606224
0,86,0.402745
0,87,0.244515
0,88,0.090784
0,89,0.706298
0,90,0.580033
0,91,0.418616
0,92,0.160616
0,93,0.435247
0,94,0.139504
0,95,-0.073735
0,96,0.487199
0,97,0.381837
0,98,0.42116
0,99,0.022745
0,100,0.996947
0,101,0.407788
0,102,0.538234
0,103,0.221882
0,104,0.06015
0,105,0.385043
0,106,0.612531
0,107,0.434776
0,108,0.423795
0,109,0.264812
0,110,0.626633
0,111,0.126347
0,112,0.526389
0,113,0.60993
0,114,0.089901
0,115,0.522301
0,116,0.348926
0,117,0.491849
0,118,0.414227
0,119,0.661956
0,120,0.738317
1,2,0.48802
1,3,0.614633
1,4,0.548298
1,5,0.700885
1,6,0.34181
1,7,0.533101
1,8,0.389087
1,9,0.42741
1,10,0.331272
1,11,0.278047
1,12,0.258799
1,13,0.41002
1,14,0.846901
1,15,0.758173
1,16,0.326266
1,17,0.402493
1,18,0.274237
1,19,0.655633
1,20,0.632672
1,21,0.46742
1,22,0.400258
1,23,0.552666
1,24,0.570416
1,25,0.031789
1,26,0.582467
1,27,0.344123
1,28,0.451678
1,29,0.009528
1,30,0.677251
1,31,0.385107
1,32,0.513853
1,33,0.51572
