abstract_i,abstract_j,cosine_similarity
0,1,0.434583
0,2,0.198034
0,3,0.77701
0,4,0.231991
0,5,0.18246
0,6,0.267261
0,7,0.763013
0,8,0.409293
0,9,0.23646
0,10,0.250095
0,11,0.323996
0,12,0.547896
1,2,0.287958
1,3,0.541938
1,4,0.211127
1,5,0.209497
1,6,0.263108
1,7,0.377097
1,8,0.518672
1,9,0.297525
1,10,0.261057
1,11,0.777341
1,12,0.546818
2,3,0.289951
2,4,0.357422
2,5,0.655998
2,6,0.273733
2,7,0.173075
2,8,0.24193
2,9,0.751686
2,10,0.265294
2,11,0.213112
2,12,0.373598
3,4,0.249413
3,5,0.202005
3,6,0.245802
3,7,0.766652
3,8,0.429029
3,9,0.297169
3,10,0.27921
3,11,0.361298
3,12,0.628879
4,5,0.49784
4,6,0.361662
4,7,0.11525
4,8,0.349433
4,9,0.490646
4,10,0.434457
4,11,0.318309
4,12,0.307539
5,6,0.299339
5,7,0.148397
5,8,0.291048
5,9,0.660858
5,10,0.369863
5,11,0.240688
5,12,0.259004
6,7,0.117789
6,8,0.266813
6,9,0.32334
6,10,0.30764
6,11,0.322194
6,12,0.404212
7,8,0.251557
7,9,0.11726
7,10,0.121142
7,11,0.200815
7,12,0.436556
8,9,0.356548
8,10,0.517602
8,11,0.533945
8,12,0.459384
9,10,0.452742
9,11,0.261045
9,12,0.38568
10,11,0.3711
10,12,0.348508
11,12,0.363232
