abstract_i,abstract_j,cosine_similarity
0,1,0.691422
0,2,0.687334
0,3,0.609986
0,4,0.726308
0,5,0.796193
0,6,0.690416
0,7,0.765047
0,8,0.630044
0,9,0.699679
0,10,0.741806
0,11,0.818401
0,12,0.690756
0,13,0.57111
0,14,0.603028
0,15,0.837597
0,16,0.812021
0,17,0.842469
0,18,0.719907
0,19,0.718376
0,20,0.606999
0,21,0.505235
0,22,0.807645
0,23,0.65221
0,24,0.500588
0,25,0.711957
0,26,0.505999
0,27,0.663946
0,28,0.631296
0,29,0.694226
0,30,0.62043
0,31,0.709338
0,32,0.64019
0,33,0.773181
0,34,0.577642
0,35,0.654987
0,36,0.670146
0,37,0.657186
0,38,0.708069
0,39,0.618662
0,40,0.732972
0,41,0.619688
0,42,0.808203
0,43,0.60069
0,44,0.822264
0,45,0.637866
0,46,0.810746
0,47,0.836034
0,48,0.435445
0,49,0.621405
0,50,0.242241
0,51,0.6908
0,52,0.61273
0,53,0.503869
0,54,0.714258
0,55,0.990831
0,56,0.657832
0,57,0.726898
0,58,0.844605
0,59,0.725778
0,60,0.718776
0,61,0.639021
1,2,0.733908
1,3,0.751393
1,4,0.723001
1,5,0.773277
1,6,0.641825
1,7,0.763314
1,8,0.653435
1,9,0.607259
1,10,0.705368
1,11,0.701507
1,12,0.997385
1,13,0.640201
1,14,0.738239
1,15,0.751486
1,16,0.700382
1,17,0.733416
1,18,0.789124
1,19,0.82803
1,20,0.736548
1,21,0.475534
1,22,0.752777
1,23,0.782321
1,24,0.595147
1,25,0.599283
1,26,0.613348
1,27,0.753174
1,28,0.767233
1,29,0.730112
1,30,0.757158
1,31,0.727199
1,32,0.739072
1,33,0.780485
1,34,0.722398
1,35,0.543143
1,36,0.752267
1,37,0.54841
1,38,0.739073
1,39,0.802065
1,40,0.788455
1,41,0.728221
1,42,0.682949
1,43,0.664054
1,44,0.693018
1,45,0.800174
1,46,0.695946
1,47,0.745798
1,48,0.447981
1,49,0.6026
1,50,0.323944
1,51,0.729993
1,52,0.790098
1,53,0.59891
1,54,0.744726
1,55,0.687751
1,56,0.623982
1,57,0.584768
1,58,0.750751
1,59,0.567545
1,60,0.727629
1,61,0.767302
2,3,0.8279
2,4,0.771321
2,5,0.775054
2,6,0.623829
2,7,0.858537
2,8,0.604161
2,9,0.674276
2,10,0.759023
2,11,0.743124
2,12,0.737087
2,13,0.614544
2,14,0.774146
2,15,0.713472
2,16,0.776888
2,17,0.713418
2,18,0.689397
2,19,0.792651
2,20,0.819882
2,21,0.528025
2,22,0.766099
2,23,0.748183
2,24,0.507466
2,25,0.7287
2,26,0.611132
2,27,0.748887
2,28,0.719177
2,29,0.660325
2,30,0.712101
2,31,0.769546
2,32,0.779168
2,33,0.849778
2,34,0.739461
2,35,0.517394
2,36,0.795788
2,37,0.523633
2,38,0.738863
2,39,0.800723
2,40,0.680112
2,41,0.802066
2,42,0.670476
2,43,0.782166
2,44,0.6497
2,45,0.734591
2,46,0.745793
2,47,0.740744
