title_i,title_j,cosine_similarity
Deep Impact: Excavating Comet Tempel 1,A multicentre and multi-national evaluation of the accuracy of quantitative Lu-177 SPECT/CT imaging performed within the MRTDosimetry project,0.122712
Deep Impact: Excavating Comet Tempel 1,Evidence against solar influence on nuclear decay constants,0.315984
Deep Impact: Excavating Comet Tempel 1,On decay constants and orbital distance to the Sun—part I: alpha decay,0.267184
Deep Impact: Excavating Comet Tempel 1,On decay constants and orbital distance to the Sun—part III: beta plus and electron capture decay,0.305897
Deep Impact: Excavating Comet Tempel 1,Chemical Purification of Terbium-155 from Pseudo-Isobaric Impurities in a Mass Separated Source Produced at CERN,0.074897
Deep Impact: Excavating Comet Tempel 1,"Holdout: Existence, Information, and Contingent Contracting",0.0116
Deep Impact: Excavating Comet Tempel 1,A comparison of emerging gamma detector technologies for airborne radiation monitoring,0.132005
Deep Impact: Excavating Comet Tempel 1,"Half-life measurements in <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mmultiscripts><mml:mi>Dy</mml:mi><mml:mprescripts/><mml:none/><mml:mrow><mml:mn>164</mml:mn><mml:mo>,</mml:mo><mml:mn>166</mml:mn></mml:mrow></mml:mmultiscripts></mml:math> using <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mrow><mml:mi>γ</mml:mi><mml:mtext>−</mml:mtext><mml:mi>γ</mml:mi></mml:mrow></mml:math> fast-timing spectroscopy with the <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mi>ν</mml:mi></mml:math>-Ball spectrometer",0.236465
Deep Impact: Excavating Comet Tempel 1,Measuring radioactive half-lives via statistical sampling in practice,0.200878
Deep Impact: Excavating Comet Tempel 1,"First lifetime investigations of <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mrow><mml:mi>N</mml:mi><mml:mo>&gt;</mml:mo><mml:mn>82</mml:mn></mml:mrow></mml:math> iodine isotopes: The quest for collectivity",0.193598
Deep Impact: Excavating Comet Tempel 1,Update of the BIPM comparison BIPM.RI(II)-K1.Tb-161 of activity measurements of the radionuclide <sup>161</sup>Tb to include the 2022 result of the NPL (United Kingdom),0.15159
Deep Impact: Excavating Comet Tempel 1,On decay constants and orbital distance to the Sun—part II: beta minus decay,0.271922
Deep Impact: Excavating Comet Tempel 1,Fundamental uncertainty equations for nuclear dating applied to the 140Ba-140La and 227Th-223Ra chronometers,0.224772
Deep Impact: Excavating Comet Tempel 1,"Spectroscopy and lifetime measurements in <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mmultiscripts><mml:mi>Te</mml:mi><mml:mprescripts/><mml:none/><mml:mrow><mml:mn>134</mml:mn><mml:mo>,</mml:mo><mml:mn>136</mml:mn><mml:mo>,</mml:mo><mml:mn>138</mml:mn></mml:mrow></mml:mmultiscripts></mml:math> isotopes and implications for the nuclear structure beyond <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mrow><mml:mi>N</mml:mi><mml:mo>=</mml:mo><mml:mn>82</mml:mn></mml:mrow></mml:math>",0.261515
Deep Impact: Excavating Comet Tempel 1,Half-life determination of 155Tb from mass-separated samples produced at CERN-MEDICIS,0.119773
Deep Impact: Excavating Comet Tempel 1,"Ambient humidity, the overlooked influencer of radioactivity measurements",0.274735
Deep Impact: Excavating Comet Tempel 1,Prediction Techniques for Box–Cox Regression Models,-0.074614
Deep Impact: Excavating Comet Tempel 1,Metal-Organic Framework Crystal-Glass Composites,0.06988
Deep Impact: Excavating Comet Tempel 1,Relay the Right Way: Harnessing Heterogeneity in Sequential Team Production,-0.084131
Deep Impact: Excavating Comet Tempel 1,Market Interaction and Pro‐Social Behavior: An Experimental Study,-0.010557
Deep Impact: Excavating Comet Tempel 1,Determination of the Terbium-152 half-life from mass-separated samples from CERN-ISOLDE and assessment of the radionuclide purity,0.156392
Deep Impact: Excavating Comet Tempel 1,The value of youth: equalizing age differentials in marriages,-0.000287
Deep Impact: Excavating Comet Tempel 1,Evaluation of half-life data,0.242534
Deep Impact: Excavating Comet Tempel 1,Unbiased equations for 95Zr–95Nb chronometry,0.219671
Deep Impact: Excavating Comet Tempel 1,Response mode and stochastic choice together explain preference reversals,-0.07524
Deep Impact: Excavating Comet Tempel 1,"Half-life measurement of the medical radioisotope <sup>177</sup>Lu produced from the <sup>176</sup>Yb(n,<b>γ</b>) reaction",0.192334
Deep Impact: Excavating Comet Tempel 1,"Development of NANA: A Fast-Scintillator, Coincidence Gamma-ray Array for Radioactive Source Characterisation and Absolute Activity Measurements at the UK National Physical Laboratory",0.194778
Deep Impact: Excavating Comet Tempel 1,Absolute intensities of the <b>γ</b>-ray emissions originating from the electron capture decay of <sup>153</sup>Gd,0.179869
Deep Impact: Excavating Comet Tempel 1,Supplementary comparison of the measurement of the alpha and beta particle surface emission rates from large area sources (CCRI(II)-S10 LASCE),0.304429
Deep Impact: Excavating Comet Tempel 1,Nuclear data for day-1 radionuclides,0.149649
Deep Impact: Excavating Comet Tempel 1,Analysis of a neutron-induced conversion electron spectrum of gadolinium,0.158079
Deep Impact: Excavating Comet Tempel 1,Towards complete decay spectroscopy of 152Tb,0.159584
Deep Impact: Excavating Comet Tempel 1,Advanced macro inspection provides data to address blister defects,0.104937
Deep Impact: Excavating Comet Tempel 1,Environmental radioactivity intercomparison exercise 2000.,0.308298
Deep Impact: Excavating Comet Tempel 1,Experiments in Financial Economics,0.041045
Deep Impact: Excavating Comet Tempel 1,Environmental radioactivity comparison exercise 2002.,0.261713
Deep Impact: Excavating Comet Tempel 1,On the use of solid 133Ba sources as surrogate for liquid 131I in SPECT/CT calibration: a European multi-centre evaluation,0.178717
Deep Impact: Excavating Comet Tempel 1,Reaction Channel selection techniques and γ – γ fast-timing spectroscopy using the ν-Ball Spectrometer,0.274752
