abstract_i,abstract_j,cosine_similarity
0,1,0.590469
0,2,0.493325
0,3,0.247417
0,4,0.546064
0,5,0.546922
0,6,0.300083
0,7,0.479442
0,8,0.488426
0,9,0.601673
0,10,0.636266
0,11,0.325136
0,12,0.549548
0,13,0.266453
0,14,0.649629
1,2,0.72092
1,3,0.494644
1,4,0.757559
1,5,0.786309
1,6,0.439205
1,7,0.534672
1,8,0.803631
1,9,0.846944
1,10,0.849021
1,11,0.367463
1,12,0.788061
1,13,0.498814
1,14,0.70505
2,3,0.36242
2,4,0.713158
2,5,0.735121
2,6,0.37884
2,7,0.577299
2,8,0.584011
2,9,0.647881
2,10,0.674027
2,11,0.395742
2,12,0.647965
2,13,0.369086
2,14,0.60042
3,4,0.314735
3,5,0.341367
3,6,0.483898
3,7,0.391535
3,8,0.56186
3,9,0.583348
3,10,0.531463
3,11,0.504532
3,12,0.371926
3,13,0.985384
3,14,0.432739
4,5,0.977232
4,6,0.336361
4,7,0.504192
4,8,0.60543
4,9,0.648714
4,10,0.720472
4,11,0.255547
4,12,0.735337
4,13,0.325761
4,14,0.584849
5,6,0.357095
5,7,0.536082
5,8,0.62506
5,9,0.664363
5,10,0.751967
5,11,0.293049
5,12,0.75962
5,13,0.350468
5,14,0.602916
6,7,0.367388
6,8,0.575165
6,9,0.479703
6,10,0.39859
6,11,0.286844
6,12,0.528281
6,13,0.474421
6,14,0.437325
7,8,0.499659
7,9,0.53342
7,10,0.556398
7,11,0.438807
7,12,0.50689
7,13,0.387273
7,14,0.685936
8,9,0.830543
8,10,0.808206
8,11,0.373733
8,12,0.753323
8,13,0.557603
8,14,0.608492
9,10,0.860599
9,11,0.431915
9,12,0.694788
9,13,0.586281
9,14,0.6882
10,11,0.430274
10,12,0.744582
10,13,0.542582
10,14,0.64753
11,12,0.240443
11,13,0.493651
11,14,0.378567
12,13,0.382068
12,14,0.624148
13,14,0.429979
