abstract_i,abstract_j,cosine_similarity
0,1,0.532397
0,2,0.625275
0,3,0.711713
0,4,0.510671
0,5,0.60554
0,6,0.628473
0,7,0.573661
0,8,0.262978
0,9,0.528012
0,10,0.614823
0,11,0.757165
0,12,0.730054
0,13,0.623483
0,14,0.566795
0,15,0.627029
0,16,0.622733
0,17,0.522426
0,18,0.10089
0,19,0.594815
0,20,0.637767
0,21,0.490001
0,22,0.729311
0,23,0.555634
0,24,0.785039
0,25,0.49885
0,26,0.178089
0,27,0.325
0,28,0.195908
0,29,0.668763
0,30,0.709204
0,31,0.556149
0,32,0.666175
0,33,0.610154
0,34,0.680646
0,35,0.732389
0,36,0.671224
0,37,0.16744
0,38,0.755213
0,39,0.55226
0,40,0.746212
0,41,0.632568
0,42,0.682824
0,43,0.706532
0,44,0.661604
0,45,0.639921
0,46,0.687918
0,47,0.692875
0,48,0.063045
0,49,0.722809
0,50,0.663627
0,51,0.61781
0,52,0.642364
0,53,0.653672
0,54,0.597712
0,55,0.675222
0,56,0.671188
0,57,0.509848
0,58,0.665097
0,59,0.619594
0,60,0.403702
0,61,0.574472
0,62,0.636438
0,63,0.624603
0,64,0.681012
0,65,0.003007
0,66,0.639218
0,67,0.752188
0,68,0.68068
0,69,0.58093
0,70,0.525286
0,71,0.583985
0,72,0.691352
0,73,0.138956
0,74,0.65251
0,75,0.525278
1,2,0.540142
1,3,0.551844
1,4,0.387774
1,5,0.533998
1,6,0.531578
1,7,0.579849
1,8,0.277541
1,9,0.54532
1,10,0.549603
1,11,0.627468
1,12,0.628787
1,13,0.512087
1,14,0.495776
1,15,0.530369
1,16,0.529324
1,17,0.403569
1,18,0.069482
1,19,0.548017
1,20,0.533192
1,21,0.483992
1,22,0.553605
1,23,0.509759
1,24,0.510032
1,25,0.471229
1,26,0.123204
1,27,0.299718
1,28,0.153965
1,29,0.566878
1,30,0.54482
1,31,0.560541
1,32,0.541757
1,33,0.597807
1,34,0.529562
1,35,0.560782
1,36,0.546145
1,37,0.174939
1,38,0.603953
1,39,0.603767
1,40,0.607747
1,41,0.530325
1,42,0.616293
1,43,0.540355
1,44,0.537787
1,45,0.545416
1,46,0.54245
1,47,0.506521
1,48,0.160959
1,49,0.593178
1,50,0.571656
1,51,0.497524
1,52,0.441719
1,53,0.495772
1,54,0.47967
1,55,0.517548
1,56,0.539546
1,57,0.537271
1,58,0.603252
1,59,0.583761
1,60,0.405862
1,61,0.464495
1,62,0.516468
1,63,0.403465
1,64,0.533785
1,65,0.004103
1,66,0.573656
1,67,0.617523
1,68,0.519301
1,69,0.472939
1,70,0.448696
1,71,0.544303
1,72,0.628263
1,73,0.141665
1,74,0.685333
1,75,0.479546
2,3,0.709384
2,4,0.439607
2,5,0.545062
2,6,0.803037
2,7,0.626517
2,8,0.129193
2,9,0.511536
2,10,0.526393
2,11,0.640295
2,12,0.632474
2,13,0.623288
2,14,0.524762
2,15,0.690887
2,16,0.603739
2,17,0.498487
2,18,0.069837
2,19,0.681936
2,20,0.633337
2,21,0.454282
2,22,0.620119
2,23,0.446353
2,24,0.609326
2,25,0.435205
2,26,0.114105
2,27,0.264217
2,28,0.207645
2,29,0.756455
2,30,0.622082
2,31,0.587871
2,32,0.667376
2,33,0.535796
2,34,0.537574
2,35,0.647099
