title_i,title_j,cosine_similarity
New approach to the analysis of thermally stimulated conductivity measurements applied to zinc-compensated silicon,Recombination in high-resistivity <i>n</i>-type Zn-compensated silicon,0.76567
New approach to the analysis of thermally stimulated conductivity measurements applied to zinc-compensated silicon,Recombination in low-resistivity n-type Zn-compensated silicon,0.755537
New approach to the analysis of thermally stimulated conductivity measurements applied to zinc-compensated silicon,Characterization of trapping kinetics from the lifetime dependence of thermally stimulated conductivity spectra,0.832819
New approach to the analysis of thermally stimulated conductivity measurements applied to zinc-compensated silicon,Photoconductivity Analysis in High Resistivity p Type Zinc Compensated Silicon,0.724337
New approach to the analysis of thermally stimulated conductivity measurements applied to zinc-compensated silicon,Inhomogeneity in photoconductors,0.629435
Recombination in high-resistivity <i>n</i>-type Zn-compensated silicon,Recombination in low-resistivity n-type Zn-compensated silicon,0.854727
Recombination in high-resistivity <i>n</i>-type Zn-compensated silicon,Characterization of trapping kinetics from the lifetime dependence of thermally stimulated conductivity spectra,0.627105
Recombination in high-resistivity <i>n</i>-type Zn-compensated silicon,Photoconductivity Analysis in High Resistivity p Type Zinc Compensated Silicon,0.902379
Recombination in high-resistivity <i>n</i>-type Zn-compensated silicon,Inhomogeneity in photoconductors,0.577264
Recombination in low-resistivity n-type Zn-compensated silicon,Characterization of trapping kinetics from the lifetime dependence of thermally stimulated conductivity spectra,0.688228
Recombination in low-resistivity n-type Zn-compensated silicon,Photoconductivity Analysis in High Resistivity p Type Zinc Compensated Silicon,0.882683
Recombination in low-resistivity n-type Zn-compensated silicon,Inhomogeneity in photoconductors,0.577062
Characterization of trapping kinetics from the lifetime dependence of thermally stimulated conductivity spectra,Photoconductivity Analysis in High Resistivity p Type Zinc Compensated Silicon,0.61858
Characterization of trapping kinetics from the lifetime dependence of thermally stimulated conductivity spectra,Inhomogeneity in photoconductors,0.493646
Photoconductivity Analysis in High Resistivity p Type Zinc Compensated Silicon,Inhomogeneity in photoconductors,0.542282
