title_i,title_j,cosine_similarity
Detection of Single-Electron Charging in an Individual InAs Quantum Dot by Noncontact Atomic-Force Microscopy,Coaxial Plasma Gun in the High-Density Regime and Injection into a Helical Field,0.109584
Detection of Single-Electron Charging in an Individual InAs Quantum Dot by Noncontact Atomic-Force Microscopy,Interferometric analysis of resonant Rayleigh scattering from two-dimensional excitons,0.359278
Detection of Single-Electron Charging in an Individual InAs Quantum Dot by Noncontact Atomic-Force Microscopy,&lt;title&gt;Excitonic dephasing effects studied by time- and phase-resolved secondary emission&lt;/title&gt;,0.278712
Detection of Single-Electron Charging in an Individual InAs Quantum Dot by Noncontact Atomic-Force Microscopy,Spectral interferometry investigation of resonant Rayleigh scattering from GaAs quantum wells,0.300442
Coaxial Plasma Gun in the High-Density Regime and Injection into a Helical Field,Interferometric analysis of resonant Rayleigh scattering from two-dimensional excitons,0.071109
Coaxial Plasma Gun in the High-Density Regime and Injection into a Helical Field,&lt;title&gt;Excitonic dephasing effects studied by time- and phase-resolved secondary emission&lt;/title&gt;,0.059132
Coaxial Plasma Gun in the High-Density Regime and Injection into a Helical Field,Spectral interferometry investigation of resonant Rayleigh scattering from GaAs quantum wells,0.09655
Interferometric analysis of resonant Rayleigh scattering from two-dimensional excitons,&lt;title&gt;Excitonic dephasing effects studied by time- and phase-resolved secondary emission&lt;/title&gt;,0.820743
Interferometric analysis of resonant Rayleigh scattering from two-dimensional excitons,Spectral interferometry investigation of resonant Rayleigh scattering from GaAs quantum wells,0.761681
&lt;title&gt;Excitonic dephasing effects studied by time- and phase-resolved secondary emission&lt;/title&gt;,Spectral interferometry investigation of resonant Rayleigh scattering from GaAs quantum wells,0.772812
