abstract_i,abstract_j,cosine_similarity
0,1,0.460262
0,2,0.439647
0,3,0.661972
0,4,0.643859
0,5,0.457808
0,6,0.619925
0,7,0.438465
0,8,0.47154
0,9,0.673073
0,10,0.400573
0,11,0.475344
0,12,0.673073
0,13,0.212909
0,14,0.444065
0,15,0.426957
0,16,0.490228
0,17,0.426167
0,18,0.301396
0,19,0.510641
0,20,0.392584
0,21,0.439125
0,22,0.658599
0,23,0.440238
0,24,0.437171
0,25,0.442086
0,26,0.492777
0,27,0.390231
0,28,0.519921
0,29,0.124329
0,30,0.534063
0,31,0.443364
0,32,0.176903
0,33,0.411798
0,34,0.406044
0,35,0.435341
0,36,0.488772
0,37,0.512606
0,38,0.627653
0,39,0.468909
0,40,0.315255
0,41,0.257818
0,42,0.488242
0,43,0.431223
0,44,0.402032
1,2,0.216439
1,3,0.362066
1,4,0.44155
1,5,0.463241
1,6,0.516238
1,7,0.530032
1,8,0.454014
1,9,0.407976
1,10,0.46645
1,11,0.548175
1,12,0.407976
1,13,0.149999
1,14,0.423989
1,15,0.431457
1,16,0.588376
1,17,0.526621
1,18,0.197075
1,19,0.44742
1,20,0.410771
1,21,0.626257
1,22,0.465486
1,23,0.437623
1,24,0.571676
1,25,0.477582
1,26,0.477348
1,27,0.496063
1,28,0.40583
1,29,0.185616
1,30,0.450369
1,31,0.534897
1,32,0.124516
1,33,0.428931
1,34,0.5508
1,35,0.474964
1,36,0.283101
1,37,0.265951
1,38,0.413599
1,39,0.421261
1,40,0.196701
1,41,0.398111
1,42,0.497241
1,43,0.450195
1,44,0.435724
2,3,0.430039
2,4,0.31822
2,5,0.184661
2,6,0.237186
2,7,0.191389
2,8,0.217549
2,9,0.401396
2,10,0.074267
2,11,0.130523
2,12,0.401396
2,13,0.228331
2,14,0.191217
2,15,0.168428
2,16,0.230227
2,17,0.166136
2,18,0.233472
2,19,0.156987
2,20,0.204339
2,21,0.172731
2,22,0.335409
2,23,0.171025
2,24,0.212501
2,25,0.174767
2,26,0.234391
2,27,0.113914
2,28,0.233702
2,29,0.133503
2,30,0.331971
2,31,0.245504
2,32,0.035754
2,33,0.175355
2,34,0.181223
2,35,0.15496
2,36,0.30156
2,37,0.363771
2,38,0.331215
2,39,0.207103
2,40,0.202391
2,41,0.120193
2,42,0.2343
2,43,0.139599
2,44,0.10831
3,4,0.64184
3,5,0.4315
3,6,0.564971
3,7,0.328929
3,8,0.426728
3,9,0.696423
3,10,0.381568
3,11,0.434791
3,12,0.696423
3,13,0.0494
3,14,0.372835
3,15,0.402456
3,16,0.412431
3,17,0.419534
3,18,0.1914
3,19,0.366543
3,20,0.27387
3,21,0.244593
3,22,0.593459
3,23,0.266642
3,24,0.387574
3,25,0.418501
3,26,0.414742
3,27,0.362083
3,28,0.457807
3,29,0.036136
3,30,0.449649
3,31,0.26485
3,32,0.115532
3,33,0.355561
3,34,0.298966
3,35,0.268383
3,36,0.610917
3,37,0.595033
3,38,0.59007
3,39,0.391844
3,40,0.162796
3,41,0.179083
3,42,0.282117
3,43,0.37193
3,44,0.34945
4,5,0.645082
4,6,0.729912
4,7,0.392245
4,8,0.592624
4,9,0.580289
4,10,0.638734
4,11,0.568594
4,12,0.580289
4,13,0.214043
4,14,0.506401
4,15,0.630241
4,16,0.565457
4,17,0.613309
4,18,0.155252
4,19,0.603214
4,20,0.4416
4,21,0.459024
4,22,0.813824
4,23,0.425439
4,24,0.529383
4,25,0.60791
4,26,0.584641
4,27,0.582405
4,28,0.631113
4,29,0.131331
4,30,0.586645
4,31,0.413624
4,32,0.20528
4,33,0.549448
4,34,0.471837
4,35,0.516413
4,36,0.55749
4,37,0.515567
4,38,0.8424
4,39,0.314128
4,40,0.277865
4,41,0.384738
4,42,0.481256
4,43,0.56631
4,44,0.548638
5,6,0.566723
5,7,0.420768
5,8,0.565044
5,9,0.407489
5,10,0.653324
5,11,0.727847
5,12,0.407489
5,13,0.145702
5,14,0.405821
5,15,0.7445
5,16,0.664453
5,17,0.57136
5,18,0.004111
5,19,0.585419
5,20,0.400088
5,21,0.512424
5,22,0.575984
5,23,0.427418
5,24,0.543786
5,25,0.604265
5,26,0.544465
5,27,0.566041
5,28,0.65875
5,29,0.252747
5,30,0.572006
5,31,0.361048
5,32,0.087527
5,33,0.598341
5,34,0.509474
5,35,0.555714
5,36,0.383543
5,37,0.332665
5,38,0.547125
5,39,0.358222
5,40,0.363747
5,41,0.407966
5,42,0.518882
5,43,0.621605
5,44,0.478576
6,7,0.413875
6,8,0.531175
6,9,0.622213
6,10,0.673357
6,11,0.530215
6,12,0.622213
6,13,0.201756
6,14,0.454064
6,15,0.567711
6,16,0.539066
6,17,0.627188
6,18,0.214837
6,19,0.658235
6,20,0.4639
6,21,0.506558
6,22,0.763613
6,23,0.505584
6,24,0.508995
6,25,0.633584
6,26,0.547044
6,27,0.617334
6,28,0.633145
6,29,0.162846
