title_i,title_j,cosine_similarity
Superhydrophobic micro-nanofibers from PHBV-SiO2 biopolymer composites produced by electrospinning,High Temperature Superconducting Quadrupole Magnets With Circular Coils,-0.001687
Superhydrophobic micro-nanofibers from PHBV-SiO2 biopolymer composites produced by electrospinning,Electromechanical Properties of 1-mm-Wide Superconducting Cables Comprised of Exfoliated YBCO Filaments,0.199586
Superhydrophobic micro-nanofibers from PHBV-SiO2 biopolymer composites produced by electrospinning,Performance of layer wound epoxy-impregnated coils made from a multifilamentary cable of exfoliated YBCO,0.261848
Superhydrophobic micro-nanofibers from PHBV-SiO2 biopolymer composites produced by electrospinning,Hydrophobic interaction chromatography and modeling of protein adsorption on hydrophobic gel,0.298666
High Temperature Superconducting Quadrupole Magnets With Circular Coils,Electromechanical Properties of 1-mm-Wide Superconducting Cables Comprised of Exfoliated YBCO Filaments,0.535591
High Temperature Superconducting Quadrupole Magnets With Circular Coils,Performance of layer wound epoxy-impregnated coils made from a multifilamentary cable of exfoliated YBCO,0.530051
High Temperature Superconducting Quadrupole Magnets With Circular Coils,Hydrophobic interaction chromatography and modeling of protein adsorption on hydrophobic gel,0.021039
Electromechanical Properties of 1-mm-Wide Superconducting Cables Comprised of Exfoliated YBCO Filaments,Performance of layer wound epoxy-impregnated coils made from a multifilamentary cable of exfoliated YBCO,0.803225
Electromechanical Properties of 1-mm-Wide Superconducting Cables Comprised of Exfoliated YBCO Filaments,Hydrophobic interaction chromatography and modeling of protein adsorption on hydrophobic gel,-0.005168
Performance of layer wound epoxy-impregnated coils made from a multifilamentary cable of exfoliated YBCO,Hydrophobic interaction chromatography and modeling of protein adsorption on hydrophobic gel,0.03024
