abstract_i,abstract_j,cosine_similarity
0,1,0.576059
0,2,0.393285
0,3,0.672423
0,4,0.444384
0,5,0.665875
0,6,0.567519
0,7,0.681244
0,8,0.761104
0,9,0.980314
0,10,0.408203
0,11,0.608323
0,12,0.664971
0,13,0.185556
0,14,0.473585
0,15,0.34719
0,16,0.348808
0,17,0.328385
1,2,0.389597
1,3,0.581106
1,4,0.477109
1,5,0.572608
1,6,0.96856
1,7,0.560731
1,8,0.549967
1,9,0.560824
1,10,0.341272
1,11,0.544007
1,12,0.55183
1,13,0.241618
1,14,0.316452
1,15,0.381683
1,16,0.381952
1,17,0.407718
2,3,0.636773
2,4,0.266737
2,5,0.363924
2,6,0.421315
2,7,0.326273
2,8,0.46329
2,9,0.370793
2,10,0.911596
2,11,0.656296
2,12,0.317346
2,13,0.40201
2,14,0.394044
2,15,0.638304
2,16,0.650643
2,17,0.678555
3,4,0.362908
3,5,0.578887
3,6,0.606333
3,7,0.560395
3,8,0.670635
3,9,0.648723
3,10,0.60686
3,11,0.773262
3,12,0.553794
3,13,0.271987
3,14,0.469241
3,15,0.52662
3,16,0.52863
3,17,0.54569
4,5,0.397779
4,6,0.493752
4,7,0.400873
4,8,0.552489
4,9,0.449504
4,10,0.280916
4,11,0.418741
4,12,0.398452
4,13,0.278211
4,14,0.388938
4,15,0.301715
4,16,0.303678
4,17,0.260689
5,6,0.573436
5,7,0.926069
5,8,0.617718
5,9,0.690924
5,10,0.364565
5,11,0.543619
5,12,0.947941
5,13,0.221155
5,14,0.252078
5,15,0.337075
5,16,0.333539
5,17,0.287922
6,7,0.5645
6,8,0.571792
6,9,0.558072
6,10,0.376194
6,11,0.570885
6,12,0.555654
6,13,0.25121
6,14,0.330002
6,15,0.425144
6,16,0.42259
6,17,0.446132
7,8,0.605677
7,9,0.704074
7,10,0.313594
7,11,0.531896
7,12,0.97856
7,13,0.184859
7,14,0.216603
7,15,0.309164
7,16,0.304507
7,17,0.250149
8,9,0.765566
8,10,0.496333
8,11,0.725558
8,12,0.60047
8,13,0.316521
8,14,0.400011
8,15,0.449295
8,16,0.451934
8,17,0.404501
9,10,0.399279
9,11,0.583815
9,12,0.690066
9,13,0.190249
9,14,0.461688
9,15,0.362014
9,16,0.362383
9,17,0.324157
10,11,0.641834
10,12,0.30931
10,13,0.428912
10,14,0.434019
10,15,0.585735
10,16,0.599175
10,17,0.621252
11,12,0.512791
11,13,0.382786
11,14,0.470687
11,15,0.529525
11,16,0.527204
11,17,0.533082
12,13,0.16711
12,14,0.215751
12,15,0.307225
12,16,0.304591
12,17,0.249052
13,14,0.169969
13,15,0.350968
13,16,0.35693
13,17,0.342582
14,15,0.317263
14,16,0.318009
14,17,0.3445
15,16,0.997765
15,17,0.856269
16,17,0.858293
