title_i,title_j,cosine_similarity
The possible influence of third-order shim coils on gradient–magnet interactions: an inter-field and inter-site study,"High-resolution diffusion-weighted imaging at 7 Tesla: Single-shot readout trajectories and their impact on signal-to-noise ratio, spatial resolution and accuracy",0.36539
The possible influence of third-order shim coils on gradient–magnet interactions: an inter-field and inter-site study,"<scp>3D MERMAID</scp> : <scp>3D</scp> Multi‐shot enhanced recovery motion artifact insensitive diffusion for submillimeter, multi‐shell, and <scp>SNR</scp> ‐efficient diffusion imaging",0.308484
The possible influence of third-order shim coils on gradient–magnet interactions: an inter-field and inter-site study,A size‐adaptive RF coil for MRI of the pediatric human brain at 7 T,0.377453
The possible influence of third-order shim coils on gradient–magnet interactions: an inter-field and inter-site study,Effects of T2*-blurring on effective resolution of diffusion MRI with spiral and EPI readout trajectories at 7T,0.482261
The possible influence of third-order shim coils on gradient–magnet interactions: an inter-field and inter-site study,Workflow and performance measures for integrating magnetic field monitoring with an 8-channel pediatric head coil for 7T MRI,0.564147
The possible influence of third-order shim coils on gradient–magnet interactions: an inter-field and inter-site study,Comparison at 7T of the Impulse head gradient and whole-body SC72 gradient transfer functions.,0.594326
The possible influence of third-order shim coils on gradient–magnet interactions: an inter-field and inter-site study,3D diffusion MRI at 7T with Universal Pulses for improved image uniformity,0.401553
The possible influence of third-order shim coils on gradient–magnet interactions: an inter-field and inter-site study,Multi-shot 3D diffusion MRI sequence for a fast and high-resolution imaging at 3T,0.36805
The possible influence of third-order shim coils on gradient–magnet interactions: an inter-field and inter-site study,A size-adaptive RF coil with integrated NMR field probes for pediatric brain Imaging at 7 T,0.432725
The possible influence of third-order shim coils on gradient–magnet interactions: an inter-field and inter-site study,Impact of third order shim coils on gradient-magnet interactions and gradient waveform fidelity,0.767096
The possible influence of third-order shim coils on gradient–magnet interactions: an inter-field and inter-site study,3D MERMAID: 3D Multishot Enhanced Recovery Motion Artifact Insensitive Diffusion sequence for sub-millimeter SNR efficient diffusion imaging,0.30871
"High-resolution diffusion-weighted imaging at 7 Tesla: Single-shot readout trajectories and their impact on signal-to-noise ratio, spatial resolution and accuracy","<scp>3D MERMAID</scp> : <scp>3D</scp> Multi‐shot enhanced recovery motion artifact insensitive diffusion for submillimeter, multi‐shell, and <scp>SNR</scp> ‐efficient diffusion imaging",0.529987
"High-resolution diffusion-weighted imaging at 7 Tesla: Single-shot readout trajectories and their impact on signal-to-noise ratio, spatial resolution and accuracy",A size‐adaptive RF coil for MRI of the pediatric human brain at 7 T,0.444632
"High-resolution diffusion-weighted imaging at 7 Tesla: Single-shot readout trajectories and their impact on signal-to-noise ratio, spatial resolution and accuracy",Effects of T2*-blurring on effective resolution of diffusion MRI with spiral and EPI readout trajectories at 7T,0.78008
"High-resolution diffusion-weighted imaging at 7 Tesla: Single-shot readout trajectories and their impact on signal-to-noise ratio, spatial resolution and accuracy",Workflow and performance measures for integrating magnetic field monitoring with an 8-channel pediatric head coil for 7T MRI,0.584334
"High-resolution diffusion-weighted imaging at 7 Tesla: Single-shot readout trajectories and their impact on signal-to-noise ratio, spatial resolution and accuracy",Comparison at 7T of the Impulse head gradient and whole-body SC72 gradient transfer functions.,0.658777
"High-resolution diffusion-weighted imaging at 7 Tesla: Single-shot readout trajectories and their impact on signal-to-noise ratio, spatial resolution and accuracy",3D diffusion MRI at 7T with Universal Pulses for improved image uniformity,0.767635
"High-resolution diffusion-weighted imaging at 7 Tesla: Single-shot readout trajectories and their impact on signal-to-noise ratio, spatial resolution and accuracy",Multi-shot 3D diffusion MRI sequence for a fast and high-resolution imaging at 3T,0.83504
"High-resolution diffusion-weighted imaging at 7 Tesla: Single-shot readout trajectories and their impact on signal-to-noise ratio, spatial resolution and accuracy",A size-adaptive RF coil with integrated NMR field probes for pediatric brain Imaging at 7 T,0.573808
"High-resolution diffusion-weighted imaging at 7 Tesla: Single-shot readout trajectories and their impact on signal-to-noise ratio, spatial resolution and accuracy",Impact of third order shim coils on gradient-magnet interactions and gradient waveform fidelity,0.301167
"High-resolution diffusion-weighted imaging at 7 Tesla: Single-shot readout trajectories and their impact on signal-to-noise ratio, spatial resolution and accuracy",3D MERMAID: 3D Multishot Enhanced Recovery Motion Artifact Insensitive Diffusion sequence for sub-millimeter SNR efficient diffusion imaging,0.808218
"<scp>3D MERMAID</scp> : <scp>3D</scp> Multi‐shot enhanced recovery motion artifact insensitive diffusion for submillimeter, multi‐shell, and <scp>SNR</scp> ‐efficient diffusion imaging",A size‐adaptive RF coil for MRI of the pediatric human brain at 7 T,0.433386
"<scp>3D MERMAID</scp> : <scp>3D</scp> Multi‐shot enhanced recovery motion artifact insensitive diffusion for submillimeter, multi‐shell, and <scp>SNR</scp> ‐efficient diffusion imaging",Effects of T2*-blurring on effective resolution of diffusion MRI with spiral and EPI readout trajectories at 7T,0.486481
"<scp>3D MERMAID</scp> : <scp>3D</scp> Multi‐shot enhanced recovery motion artifact insensitive diffusion for submillimeter, multi‐shell, and <scp>SNR</scp> ‐efficient diffusion imaging",Workflow and performance measures for integrating magnetic field monitoring with an 8-channel pediatric head coil for 7T MRI,0.390741
"<scp>3D MERMAID</scp> : <scp>3D</scp> Multi‐shot enhanced recovery motion artifact insensitive diffusion for submillimeter, multi‐shell, and <scp>SNR</scp> ‐efficient diffusion imaging",Comparison at 7T of the Impulse head gradient and whole-body SC72 gradient transfer functions.,0.428529
"<scp>3D MERMAID</scp> : <scp>3D</scp> Multi‐shot enhanced recovery motion artifact insensitive diffusion for submillimeter, multi‐shell, and <scp>SNR</scp> ‐efficient diffusion imaging",3D diffusion MRI at 7T with Universal Pulses for improved image uniformity,0.560089
