abstract_i,abstract_j,cosine_similarity
0,1,0.263303
0,2,0.557976
0,3,0.251138
0,4,0.031229
0,5,0.555704
0,6,0.34557
0,7,0.683116
0,8,0.289826
0,9,0.364435
0,10,0.60471
0,11,0.444753
0,12,0.645058
0,13,0.525038
0,14,0.093963
0,15,0.481399
0,16,0.019366
0,17,0.325783
0,18,0.397602
0,19,0.568956
0,20,0.293193
0,21,0.347279
0,22,0.41873
0,23,-0.004461
0,24,-0.121418
0,25,0.241395
0,26,0.893108
0,27,0.331294
0,28,0.313313
0,29,0.244118
0,30,0.422483
0,31,-0.094205
0,32,0.648614
0,33,0.30164
0,34,0.342318
0,35,0.222766
0,36,0.368743
0,37,0.007796
0,38,0.30527
1,2,0.452051
1,3,0.035357
1,4,0.020829
1,5,0.464904
1,6,0.257644
1,7,0.397129
1,8,0.217175
1,9,0.179678
1,10,0.323992
1,11,0.291959
1,12,0.236121
1,13,0.386763
1,14,0.099934
1,15,0.320093
1,16,0.050161
1,17,0.151357
1,18,0.361329
1,19,0.320958
1,20,0.720696
1,21,0.207218
1,22,0.126411
1,23,-0.006402
1,24,-0.126082
1,25,0.551017
1,26,0.272215
1,27,0.403363
1,28,0.16153
1,29,0.111906
1,30,0.136301
1,31,-0.033354
1,32,0.32635
1,33,0.096413
1,34,0.205404
1,35,0.279713
1,36,0.18731
1,37,0.030933
1,38,0.381264
2,3,0.237228
2,4,0.016948
2,5,0.688816
2,6,0.465719
2,7,0.638644
2,8,0.567884
2,9,0.412161
2,10,0.591168
2,11,0.546996
2,12,0.489736
2,13,0.637241
2,14,0.159026
2,15,0.587668
2,16,0.06456
2,17,0.346964
2,18,0.601362
2,19,0.533948
2,20,0.43
2,21,0.374929
2,22,0.379847
2,23,-0.001107
2,24,-0.165535
2,25,0.422458
2,26,0.563886
2,27,0.548423
2,28,0.281479
2,29,0.248946
2,30,0.393712
2,31,-0.062468
2,32,0.540326
2,33,0.303973
2,34,0.354855
2,35,0.34862
2,36,0.421385
2,37,0.039662
2,38,0.652327
3,4,0.204232
3,5,0.198888
3,6,0.25721
3,7,0.259476
3,8,0.266987
3,9,0.40359
3,10,0.352985
3,11,0.319804
3,12,0.446948
3,13,0.221066
3,14,0.226612
3,15,0.157641
3,16,0.169346
3,17,0.395084
3,18,0.254923
3,19,0.239899
3,20,0.091293
3,21,0.23566
3,22,0.460901
3,23,0.280954
3,24,-0.080466
3,25,0.14104
3,26,0.219659
3,27,0.204246
3,28,0.403222
3,29,0.216272
3,30,0.386209
3,31,-0.064684
3,32,0.178576
3,33,0.490403
3,34,0.391512
3,35,0.091849
3,36,0.397373
3,37,0.186285
3,38,0.161314
4,5,0.017874
4,6,0.063001
4,7,0.058342
4,8,0.111546
4,9,0.088244
4,10,0.055083
4,11,0.09809
4,12,0.090838
4,13,0.056104
4,14,0.123839
4,15,0.012459
4,16,0.70691
4,17,0.039402
4,18,0.069154
4,19,0.081058
4,20,0.037521
4,21,0.110741
4,22,0.090492
4,23,0.282103
