title_i,title_j,cosine_similarity
Localized catalysis driven by the induction heating of magnetic nanoparticles,Selective Initiation of Corrosion Pits in Stainless Steel Using Scanning Electrochemical Cell Microscopy,0.128156
Localized catalysis driven by the induction heating of magnetic nanoparticles,Impact of Droplet Wettability on Scanning Electrochemical Cell Microscopy Performance in Stainless Steels,0.112917
Localized catalysis driven by the induction heating of magnetic nanoparticles,Reduced Passivity and Enhanced Pitting Around Crack Tip Measured Using Scanning Electrochemical Cell Microscopy,0.076035
Localized catalysis driven by the induction heating of magnetic nanoparticles,Effect of the Microstructure on the Corrosion and Fatigue Behavior of the Additively Manufactured M789 Stainless Steel,0.090053
Localized catalysis driven by the induction heating of magnetic nanoparticles,Influence of Crack Tip Plasticity on the Microstructure and Corrosion Behavior of CA6NM Stainless Steel Measured Using Scanning Electrochemical Cell Microscopy (SECCM),0.10114
Localized catalysis driven by the induction heating of magnetic nanoparticles,Comprehensive Study of Hydrogen Permeation of Pipe Steel &amp; Optimization for Electrochemical Permeation Experiments,0.107354
Selective Initiation of Corrosion Pits in Stainless Steel Using Scanning Electrochemical Cell Microscopy,Impact of Droplet Wettability on Scanning Electrochemical Cell Microscopy Performance in Stainless Steels,0.808431
Selective Initiation of Corrosion Pits in Stainless Steel Using Scanning Electrochemical Cell Microscopy,Reduced Passivity and Enhanced Pitting Around Crack Tip Measured Using Scanning Electrochemical Cell Microscopy,0.828829
Selective Initiation of Corrosion Pits in Stainless Steel Using Scanning Electrochemical Cell Microscopy,Effect of the Microstructure on the Corrosion and Fatigue Behavior of the Additively Manufactured M789 Stainless Steel,0.681763
Selective Initiation of Corrosion Pits in Stainless Steel Using Scanning Electrochemical Cell Microscopy,Influence of Crack Tip Plasticity on the Microstructure and Corrosion Behavior of CA6NM Stainless Steel Measured Using Scanning Electrochemical Cell Microscopy (SECCM),0.772729
Selective Initiation of Corrosion Pits in Stainless Steel Using Scanning Electrochemical Cell Microscopy,Comprehensive Study of Hydrogen Permeation of Pipe Steel &amp; Optimization for Electrochemical Permeation Experiments,0.492752
Impact of Droplet Wettability on Scanning Electrochemical Cell Microscopy Performance in Stainless Steels,Reduced Passivity and Enhanced Pitting Around Crack Tip Measured Using Scanning Electrochemical Cell Microscopy,0.731123
Impact of Droplet Wettability on Scanning Electrochemical Cell Microscopy Performance in Stainless Steels,Effect of the Microstructure on the Corrosion and Fatigue Behavior of the Additively Manufactured M789 Stainless Steel,0.604814
Impact of Droplet Wettability on Scanning Electrochemical Cell Microscopy Performance in Stainless Steels,Influence of Crack Tip Plasticity on the Microstructure and Corrosion Behavior of CA6NM Stainless Steel Measured Using Scanning Electrochemical Cell Microscopy (SECCM),0.684265
Impact of Droplet Wettability on Scanning Electrochemical Cell Microscopy Performance in Stainless Steels,Comprehensive Study of Hydrogen Permeation of Pipe Steel &amp; Optimization for Electrochemical Permeation Experiments,0.509195
Reduced Passivity and Enhanced Pitting Around Crack Tip Measured Using Scanning Electrochemical Cell Microscopy,Effect of the Microstructure on the Corrosion and Fatigue Behavior of the Additively Manufactured M789 Stainless Steel,0.7535
Reduced Passivity and Enhanced Pitting Around Crack Tip Measured Using Scanning Electrochemical Cell Microscopy,Influence of Crack Tip Plasticity on the Microstructure and Corrosion Behavior of CA6NM Stainless Steel Measured Using Scanning Electrochemical Cell Microscopy (SECCM),0.888434
Reduced Passivity and Enhanced Pitting Around Crack Tip Measured Using Scanning Electrochemical Cell Microscopy,Comprehensive Study of Hydrogen Permeation of Pipe Steel &amp; Optimization for Electrochemical Permeation Experiments,0.489921
Effect of the Microstructure on the Corrosion and Fatigue Behavior of the Additively Manufactured M789 Stainless Steel,Influence of Crack Tip Plasticity on the Microstructure and Corrosion Behavior of CA6NM Stainless Steel Measured Using Scanning Electrochemical Cell Microscopy (SECCM),0.701825
Effect of the Microstructure on the Corrosion and Fatigue Behavior of the Additively Manufactured M789 Stainless Steel,Comprehensive Study of Hydrogen Permeation of Pipe Steel &amp; Optimization for Electrochemical Permeation Experiments,0.464981
Influence of Crack Tip Plasticity on the Microstructure and Corrosion Behavior of CA6NM Stainless Steel Measured Using Scanning Electrochemical Cell Microscopy (SECCM),Comprehensive Study of Hydrogen Permeation of Pipe Steel &amp; Optimization for Electrochemical Permeation Experiments,0.507675
