abstract_i,abstract_j,cosine_similarity
0,1,0.192222
0,2,0.35469
0,3,0.382121
0,4,0.480299
0,5,0.377541
0,6,0.329674
0,7,0.12902
0,8,0.290083
0,9,0.334294
0,10,0.173104
0,11,0.544562
0,12,0.354687
0,13,0.365291
0,14,0.34777
0,15,0.37741
0,16,0.297748
0,17,0.398358
0,18,0.4157
0,19,0.413296
0,20,0.270797
0,21,0.266023
0,22,0.164667
0,23,0.543775
0,24,0.346673
0,25,0.374208
0,26,0.415486
0,27,0.396776
0,28,0.101558
0,29,0.232179
0,30,0.682015
0,31,0.139069
0,32,0.369632
0,33,0.67409
0,34,0.343488
0,35,0.330912
1,2,0.676539
1,3,0.464674
1,4,0.111927
1,5,0.608436
1,6,0.212503
1,7,0.77391
1,8,0.335985
1,9,0.63822
1,10,0.469754
1,11,0.339589
1,12,0.676344
1,13,0.695338
1,14,0.380464
1,15,0.447625
1,16,0.271781
1,17,0.601849
1,18,0.303395
1,19,0.329128
1,20,0.270935
1,21,0.734554
1,22,0.579993
1,23,0.1434
1,24,0.392516
1,25,0.447577
1,26,0.182875
1,27,0.184744
1,28,0.175073
1,29,0.09789
1,30,0.191423
1,31,0.763278
1,32,0.616142
1,33,0.067893
1,34,0.289705
1,35,0.235037
2,3,0.635526
2,4,0.46973
2,5,0.610945
2,6,0.349155
2,7,0.451014
2,8,0.592587
2,9,0.672581
2,10,0.463746
2,11,0.620851
2,12,0.999844
2,13,0.721835
2,14,0.515986
2,15,0.598194
2,16,0.579272
2,17,0.606788
2,18,0.460527
2,19,0.450675
2,20,0.486416
2,21,0.790919
2,22,0.412798
2,23,0.430129
2,24,0.519294
2,25,0.610312
2,26,0.35379
2,27,0.449057
2,28,0.18048
2,29,0.068477
2,30,0.302587
2,31,0.457479
2,32,0.655738
2,33,0.14161
2,34,0.556751
2,35,0.52185
3,4,0.481186
3,5,0.608304
3,6,0.319324
3,7,0.337736
3,8,0.42614
3,9,0.476263
3,10,0.300021
3,11,0.617613
3,12,0.63705
3,13,0.524843
3,14,0.747813
3,15,0.736964
3,16,0.444352
3,17,0.573032
3,18,0.4128
3,19,0.426134
3,20,0.353189
3,21,0.504254
3,22,0.43473
3,23,0.414491
3,24,0.748805
3,25,0.669598
3,26,0.30597
3,27,0.394395
3,28,0.191578
3,29,0.211634
3,30,0.359672
3,31,0.345238
3,32,0.515898
3,33,0.181903
3,34,0.440493
3,35,0.41471
4,5,0.3803
4,6,0.586313
4,7,-0.015306
4,8,0.3821
4,9,0.343982
4,10,0.302635
4,11,0.602428
4,12,0.471729
4,13,0.397851
4,14,0.458949
4,15,0.488347
4,16,0.38478
4,17,0.343938
4,18,0.535085
4,19,0.4928
4,20,0.271099
4,21,0.251082
4,22,0.040918
4,23,0.825594
4,24,0.458005
4,25,0.481766
4,26,0.581951
4,27,0.823365
4,28,0.032739
4,29,0.181958
4,30,0.483705
4,31,-0.027845
4,32,0.415844
4,33,0.381511
4,34,0.384922
4,35,0.414115
5,6,0.352917
5,7,0.526124
5,8,0.419041
5,9,0.508479
5,10,0.385169
5,11,0.536185
5,12,0.611003
5,13,0.614493
5,14,0.542368
5,15,0.614514
5,16,0.385973
5,17,0.785171
5,18,0.42102
5,19,0.424392
5,20,0.308167
5,21,0.600621
5,22,0.50445
5,23,0.352526
5,24,0.544922
5,25,0.581038
5,26,0.331691
5,27,0.395672
5,28,0.153533
5,29,0.157599
5,30,0.38668
5,31,0.504423
5,32,0.608492
5,33,0.221505
5,34,0.405726
5,35,0.384943
6,7,0.077234
6,8,0.293549
6,9,0.457772
6,10,0.357773
6,11,0.508217
6,12,0.35008
6,13,0.408108
6,14,0.323054
6,15,0.409962
6,16,0.257977
6,17,0.382047
6,18,0.73221
6,19,0.590177
6,20,0.23809
6,21,0.242489
6,22,0.091695
6,23,0.725425
6,24,0.347319
6,25,0.341701
6,26,0.920553
6,27,0.636691
6,28,-0.028041
6,29,0.078672
6,30,0.32716
6,31,0.043038
6,32,0.406797
6,33,0.191086
6,34,0.28493
6,35,0.255797
7,8,0.263116
7,9,0.353901
7,10,0.331634
7,11,0.208673
7,12,0.450922
7,13,0.421164
7,14,0.242463
7,15,0.311647
7,16,0.199404
7,17,0.483693
7,18,0.160703
7,19,0.204463
7,20,0.225928
7,21,0.572643
7,22,0.662446
7,23,-0.010863
7,24,0.234861
7,25,0.339125
7,26,0.036155
7,27,0.012875
7,28,0.195318
7,29,0.17244
7,30,0.094752
7,31,0.836476
7,32,0.31599
7,33,0.067184
7,34,0.195988
7,35,0.199469
8,9,0.416145
8,10,0.270967
8,11,0.491325
8,12,0.590506
8,13,0.363512
8,14,0.329153
8,15,0.390274
8,16,0.838866
8,17,0.458868
8,18,0.461094
8,19,0.438473
8,20,0.85657
8,21,0.540071
8,22,0.191913
8,23,0.312519
8,24,0.345649
8,25,0.467775
8,26,0.297733
8,27,0.412272
8,28,0.074429
8,29,0.108535
8,30,0.299529
8,31,0.210469
8,32,0.374316
8,33,0.197096
8,34,0.818246
8,35,0.769221
9,10,0.558874
9,11,0.541892
9,12,0.672251
9,13,0.841268
9,14,0.460278
9,15,0.520612
9,16,0.360056
9,17,0.536145
9,18,0.535237
9,19,0.518073
9,20,0.32384
9,21,0.632393
9,22,0.379212
9,23,0.424782
9,24,0.480454
9,25,0.499143
9,26,0.472803
9,27,0.420828
9,28,0.10795
9,29,0.135499
9,30,0.289578
9,31,0.374029
9,32,0.750875
9,33,0.15025
9,34,0.353926
9,35,0.332799
10,11,0.41729
10,12,0.463985
10,13,0.603208
10,14,0.305047
10,15,0.449602
10,16,0.23306
10,17,0.360341
10,18,0.421064
10,19,0.38312
10,20,0.182772
10,21,0.379984
10,22,0.308396
10,23,0.310093
10,24,0.318074
10,25,0.440786
10,26,0.388961
10,27,0.340758
10,28,0.032727
10,29,-0.047081
10,30,0.192284
10,31,0.298156
10,32,0.506864
10,33,0.096483
10,34,0.252254
10,35,0.232322
11,12,0.621883
11,13,0.596161
11,14,0.516621
11,15,0.606843
11,16,0.515477
11,17,0.540953
11,18,0.624879
11,19,0.584681
11,20,0.405873
11,21,0.446797
11,22,0.322158
11,23,0.617903
11,24,0.519592
11,25,0.593915
11,26,0.526382
11,27,0.594347
11,28,0.128981
11,29,0.274521
11,30,0.405214
11,31,0.208139
11,32,0.519762
11,33,0.302053
11,34,0.532248
11,35,0.488472
12,13,0.721512
12,14,0.517842
12,15,0.599686
12,16,0.576927
12,17,0.606366
12,18,0.461592
12,19,0.451884
12,20,0.484885
12,21,0.78985
12,22,0.41315
12,23,0.432099
12,24,0.520702
12,25,0.611354
12,26,0.354787
12,27,0.450837
12,28,0.18044
12,29,0.068202
12,30,0.303388
12,31,0.457226
12,32,0.655416
12,33,0.141738
12,34,0.554959
12,35,0.520241
13,14,0.454226
13,15,0.598179
13,16,0.338737
13,17,0.613766
13,18,0.50016
13,19,0.495437
13,20,0.257196
13,21,0.669534
13,22,0.412108
13,23,0.422493
13,24,0.469075
13,25,0.553223
13,26,0.407701
13,27,0.464907
13,28,0.166219
13,29,0.167194
13,30,0.343306
13,31,0.471013
13,32,0.880769
13,33,0.216358
13,34,0.342352
13,35,0.311123
14,15,0.725578
14,16,0.31806
14,17,0.47687
14,18,0.390178
14,19,0.401902
14,20,0.262692
14,21,0.480093
14,22,0.385866
14,23,0.426433
14,24,0.96463
14,25,0.716123
14,26,0.322134
14,27,0.403189
14,28,0.11282
14,29,0.210924
14,30,0.433792
14,31,0.281132
14,32,0.479894
14,33,0.212824
14,34,0.333769
14,35,0.316949
15,16,0.366765
15,17,0.592386
15,18,0.514618
15,19,0.511579
15,20,0.276629
15,21,0.491605
15,22,0.420617
15,23,0.45611
15,24,0.718935
15,25,0.772688
15,26,0.405068
15,27,0.460251
15,28,0.10674
15,29,0.164413
15,30,0.388816
15,31,0.352103
15,32,0.577349
15,33,0.203744
15,34,0.363969
15,35,0.362175
