title_i,title_j,cosine_similarity
A Medium Sized Schwarzschild-Couder Cherenkov Telescope Design Proposed for the Cherenkov Telescope Array,Cosmic-ray Isotope Measurements with HELIX,0.452282
A Medium Sized Schwarzschild-Couder Cherenkov Telescope Design Proposed for the Cherenkov Telescope Array,Prospects for High Energy Light Isotope Measurements on Balloons,0.39545
A Medium Sized Schwarzschild-Couder Cherenkov Telescope Design Proposed for the Cherenkov Telescope Array,Calibration of the Aerogel Tiles for the HELIX RICH,0.446117
A Medium Sized Schwarzschild-Couder Cherenkov Telescope Design Proposed for the Cherenkov Telescope Array,Comparison of a Transition Radiation Detector Response with Numerical Simulations,0.356193
A Medium Sized Schwarzschild-Couder Cherenkov Telescope Design Proposed for the Cherenkov Telescope Array,The Advanced Particle-astrophysics Telescope (APT),0.49187
A Medium Sized Schwarzschild-Couder Cherenkov Telescope Design Proposed for the Cherenkov Telescope Array,Production of Silica Aerogel Radiator Tiles for the HELIX RICH Detector,0.391698
A Medium Sized Schwarzschild-Couder Cherenkov Telescope Design Proposed for the Cherenkov Telescope Array,TeV gamma-rays and the origin of cosmic rays,0.402801
A Medium Sized Schwarzschild-Couder Cherenkov Telescope Design Proposed for the Cherenkov Telescope Array,The universe is in the details,0.248171
A Medium Sized Schwarzschild-Couder Cherenkov Telescope Design Proposed for the Cherenkov Telescope Array,Cosmic Ray Questions at High Energy,0.009016
Cosmic-ray Isotope Measurements with HELIX,Prospects for High Energy Light Isotope Measurements on Balloons,0.823988
Cosmic-ray Isotope Measurements with HELIX,Calibration of the Aerogel Tiles for the HELIX RICH,0.796538
Cosmic-ray Isotope Measurements with HELIX,Comparison of a Transition Radiation Detector Response with Numerical Simulations,0.487442
Cosmic-ray Isotope Measurements with HELIX,The Advanced Particle-astrophysics Telescope (APT),0.573782
Cosmic-ray Isotope Measurements with HELIX,Production of Silica Aerogel Radiator Tiles for the HELIX RICH Detector,0.589461
Cosmic-ray Isotope Measurements with HELIX,TeV gamma-rays and the origin of cosmic rays,0.513785
Cosmic-ray Isotope Measurements with HELIX,The universe is in the details,0.297598
Cosmic-ray Isotope Measurements with HELIX,Cosmic Ray Questions at High Energy,-0.046312
Prospects for High Energy Light Isotope Measurements on Balloons,Calibration of the Aerogel Tiles for the HELIX RICH,0.772033
Prospects for High Energy Light Isotope Measurements on Balloons,Comparison of a Transition Radiation Detector Response with Numerical Simulations,0.508368
Prospects for High Energy Light Isotope Measurements on Balloons,The Advanced Particle-astrophysics Telescope (APT),0.601979
Prospects for High Energy Light Isotope Measurements on Balloons,Production of Silica Aerogel Radiator Tiles for the HELIX RICH Detector,0.488285
Prospects for High Energy Light Isotope Measurements on Balloons,TeV gamma-rays and the origin of cosmic rays,0.594328
Prospects for High Energy Light Isotope Measurements on Balloons,The universe is in the details,0.235449
Prospects for High Energy Light Isotope Measurements on Balloons,Cosmic Ray Questions at High Energy,-0.042386
Calibration of the Aerogel Tiles for the HELIX RICH,Comparison of a Transition Radiation Detector Response with Numerical Simulations,0.557488
Calibration of the Aerogel Tiles for the HELIX RICH,The Advanced Particle-astrophysics Telescope (APT),0.525827
Calibration of the Aerogel Tiles for the HELIX RICH,Production of Silica Aerogel Radiator Tiles for the HELIX RICH Detector,0.787973
Calibration of the Aerogel Tiles for the HELIX RICH,TeV gamma-rays and the origin of cosmic rays,0.547688
Calibration of the Aerogel Tiles for the HELIX RICH,The universe is in the details,0.272046
Calibration of the Aerogel Tiles for the HELIX RICH,Cosmic Ray Questions at High Energy,-0.081995
Comparison of a Transition Radiation Detector Response with Numerical Simulations,The Advanced Particle-astrophysics Telescope (APT),0.426843
Comparison of a Transition Radiation Detector Response with Numerical Simulations,Production of Silica Aerogel Radiator Tiles for the HELIX RICH Detector,0.460888
Comparison of a Transition Radiation Detector Response with Numerical Simulations,TeV gamma-rays and the origin of cosmic rays,0.403677
Comparison of a Transition Radiation Detector Response with Numerical Simulations,The universe is in the details,0.211846
Comparison of a Transition Radiation Detector Response with Numerical Simulations,Cosmic Ray Questions at High Energy,0.052118
The Advanced Particle-astrophysics Telescope (APT),Production of Silica Aerogel Radiator Tiles for the HELIX RICH Detector,0.356317
The Advanced Particle-astrophysics Telescope (APT),TeV gamma-rays and the origin of cosmic rays,0.580909
The Advanced Particle-astrophysics Telescope (APT),The universe is in the details,0.350364
The Advanced Particle-astrophysics Telescope (APT),Cosmic Ray Questions at High Energy,0.015304
Production of Silica Aerogel Radiator Tiles for the HELIX RICH Detector,TeV gamma-rays and the origin of cosmic rays,0.383909
Production of Silica Aerogel Radiator Tiles for the HELIX RICH Detector,The universe is in the details,0.199846
Production of Silica Aerogel Radiator Tiles for the HELIX RICH Detector,Cosmic Ray Questions at High Energy,-0.052598
TeV gamma-rays and the origin of cosmic rays,The universe is in the details,0.350173
TeV gamma-rays and the origin of cosmic rays,Cosmic Ray Questions at High Energy,0.004711
The universe is in the details,Cosmic Ray Questions at High Energy,-0.010592
