title_i,title_j,cosine_similarity
Evolution of Nested Folding States in Compression of a Strongly Confined Semiflexible Chain,Spatiotemporal quenches in long-range Hamiltonians,0.349316
Evolution of Nested Folding States in Compression of a Strongly Confined Semiflexible Chain,Steering the Slipstream: Moving Fronts to Tailor Terahertz Pulses,0.096191
Evolution of Nested Folding States in Compression of a Strongly Confined Semiflexible Chain,Tailoring Terahertz Pulses with Moving Fronts: Temporal Stretching and Time-Reversal,0.086908
Evolution of Nested Folding States in Compression of a Strongly Confined Semiflexible Chain,Spatiotemporal Quenches for Efficient Critical Ground State Preparation in Two-Dimensional Quantum Systems,0.358183
Evolution of Nested Folding States in Compression of a Strongly Confined Semiflexible Chain,Spatiotemporal quenches for efficient critical ground state preparation in the two-dimensional transverse field Ising model,0.357369
Spatiotemporal quenches in long-range Hamiltonians,Steering the Slipstream: Moving Fronts to Tailor Terahertz Pulses,0.313267
Spatiotemporal quenches in long-range Hamiltonians,Tailoring Terahertz Pulses with Moving Fronts: Temporal Stretching and Time-Reversal,0.280021
Spatiotemporal quenches in long-range Hamiltonians,Spatiotemporal Quenches for Efficient Critical Ground State Preparation in Two-Dimensional Quantum Systems,0.769248
Spatiotemporal quenches in long-range Hamiltonians,Spatiotemporal quenches for efficient critical ground state preparation in the two-dimensional transverse field Ising model,0.768523
Steering the Slipstream: Moving Fronts to Tailor Terahertz Pulses,Tailoring Terahertz Pulses with Moving Fronts: Temporal Stretching and Time-Reversal,0.799717
Steering the Slipstream: Moving Fronts to Tailor Terahertz Pulses,Spatiotemporal Quenches for Efficient Critical Ground State Preparation in Two-Dimensional Quantum Systems,0.308554
Steering the Slipstream: Moving Fronts to Tailor Terahertz Pulses,Spatiotemporal quenches for efficient critical ground state preparation in the two-dimensional transverse field Ising model,0.307139
Tailoring Terahertz Pulses with Moving Fronts: Temporal Stretching and Time-Reversal,Spatiotemporal Quenches for Efficient Critical Ground State Preparation in Two-Dimensional Quantum Systems,0.302243
Tailoring Terahertz Pulses with Moving Fronts: Temporal Stretching and Time-Reversal,Spatiotemporal quenches for efficient critical ground state preparation in the two-dimensional transverse field Ising model,0.301084
Spatiotemporal Quenches for Efficient Critical Ground State Preparation in Two-Dimensional Quantum Systems,Spatiotemporal quenches for efficient critical ground state preparation in the two-dimensional transverse field Ising model,0.999968
