abstract_i,abstract_j,cosine_similarity
0,1,0.438043
0,2,0.43919
0,3,0.864159
0,4,0.47787
0,5,0.450407
0,6,0.456905
0,7,0.354693
0,8,0.356795
0,9,0.375461
0,10,0.527915
0,11,0.500646
0,12,0.370522
0,13,0.300903
0,14,0.425858
0,15,0.269116
0,16,0.346945
0,17,0.445047
0,18,0.472392
0,19,0.588602
0,20,0.339256
0,21,0.457415
0,22,0.329282
0,23,0.368809
0,24,0.344789
0,25,0.537817
0,26,0.434408
0,27,0.281263
0,28,0.427262
0,29,0.43852
0,30,0.604771
0,31,0.508593
0,32,0.608132
0,33,0.453069
0,34,0.429315
0,35,0.559022
0,36,0.453271
0,37,0.539634
0,38,0.504658
0,39,0.201991
0,40,0.323941
0,41,0.314679
0,42,0.506817
0,43,0.432358
0,44,0.475993
0,45,0.445954
0,46,0.428676
0,47,0.52948
0,48,0.297671
0,49,0.515088
0,50,0.292846
0,51,0.345749
0,52,0.499367
0,53,0.433538
0,54,0.294802
0,55,0.471691
0,56,0.431377
0,57,0.642337
0,58,0.501363
0,59,0.451157
0,60,0.648749
0,61,0.431965
0,62,0.436341
0,63,0.386812
0,64,0.568612
0,65,0.286337
0,66,0.998644
0,67,0.504658
0,68,0.363487
0,69,0.58427
0,70,0.42214
0,71,0.279872
0,72,0.317858
0,73,0.428732
0,74,0.506724
0,75,0.351186
0,76,0.557892
0,77,0.466337
0,78,0.451958
0,79,0.873298
0,80,0.368556
0,81,0.651941
0,82,0.527134
0,83,0.517713
0,84,0.358708
0,85,0.593708
0,86,0.343281
1,2,0.392438
1,3,0.408143
1,4,0.339977
1,5,0.569429
1,6,0.372149
1,7,0.407176
1,8,0.313018
1,9,0.337771
1,10,0.410587
1,11,0.360765
1,12,0.389691
1,13,0.273432
1,14,0.35037
1,15,0.306061
1,16,0.423272
1,17,0.993842
1,18,0.367416
1,19,0.353219
1,20,0.472685
1,21,0.388029
1,22,0.482965
1,23,0.507132
1,24,0.421953
1,25,0.410988
1,26,0.404549
1,27,0.281995
1,28,0.425993
1,29,0.334049
1,30,0.349619
1,31,0.318407
1,32,0.339971
1,33,0.544886
1,34,0.487614
1,35,0.364101
1,36,0.394842
1,37,0.404281
1,38,0.40599
1,39,0.306537
1,40,0.38268
1,41,0.347144
1,42,0.45286
1,43,0.372258
1,44,0.413188
1,45,0.44322
1,46,0.390638
1,47,0.454225
1,48,0.469711
1,49,0.477375
1,50,0.263074
1,51,0.439447
1,52,0.344065
1,53,0.630167
1,54,0.469868
1,55,0.508937
1,56,0.485585
1,57,0.442776
1,58,0.366676
1,59,0.444686
1,60,0.45158
1,61,0.322013
1,62,0.405686
1,63,0.402059
1,64,0.3551
1,65,0.340674
1,66,0.435273
1,67,0.40599
1,68,0.551349
1,69,0.487399
1,70,0.373173
1,71,0.27764
1,72,0.474659
1,73,0.538117
1,74,0.460026
1,75,0.401493
1,76,0.36418
1,77,0.401691
1,78,0.539777
1,79,0.412109
1,80,0.495917
1,81,0.462939
1,82,0.406268
1,83,0.341245
1,84,0.453614
1,85,0.354106
1,86,0.495059
2,3,0.448773
2,4,0.509032
2,5,0.353031
2,6,0.490031
2,7,0.549964
2,8,0.457382
2,9,0.528676
2,10,0.429495
2,11,0.64257
2,12,0.39825
2,13,0.400889
