title_i,title_j,cosine_similarity
Line detections in photospheric radius expansion bursts from 4U 1820-303,Expanded Atmospheres and Winds in Type I X-Ray Bursts from Accreting Neutron Stars,0.754193
Line detections in photospheric radius expansion bursts from 4U 1820-303,The Imprint of Convection on Type I X-Ray Bursts: Pauses in Photospheric Radius Expansion Lightcurves,0.77865
Line detections in photospheric radius expansion bursts from 4U 1820-303,Hydrodynamical Simulations of Proton Ingestion Flashes in Type I X-Ray Bursts,0.640097
Line detections in photospheric radius expansion bursts from 4U 1820-303,MESA input and software files for: 'The imprint of convection on Type I X-ray bursts: Pauses in photospheric radius expansion lightcurves',0.613498
Line detections in photospheric radius expansion bursts from 4U 1820-303,The Challenges of Modeling Astrophysical Reacting Flows,0.529339
Line detections in photospheric radius expansion bursts from 4U 1820-303,Weak X-Ray Bursts on Slowly Accreting Neutron Stars,0.781617
Line detections in photospheric radius expansion bursts from 4U 1820-303,Post-Supernova Accretion of Light Elements onto a New-Born Neutron Star and NS 1987A,0.695331
Expanded Atmospheres and Winds in Type I X-Ray Bursts from Accreting Neutron Stars,The Imprint of Convection on Type I X-Ray Bursts: Pauses in Photospheric Radius Expansion Lightcurves,0.778933
Expanded Atmospheres and Winds in Type I X-Ray Bursts from Accreting Neutron Stars,Hydrodynamical Simulations of Proton Ingestion Flashes in Type I X-Ray Bursts,0.655105
Expanded Atmospheres and Winds in Type I X-Ray Bursts from Accreting Neutron Stars,MESA input and software files for: 'The imprint of convection on Type I X-ray bursts: Pauses in photospheric radius expansion lightcurves',0.655662
Expanded Atmospheres and Winds in Type I X-Ray Bursts from Accreting Neutron Stars,The Challenges of Modeling Astrophysical Reacting Flows,0.539544
Expanded Atmospheres and Winds in Type I X-Ray Bursts from Accreting Neutron Stars,Weak X-Ray Bursts on Slowly Accreting Neutron Stars,0.688333
Expanded Atmospheres and Winds in Type I X-Ray Bursts from Accreting Neutron Stars,Post-Supernova Accretion of Light Elements onto a New-Born Neutron Star and NS 1987A,0.562491
The Imprint of Convection on Type I X-Ray Bursts: Pauses in Photospheric Radius Expansion Lightcurves,Hydrodynamical Simulations of Proton Ingestion Flashes in Type I X-Ray Bursts,0.832937
The Imprint of Convection on Type I X-Ray Bursts: Pauses in Photospheric Radius Expansion Lightcurves,MESA input and software files for: 'The imprint of convection on Type I X-ray bursts: Pauses in photospheric radius expansion lightcurves',0.69058
The Imprint of Convection on Type I X-Ray Bursts: Pauses in Photospheric Radius Expansion Lightcurves,The Challenges of Modeling Astrophysical Reacting Flows,0.651967
The Imprint of Convection on Type I X-Ray Bursts: Pauses in Photospheric Radius Expansion Lightcurves,Weak X-Ray Bursts on Slowly Accreting Neutron Stars,0.837847
The Imprint of Convection on Type I X-Ray Bursts: Pauses in Photospheric Radius Expansion Lightcurves,Post-Supernova Accretion of Light Elements onto a New-Born Neutron Star and NS 1987A,0.657982
Hydrodynamical Simulations of Proton Ingestion Flashes in Type I X-Ray Bursts,MESA input and software files for: 'The imprint of convection on Type I X-ray bursts: Pauses in photospheric radius expansion lightcurves',0.579137
Hydrodynamical Simulations of Proton Ingestion Flashes in Type I X-Ray Bursts,The Challenges of Modeling Astrophysical Reacting Flows,0.683671
Hydrodynamical Simulations of Proton Ingestion Flashes in Type I X-Ray Bursts,Weak X-Ray Bursts on Slowly Accreting Neutron Stars,0.757243
Hydrodynamical Simulations of Proton Ingestion Flashes in Type I X-Ray Bursts,Post-Supernova Accretion of Light Elements onto a New-Born Neutron Star and NS 1987A,0.605247
MESA input and software files for: 'The imprint of convection on Type I X-ray bursts: Pauses in photospheric radius expansion lightcurves',The Challenges of Modeling Astrophysical Reacting Flows,0.437789
MESA input and software files for: 'The imprint of convection on Type I X-ray bursts: Pauses in photospheric radius expansion lightcurves',Weak X-Ray Bursts on Slowly Accreting Neutron Stars,0.572522
MESA input and software files for: 'The imprint of convection on Type I X-ray bursts: Pauses in photospheric radius expansion lightcurves',Post-Supernova Accretion of Light Elements onto a New-Born Neutron Star and NS 1987A,0.409019
The Challenges of Modeling Astrophysical Reacting Flows,Weak X-Ray Bursts on Slowly Accreting Neutron Stars,0.570386
The Challenges of Modeling Astrophysical Reacting Flows,Post-Supernova Accretion of Light Elements onto a New-Born Neutron Star and NS 1987A,0.559491
Weak X-Ray Bursts on Slowly Accreting Neutron Stars,Post-Supernova Accretion of Light Elements onto a New-Born Neutron Star and NS 1987A,0.701542
