abstract_i,abstract_j,cosine_similarity
0,1,0.31976
0,2,0.267056
0,3,0.342219
0,4,0.175643
0,5,0.266761
0,6,0.423052
0,7,0.302185
0,8,0.311786
0,9,0.375777
0,10,0.356723
0,11,0.383778
0,12,0.29067
0,13,0.33422
0,14,0.339542
0,15,0.27405
0,16,0.397984
0,17,0.327865
0,18,0.369241
0,19,0.145428
0,20,0.411625
0,21,0.366126
0,22,0.33245
0,23,0.630501
0,24,0.388989
0,25,0.408139
0,26,0.274299
0,27,0.344374
0,28,0.3157
0,29,0.371439
0,30,0.245642
0,31,0.312091
0,32,0.342711
0,33,0.251709
1,2,0.622904
1,3,0.452959
1,4,0.22263
1,5,0.367746
1,6,0.38966
1,7,0.774984
1,8,0.641324
1,9,0.564226
1,10,0.617136
1,11,0.567663
1,12,0.792637
1,13,0.441351
1,14,0.537984
1,15,0.647498
1,16,0.477725
1,17,0.645592
1,18,0.229658
1,19,0.036283
1,20,0.392033
1,21,0.423224
1,22,0.433082
1,23,0.499167
1,24,0.445257
1,25,0.698638
1,26,0.59002
1,27,0.326266
1,28,0.696224
1,29,0.409544
1,30,0.538488
1,31,0.675606
1,32,0.279645
1,33,0.436703
2,3,0.430311
2,4,0.198947
2,5,0.355894
2,6,0.479077
2,7,0.550718
2,8,0.689375
2,9,0.450328
2,10,0.692456
2,11,0.535144
2,12,0.621806
2,13,0.469601
2,14,0.513581
2,15,0.936571
2,16,0.420274
2,17,0.652855
2,18,0.236236
2,19,0.135729
2,20,0.325937
2,21,0.554256
2,22,0.436371
2,23,0.429875
2,24,0.423845
2,25,0.645479
2,26,0.885334
2,27,0.229267
2,28,0.889668
2,29,0.391599
2,30,0.78437
2,31,0.904559
2,32,0.279199
2,33,0.444303
3,4,0.209489
3,5,0.379031
3,6,0.566895
3,7,0.524766
3,8,0.451756
3,9,0.51129
3,10,0.521655
3,11,0.477305
3,12,0.457387
3,13,0.43627
3,14,0.406074
3,15,0.430573
3,16,0.8288
3,17,0.460157
3,18,0.418306
3,19,0.155736
3,20,0.557348
3,21,0.489094
3,22,0.547715
3,23,0.382294
3,24,0.801758
3,25,0.490816
3,26,0.40935
3,27,0.469784
3,28,0.460782
3,29,0.600287
3,30,0.488993
3,31,0.413968
3,32,0.486022
3,33,0.441797
4,5,0.411748
4,6,0.215148
4,7,0.301312
4,8,0.144763
4,9,0.288085
4,10,0.222463
4,11,0.295316
4,12,0.262807
4,13,0.314922
4,14,0.224748
4,15,0.235794
4,16,0.211869
4,17,0.29942
4,18,0.281394
4,19,0.170654
4,20,0.275305
4,21,0.277621
4,22,0.171792
4,23,0.222158
4,24,0.213863
4,25,0.292599
4,26,0.150894
4,27,0.215052
4,28,0.186531
4,29,0.252436
4,30,0.177206
4,31,0.227514
4,32,0.2245
4,33,0.291675
5,6,0.497827
5,7,0.437791
5,8,0.325302
5,9,0.388843
5,10,0.347028
5,11,0.386727
5,12,0.400956
5,13,0.467254
5,14,0.332806
5,15,0.378369
5,16,0.344813
5,17,0.433823
5,18,0.406573
5,19,0.103107
5,20,0.538075
5,21,0.408116
5,22,0.373672
5,23,0.345515
5,24,0.358655
5,25,0.43288
5,26,0.360605
5,27,0.649107
5,28,0.387509
5,29,0.516812
5,30,0.378163
5,31,0.387251
5,32,0.527471
5,33,0.347484
6,7,0.454985
6,8,0.403804
6,9,0.502742
6,10,0.470586
6,11,0.586607
6,12,0.418409
6,13,0.674336
6,14,0.407783
6,15,0.498691
6,16,0.570107
6,17,0.437983
6,18,0.469937
6,19,0.190995
6,20,0.545933
6,21,0.654813
6,22,0.412168
6,23,0.513451
6,24,0.569131
6,25,0.50634
6,26,0.525236
6,27,0.506704
6,28,0.480171
6,29,0.670319
6,30,0.516741
6,31,0.491134
6,32,0.459201
6,33,0.497543
7,8,0.51448
7,9,0.590956
7,10,0.608052
7,11,0.519729
7,12,0.796868
7,13,0.515404
7,14,0.637419
7,15,0.547376
7,16,0.557787
7,17,0.576663
7,18,0.331561
7,19,0.121353
7,20,0.534292
7,21,0.497573
7,22,0.556713
7,23,0.492005
7,24,0.524986
7,25,0.61247
7,26,0.519512
7,27,0.40689
7,28,0.550747
7,29,0.535569
7,30,0.551691
7,31,0.570628
7,32,0.394456
7,33,0.592626
8,9,0.365038
8,10,0.67543
8,11,0.458823
8,12,0.597015
8,13,0.39587
8,14,0.45168
8,15,0.660211
8,16,0.447202
8,17,0.593529
8,18,0.177411
8,19,0.081229
8,20,0.334051
8,21,0.480327
8,22,0.434309
8,23,0.348013
8,24,0.385765
8,25,0.634097
8,26,0.694346
8,27,0.262745
8,28,0.80498
8,29,0.384011
8,30,0.682017
8,31,0.649392
8,32,0.228649
8,33,0.387253
9,10,0.519103
9,11,0.479292
9,12,0.551458
9,13,0.483308
9,14,0.493059
9,15,0.492956
9,16,0.526693
9,17,0.517304
9,18,0.352753
9,19,0.105084
9,20,0.583985
9,21,0.455356
9,22,0.525865
9,23,0.496004
9,24,0.474747
9,25,0.556132
9,26,0.433453
9,27,0.345833
9,28,0.454376
9,29,0.489096
9,30,0.410461
9,31,0.483789
9,32,0.360006
9,33,0.423379
10,11,0.504551
10,12,0.598416
10,13,0.470515
10,14,0.470479
10,15,0.736541
10,16,0.50295
10,17,0.748251
10,18,0.212488
10,19,0.097082
10,20,0.360841
10,21,0.584562
10,22,0.396105
10,23,0.412495
10,24,0.440044
10,25,0.772869
10,26,0.71994
10,27,0.259454
10,28,0.753926
10,29,0.443275
10,30,0.693564
10,31,0.654782
10,32,0.223254
10,33,0.403115
11,12,0.571393
11,13,0.683749
11,14,0.46574
11,15,0.580035
11,16,0.516288
11,17,0.541054
11,18,0.335662
11,19,0.211503
11,20,0.360619
11,21,0.629503
11,22,0.341397
11,23,0.609861
11,24,0.474405
11,25,0.52645
11,26,0.565711
11,27,0.334311
11,28,0.555925
11,29,0.432028
11,30,0.506881
11,31,0.561694
11,32,0.296113
11,33,0.541198
12,13,0.527846
12,14,0.573659
12,15,0.62694
12,16,0.480884
12,17,0.655781
12,18,0.263267
12,19,0.094087
12,20,0.44754
12,21,0.478562
12,22,0.476327
12,23,0.541385
12,24,0.428322
12,25,0.639373
12,26,0.586624
12,27,0.37128
12,28,0.654691
12,29,0.477225
12,30,0.549362
12,31,0.611928
12,32,0.339556
12,33,0.528438
13,14,0.481694
13,15,0.498865
13,16,0.489267
13,17,0.439171
13,18,0.347518
13,19,0.207243
13,20,0.341018
13,21,0.697322
13,22,0.356748
13,23,0.485895
13,24,0.446244
13,25,0.535438
13,26,0.529194
13,27,0.408381
13,28,0.473022
13,29,0.466448
13,30,0.533026
13,31,0.496298
13,32,0.344689
13,33,0.624557
14,15,0.524622
14,16,0.43138
14,17,0.451974
14,18,0.331776
14,19,0.088628
14,20,0.434632
14,21,0.450687
14,22,0.535974
14,23,0.526514
14,24,0.40991
14,25,0.455783
14,26,0.46179
14,27,0.350173
14,28,0.511962
14,29,0.45221
14,30,0.435678
14,31,0.562745
14,32,0.433675
14,33,0.613732
15,16,0.411113
15,17,0.737568
15,18,0.241867
15,19,0.128229
15,20,0.3275
15,21,0.593386
15,22,0.430442
15,23,0.452685
15,24,0.40818
15,25,0.715169
15,26,0.860066
15,27,0.233824
15,28,0.905842
15,29,0.39798
15,30,0.762549
15,31,0.934889
15,32,0.259853
15,33,0.448412
16,17,0.469175
16,18,0.467169
