abstract_i,abstract_j,cosine_similarity
0,1,0.35372
0,2,-0.015152
0,3,0.316925
0,4,0.416732
0,5,0.279532
0,6,0.313947
0,7,0.611102
0,8,0.433771
0,9,0.333853
0,10,0.445577
0,11,0.006903
0,12,0.296156
0,13,0.074346
0,14,0.052597
0,15,0.596085
0,16,0.365526
0,17,0.68081
0,18,0.567304
0,19,0.079241
0,20,0.458057
0,21,0.432357
0,22,0.242725
0,23,0.322135
0,24,0.302125
0,25,0.463935
0,26,-0.029207
0,27,0.188973
0,28,0.144623
0,29,0.437227
0,30,0.160842
0,31,0.262605
0,32,0.418494
0,33,0.217063
0,34,0.245989
0,35,0.324376
0,36,0.343212
0,37,0.430499
0,38,-0.045151
0,39,0.293618
0,40,0.125723
0,41,0.421922
0,42,0.340064
0,43,0.325712
0,44,0.367727
0,45,0.3543
0,46,0.417392
0,47,0.335937
0,48,0.399196
0,49,0.447848
0,50,0.498052
0,51,0.34455
0,52,0.354886
0,53,0.198127
0,54,0.017732
0,55,0.478153
0,56,0.373507
0,57,0.230732
0,58,0.212635
0,59,0.111209
1,2,-0.081093
1,3,0.159347
1,4,0.304838
1,5,0.247103
1,6,0.146201
1,7,0.366335
1,8,0.41776
1,9,0.177609
1,10,0.285885
1,11,-0.026347
1,12,0.200687
1,13,-0.008584
1,14,0.055425
1,15,0.31932
1,16,0.265201
1,17,0.442622
1,18,0.366078
1,19,0.144657
1,20,0.41704
1,21,0.291186
1,22,0.15598
1,23,0.140266
1,24,0.296952
1,25,0.480842
1,26,-0.03696
1,27,0.202597
1,28,0.122067
1,29,0.373094
1,30,0.140709
1,31,0.22929
1,32,0.273408
1,33,0.163697
1,34,0.282185
1,35,0.1629
1,36,0.346564
1,37,0.288592
1,38,0.04022
1,39,0.188054
1,40,0.13919
1,41,0.317081
1,42,0.354199
1,43,0.159444
1,44,0.358504
1,45,0.26017
1,46,0.187241
1,47,0.277523
1,48,0.309633
1,49,0.441756
1,50,0.272882
1,51,0.192816
1,52,0.258831
1,53,0.206732
1,54,0.10137
1,55,0.366958
1,56,0.352033
1,57,0.265034
1,58,0.235023
1,59,0.149043
2,3,0.012856
2,4,0.123119
2,5,0.031975
2,6,0.110032
2,7,0.107763
2,8,0.01054
2,9,0.006542
2,10,0.094678
2,11,0.012981
2,12,-0.012336
2,13,0.155291
2,14,0.00956
2,15,0.13837
2,16,-0.052186
2,17,0.023696
2,18,0.106855
2,19,0.063079
2,20,-0.03028
2,21,0.113167
2,22,0.060555
2,23,0.090696
2,24,-0.020809
2,25,-0.042904
2,26,-0.005215
2,27,0.098369
2,28,0.153211
2,29,0.069881
2,30,-0.000538
2,31,-0.014265
2,32,0.172601
2,33,0.108464
2,34,0.001326
2,35,0.012188
2,36,-0.053456
2,37,0.109213
2,38,0.154312
2,39,0.06412
2,40,0.189854
2,41,0.056996
2,42,-0.046272
2,43,0.153045
2,44,-0.067105
2,45,0.11994
2,46,0.043307
2,47,-0.029644
2,48,0.027455
2,49,0.04446
2,50,0.030009
2,51,0.079857
2,52,-0.09897
2,53,0.230323
2,54,0.078914
2,55,0.001567
2,56,-0.070775
2,57,0.002083
2,58,0.13656
2,59,0.050144
3,4,0.546388
