abstract_i,abstract_j,cosine_similarity
0,1,0.412955
0,2,0.371676
0,3,0.396541
0,4,0.407068
0,5,0.494037
0,6,0.356655
0,7,0.37367
0,8,0.501637
0,9,0.500131
0,10,0.272718
0,11,0.450104
0,12,0.505859
0,13,0.440066
0,14,0.217051
0,15,0.392355
0,16,0.264179
0,17,0.280289
0,18,0.436367
0,19,0.318595
0,20,0.341087
0,21,0.369737
0,22,0.392981
0,23,0.465148
0,24,0.367693
0,25,0.531106
0,26,0.403537
0,27,0.485874
0,28,0.40164
0,29,0.441014
0,30,0.371335
0,31,0.440708
0,32,0.493559
0,33,0.506648
0,34,0.416998
0,35,0.491416
0,36,0.361848
0,37,0.401529
0,38,0.193529
0,39,0.375534
0,40,0.48913
0,41,0.376
0,42,0.490069
0,43,0.458217
0,44,0.35489
0,45,0.367086
0,46,0.308668
0,47,0.388525
0,48,0.579828
0,49,0.426969
0,50,0.412718
0,51,0.448478
0,52,0.408768
0,53,0.530091
0,54,0.26205
0,55,0.514064
0,56,0.376791
0,57,0.373854
0,58,0.476317
0,59,0.371907
0,60,0.464279
0,61,0.50962
0,62,0.372986
0,63,0.324123
0,64,0.42826
0,65,0.421265
0,66,0.509849
0,67,0.442708
0,68,0.485551
0,69,0.535835
0,70,0.352973
0,71,0.429065
0,72,0.322044
0,73,0.386127
0,74,0.433765
0,75,0.524808
0,76,0.315359
0,77,0.405648
0,78,0.424465
0,79,0.329986
0,80,0.416679
0,81,0.418089
0,82,0.266463
0,83,0.369132
0,84,0.482418
0,85,0.343271
0,86,0.430352
0,87,0.173285
0,88,0.363408
0,89,0.327458
0,90,0.521917
0,91,0.298307
0,92,0.395263
0,93,0.233881
0,94,0.512779
0,95,0.39473
0,96,0.256888
0,97,0.389421
0,98,0.365781
0,99,0.331344
0,100,0.545327
0,101,0.468686
0,102,0.490396
0,103,0.33945
0,104,0.523344
0,105,0.375658
0,106,0.37625
0,107,0.439567
0,108,0.390605
0,109,0.33049
0,110,0.443161
0,111,0.447003
0,112,0.533709
0,113,0.394157
0,114,0.449481
0,115,0.374924
0,116,0.484577
0,117,0.312505
0,118,0.054372
0,119,0.483211
1,2,0.607007
1,3,0.487327
1,4,0.909213
1,5,0.624639
1,6,0.489685
1,7,0.400917
1,8,0.675287
1,9,0.505678
1,10,0.390932
1,11,0.526254
1,12,0.481383
1,13,0.454994
1,14,0.207821
1,15,0.567239
1,16,0.232485
1,17,0.335851
1,18,0.454799
1,19,0.424988
1,20,0.50642
1,21,0.58943
1,22,0.359933
1,23,0.575723
1,24,0.343953
1,25,0.670365
1,26,0.558033
1,27,0.626679
1,28,0.606957
1,29,0.399358
1,30,0.491158
1,31,0.617277
1,32,0.603729
1,33,0.542326
1,34,0.619362
1,35,0.722628
1,36,0.558315
1,37,0.567983
1,38,0.213002
1,39,0.340006
1,40,0.760079
1,41,0.409416
1,42,0.542838
1,43,0.665271
1,44,0.47621
1,45,0.420401
1,46,0.472882
1,47,0.446244
1,48,0.609011
1,49,0.544521
1,50,0.459154
1,51,0.613515
1,52,0.498984
1,53,0.614126
1,54,0.203527
1,55,0.632244
1,56,0.54112
1,57,0.634118
