title_i,title_j,cosine_similarity
Global phase diagram of charge-neutral graphene in the quantum Hall regime for generic interactions,Magnetic flux periodicity in second order topological superconductors,0.465469
Global phase diagram of charge-neutral graphene in the quantum Hall regime for generic interactions,Emergence of spin-active channels at a quantum Hall interface,0.640374
Global phase diagram of charge-neutral graphene in the quantum Hall regime for generic interactions,Quantum spin Hall insulator in proximity with a superconductor: Transition to the Fulde-Ferrell-Larkin-Ovchinnikov state driven by a Zeeman field,0.600664
Global phase diagram of charge-neutral graphene in the quantum Hall regime for generic interactions,Chiral detection of Majorana bound states at the edge of a quantum spin Hall insulator,0.538668
Global phase diagram of charge-neutral graphene in the quantum Hall regime for generic interactions,"Magnon transmission across <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mrow><mml:mi>ν</mml:mi><mml:mo>=</mml:mo><mml:mn>1</mml:mn><mml:mo>|</mml:mo><mml:mo>−</mml:mo><mml:mn>1</mml:mn><mml:mo>|</mml:mo><mml:mn>1</mml:mn></mml:mrow></mml:math> monolayer graphene junction as a probe of electronic structure",0.735867
Global phase diagram of charge-neutral graphene in the quantum Hall regime for generic interactions,Global phase diagram of charge neutral graphene in the quantum Hall regime for generic interactions,0.995223
Global phase diagram of charge-neutral graphene in the quantum Hall regime for generic interactions,Nanoscale defects as probes of time reversal symmetry breaking,0.55629
Magnetic flux periodicity in second order topological superconductors,Emergence of spin-active channels at a quantum Hall interface,0.452961
Magnetic flux periodicity in second order topological superconductors,Quantum spin Hall insulator in proximity with a superconductor: Transition to the Fulde-Ferrell-Larkin-Ovchinnikov state driven by a Zeeman field,0.565178
Magnetic flux periodicity in second order topological superconductors,Chiral detection of Majorana bound states at the edge of a quantum spin Hall insulator,0.531071
Magnetic flux periodicity in second order topological superconductors,"Magnon transmission across <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mrow><mml:mi>ν</mml:mi><mml:mo>=</mml:mo><mml:mn>1</mml:mn><mml:mo>|</mml:mo><mml:mo>−</mml:mo><mml:mn>1</mml:mn><mml:mo>|</mml:mo><mml:mn>1</mml:mn></mml:mrow></mml:math> monolayer graphene junction as a probe of electronic structure",0.424372
Magnetic flux periodicity in second order topological superconductors,Global phase diagram of charge neutral graphene in the quantum Hall regime for generic interactions,0.454629
Magnetic flux periodicity in second order topological superconductors,Nanoscale defects as probes of time reversal symmetry breaking,0.524563
Emergence of spin-active channels at a quantum Hall interface,Quantum spin Hall insulator in proximity with a superconductor: Transition to the Fulde-Ferrell-Larkin-Ovchinnikov state driven by a Zeeman field,0.64227
Emergence of spin-active channels at a quantum Hall interface,Chiral detection of Majorana bound states at the edge of a quantum spin Hall insulator,0.542587
Emergence of spin-active channels at a quantum Hall interface,"Magnon transmission across <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mrow><mml:mi>ν</mml:mi><mml:mo>=</mml:mo><mml:mn>1</mml:mn><mml:mo>|</mml:mo><mml:mo>−</mml:mo><mml:mn>1</mml:mn><mml:mo>|</mml:mo><mml:mn>1</mml:mn></mml:mrow></mml:math> monolayer graphene junction as a probe of electronic structure",0.578474
Emergence of spin-active channels at a quantum Hall interface,Global phase diagram of charge neutral graphene in the quantum Hall regime for generic interactions,0.635183
Emergence of spin-active channels at a quantum Hall interface,Nanoscale defects as probes of time reversal symmetry breaking,0.641521
Quantum spin Hall insulator in proximity with a superconductor: Transition to the Fulde-Ferrell-Larkin-Ovchinnikov state driven by a Zeeman field,Chiral detection of Majorana bound states at the edge of a quantum spin Hall insulator,0.679396
Quantum spin Hall insulator in proximity with a superconductor: Transition to the Fulde-Ferrell-Larkin-Ovchinnikov state driven by a Zeeman field,"Magnon transmission across <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mrow><mml:mi>ν</mml:mi><mml:mo>=</mml:mo><mml:mn>1</mml:mn><mml:mo>|</mml:mo><mml:mo>−</mml:mo><mml:mn>1</mml:mn><mml:mo>|</mml:mo><mml:mn>1</mml:mn></mml:mrow></mml:math> monolayer graphene junction as a probe of electronic structure",0.562629
Quantum spin Hall insulator in proximity with a superconductor: Transition to the Fulde-Ferrell-Larkin-Ovchinnikov state driven by a Zeeman field,Global phase diagram of charge neutral graphene in the quantum Hall regime for generic interactions,0.59669
Quantum spin Hall insulator in proximity with a superconductor: Transition to the Fulde-Ferrell-Larkin-Ovchinnikov state driven by a Zeeman field,Nanoscale defects as probes of time reversal symmetry breaking,0.591387
Chiral detection of Majorana bound states at the edge of a quantum spin Hall insulator,"Magnon transmission across <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mrow><mml:mi>ν</mml:mi><mml:mo>=</mml:mo><mml:mn>1</mml:mn><mml:mo>|</mml:mo><mml:mo>−</mml:mo><mml:mn>1</mml:mn><mml:mo>|</mml:mo><mml:mn>1</mml:mn></mml:mrow></mml:math> monolayer graphene junction as a probe of electronic structure",0.49194
Chiral detection of Majorana bound states at the edge of a quantum spin Hall insulator,Global phase diagram of charge neutral graphene in the quantum Hall regime for generic interactions,0.539481
Chiral detection of Majorana bound states at the edge of a quantum spin Hall insulator,Nanoscale defects as probes of time reversal symmetry breaking,0.622323
"Magnon transmission across <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mrow><mml:mi>ν</mml:mi><mml:mo>=</mml:mo><mml:mn>1</mml:mn><mml:mo>|</mml:mo><mml:mo>−</mml:mo><mml:mn>1</mml:mn><mml:mo>|</mml:mo><mml:mn>1</mml:mn></mml:mrow></mml:math> monolayer graphene junction as a probe of electronic structure",Global phase diagram of charge neutral graphene in the quantum Hall regime for generic interactions,0.739663
"Magnon transmission across <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mrow><mml:mi>ν</mml:mi><mml:mo>=</mml:mo><mml:mn>1</mml:mn><mml:mo>|</mml:mo><mml:mo>−</mml:mo><mml:mn>1</mml:mn><mml:mo>|</mml:mo><mml:mn>1</mml:mn></mml:mrow></mml:math> monolayer graphene junction as a probe of electronic structure",Nanoscale defects as probes of time reversal symmetry breaking,0.527988
Global phase diagram of charge neutral graphene in the quantum Hall regime for generic interactions,Nanoscale defects as probes of time reversal symmetry breaking,0.55167
