abstract_i,abstract_j,cosine_similarity
0,1,0.713158
0,2,0.735121
0,3,0.37884
0,4,0.577299
0,5,0.649312
0,6,0.387811
0,7,0.625398
0,8,0.689774
1,2,0.977232
1,3,0.336361
1,4,0.504192
1,5,0.61372
1,6,0.330313
1,7,0.707458
1,8,0.7681
2,3,0.357095
2,4,0.536082
2,5,0.644625
2,6,0.376158
2,7,0.723002
2,8,0.790029
3,4,0.367388
3,5,0.489105
3,6,0.467956
3,7,0.541614
3,8,0.521538
4,5,0.660823
4,6,0.460833
4,7,0.446556
4,8,0.520075
5,6,0.66761
5,7,0.595998
5,8,0.689168
6,7,0.363201
6,8,0.408184
7,8,0.910469
