title_i,title_j,cosine_similarity
Plasmons and the spectral function of graphene,Chirality and Correlations in Graphene,0.767873
Plasmons and the spectral function of graphene,Phase-Dependent Chiral Transport and Effective Non-Hermitian Dynamics in a Bosonic Kitaev-Majorana Chain,0.276027
Plasmons and the spectral function of graphene,Theory of Interedge Superexchange in Zigzag Edge Magnetism,0.568297
Plasmons and the spectral function of graphene,Klein Tunneling in Deformed Honeycomb Lattices,0.433467
Plasmons and the spectral function of graphene,Magnetic structure of GdBiPt: A candidate antiferromagnetic topological insulator,0.383297
Plasmons and the spectral function of graphene,Topologically protected braiding in a single wire using Floquet Majorana modes,0.313197
Plasmons and the spectral function of graphene,Photon-Inhibited Topological Transport in Quantum Well Heterostructures,0.450713
Plasmons and the spectral function of graphene,Edge-state transport in Floquet topological insulators,0.413153
Plasmons and the spectral function of graphene,Linear response theory and optical conductivity of Floquet topological insulators,0.511973
Plasmons and the spectral function of graphene,Inducing topological order in a honeycomb lattice,0.540006
Plasmons and the spectral function of graphene,Anderson topological superconductor,0.251202
Plasmons and the spectral function of graphene,"Metastable<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>π</mml:mi></mml:math>Junction between an<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:msub><mml:mi>s</mml:mi><mml:mo>±</mml:mo></mml:msub></mml:math>-Wave and an<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>s</mml:mi></mml:math>-Wave Superconductor",0.303747
Plasmons and the spectral function of graphene,Strong coupling expansion of the extended Hubbard model with spin-orbit coupling,0.354995
Plasmons and the spectral function of graphene,"Dirac cones, Floquet side bands, and theory of time-resolved angle-resolved photoemission",0.50157
Plasmons and the spectral function of graphene,Quantum oscillations in Weyl semimetals: A surface theory approach,0.457727
Plasmons and the spectral function of graphene,Optimizing the transport of Majorana zero modes in one-dimensional topological superconductors,0.337433
Plasmons and the spectral function of graphene,Magnetoconductance signatures of chiral domain-wall bound states in magnetic topological insulators,0.287072
Plasmons and the spectral function of graphene,Dynamical approach to improving Majorana qubits and distinguishing them from trivial bound states,0.361251
Plasmons and the spectral function of graphene,"Strain-induced superconductivity in <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mrow><mml:msub><mml:mi>Sr</mml:mi><mml:mn>2</mml:mn></mml:msub><mml:msub><mml:mi>IrO</mml:mi><mml:mn>4</mml:mn></mml:msub></mml:mrow></mml:math>",0.337188
Plasmons and the spectral function of graphene,Interplay between superconductivity and magnetism in triangular lattices,0.35338
Plasmons and the spectral function of graphene,Signatures of the order parameter of a superconducting adatom layer in magnetic field dependent quasiparticle interference,0.398356
Plasmons and the spectral function of graphene,Unifying Anderson transitions and topological amplification in non-Hermitian chains,0.408891
Plasmons and the spectral function of graphene,"Absolute values of the London penetration depth in<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:msub><mml:mrow><mml:mi mathvariant=""normal"">YBa</mml:mi></mml:mrow><mml:mrow><mml:mn>2</mml:mn></mml:mrow></mml:msub></mml:mrow><mml:mrow><mml:msub><mml:mrow><mml:mi mathvariant=""normal"">Cu</mml:mi></mml:mrow><mml:mrow><mml:mn>3</mml:mn></mml:mrow></mml:msub></mml:mrow><mml:mrow><mml:msub><mml:mrow><mml:mi mathvariant=""normal"">O</mml:mi></mml:mrow><mml:mrow><mml:mn>6</mml:mn><mml:mo>+</mml:mo><mml:mi>y</mml:mi></mml:mrow></mml:msub></mml:mrow></mml:math>measured by zero field ESR spectroscopy on Gd doped single crystals",0.259682
Plasmons and the spectral function of graphene,Theory of quasiparticle interference patterns in the pseudogap phase of the cuprate superconductors,0.297192
Plasmons and the spectral function of graphene,"Magnetic-field dependence of quasiparticle interference peaks in a<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>d</mml:mi></mml:math>-wave superconductor with weak disorder",0.335697
Plasmons and the spectral function of graphene,Gauge-invariant response functions in algebraic Fermi liquids,0.338276
Plasmons and the spectral function of graphene,Entanglement spectrum as a probe for the topology of a spin-orbit-coupled superconductor,0.307628
Plasmons and the spectral function of graphene,QUASIPARTICLE INTERFERENCE PATTERNS AS A TEST FOR THE NATURE OF THE PSEUDOGAP PHASE IN THE CUPRATE SUPERCONDUCTORS,0.351318
Plasmons and the spectral function of graphene,Magnetic skyrmion crystal at a topological insulator surface,0.475429
Plasmons and the spectral function of graphene,Chiral quasiparticle local density of states maps in graphene,0.689383
Plasmons and the spectral function of graphene,Tunable skyrmion-skyrmion binding on the surface of a topological insulator,0.416075
Plasmons and the spectral function of graphene,Probing order parameter structure in iron-based superconductors using vortices,0.332462
Plasmons and the spectral function of graphene,Topological superconductivity without proximity effect,0.409326
Plasmons and the spectral function of graphene,Transport through a disordered topological-metal strip,0.391591
Plasmons and the spectral function of graphene,"Revisiting <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mrow><mml:mn>2</mml:mn><mml:mi>π</mml:mi></mml:mrow></mml:math> phase slip suppression in topological Josephson junctions",0.40232
Plasmons and the spectral function of graphene,"Modeling multiorbital effects in <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mrow><mml:msub><mml:mi>Sr</mml:mi><mml:mn>2</mml:mn></mml:msub><mml:msub><mml:mi>IrO</mml:mi><mml:mn>4</mml:mn></mml:msub></mml:mrow></mml:math> under strain and a Zeeman field",0.342706
Plasmons and the spectral function of graphene,Disorder-induced topological phase transition in a driven Majorana chain,0.324775
Plasmons and the spectral function of graphene,Incommensurate spin density wave as a signature of spin-orbit coupling and precursor of topological superconductivity,0.313811
Plasmons and the spectral function of graphene,Coupling between a Weyl semimetal and a nontopological metal,0.465027
Plasmons and the spectral function of graphene,Berry phase in cuprate superconductors,0.49689
Plasmons and the spectral function of graphene,Andreev edge state on semi-infinite triangular lattice: Detecting the pairing symmetry in Na <sub>0.35</sub> CoO <sub>2</sub> · <i>y</i> H <sub>2</sub> O,0.39088
Plasmons and the spectral function of graphene,Zeeman-field-induced nontrivial topology in a spin-orbit-coupled superconductor,0.360962
Plasmons and the spectral function of graphene,Quasiparticle interference patterns in a topological superconductor,0.416114
Plasmons and the spectral function of graphene,Optical conductivity of a topological system driven using a realistic pulse,0.372128
Plasmons and the spectral function of graphene,Renormalization-group-inspired neural networks for computing topological invariants,0.188716
Plasmons and the spectral function of graphene,Charged magnons on the surface of a topological insulator,0.455444
Plasmons and the spectral function of graphene,Topological amplification of the bosonic Kitaev chain with nonuniform loss,0.336147
Plasmons and the spectral function of graphene,"Coexistence of bulk antiferromagnetic order and superconductivity in the<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:msub><mml:mrow><mml:mi mathvariant=""normal"">QED</mml:mi></mml:mrow><mml:mrow><mml:mn>3</mml:mn></mml:mrow></mml:msub></mml:mrow></mml:math>theory of copper oxides",0.26831
Plasmons and the spectral function of graphene,Duality and the vibrational modes of a Cooper-pair Wigner crystal,0.269996
Plasmons and the spectral function of graphene,Analytic expression for the entanglement entropy of a two-dimensional topological superconductor,0.324586
Plasmons and the spectral function of graphene,"Effects of order parameter self-consistency in a<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mrow><mml:msub><mml:mi>s</mml:mi><mml:mo>±</mml:mo></mml:msub><mml:mo>−</mml:mo><mml:mi>s</mml:mi></mml:mrow></mml:math>junction",0.247404
Plasmons and the spectral function of graphene,Surface theory of a second-order topological insulator beyond the Dirac approximation,0.492335
Plasmons and the spectral function of graphene,Semiclassical approach to bound states of a pointlike impurity in a two-dimensional Dirac system,0.500636
Plasmons and the spectral function of graphene,Visualizing near-coexistence of massless Dirac electrons and ultra-massive saddle point electrons,0.446052
Plasmons and the spectral function of graphene,Absolute values of the London penetration depth in YBa2Cu3O6+y measured by zero field ESR spectroscopy on Gd doped single crystals,0.238734
Plasmons and the spectral function of graphene,Semiclassical approach to 2d impurity bound states in Dirac systems,0.479578
Plasmons and the spectral function of graphene,Theory of inter-edge superexchange in zigzag edge magnetism,0.57775
Plasmons and the spectral function of graphene,Anderson Topological Superconductor and Entanglement Entropy,0.251132
Plasmons and the spectral function of graphene,Linking hysteretic magnetoconductance to chiral domain-wall bound states in magnetic topological insulators,0.288752
Plasmons and the spectral function of graphene,Braiding floquet majorana modes in one-dimensional topological superconductors,0.360383
Plasmons and the spectral function of graphene,Magnetism and superconductivity in doped triangular-lattice Mott insulators,0.359812
Plasmons and the spectral function of graphene,Report on scipost_202305_00044v1,0.457486
Plasmons and the spectral function of graphene,Disorder induced topological phase transition in a driven Majorana chain,0.318945
Plasmons and the spectral function of graphene,Nanoscale defects as probes of time reversal symmetry breaking,0.356572
Plasmons and the spectral function of graphene,Topological Amplification of the Bosonic Kitaev Chain with Non-Uniform Loss,0.337849
Plasmons and the spectral function of graphene,Long-range multipartite entanglement near measurement-induced transitions,0.301951
Chirality and Correlations in Graphene,Phase-Dependent Chiral Transport and Effective Non-Hermitian Dynamics in a Bosonic Kitaev-Majorana Chain,0.372817
Chirality and Correlations in Graphene,Theory of Interedge Superexchange in Zigzag Edge Magnetism,0.640253
Chirality and Correlations in Graphene,Klein Tunneling in Deformed Honeycomb Lattices,0.415548
Chirality and Correlations in Graphene,Magnetic structure of GdBiPt: A candidate antiferromagnetic topological insulator,0.462156
Chirality and Correlations in Graphene,Topologically protected braiding in a single wire using Floquet Majorana modes,0.410598
Chirality and Correlations in Graphene,Photon-Inhibited Topological Transport in Quantum Well Heterostructures,0.4393
Chirality and Correlations in Graphene,Edge-state transport in Floquet topological insulators,0.437436
Chirality and Correlations in Graphene,Linear response theory and optical conductivity of Floquet topological insulators,0.501807
Chirality and Correlations in Graphene,Inducing topological order in a honeycomb lattice,0.584734
Chirality and Correlations in Graphene,Anderson topological superconductor,0.3599
