title_i,title_j,cosine_similarity
"Measurement of the CMB temperature power spectrum and constraints on cosmology from the SPT-3G 2018 <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mrow><mml:mi>T</mml:mi><mml:mi>T</mml:mi></mml:mrow></mml:mrow></mml:math>, <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mi>T</mml:mi><mml:mi>E</mml:mi></mml:mrow></mml:math>, and <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mi>E</mml:mi><mml:mi>E</mml:mi></mml:mrow></mml:math> dataset",The Simons Observatory: science goals and forecasts for the enhanced Large Aperture Telescope,0.666274
"Measurement of the CMB temperature power spectrum and constraints on cosmology from the SPT-3G 2018 <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mrow><mml:mi>T</mml:mi><mml:mi>T</mml:mi></mml:mrow></mml:mrow></mml:math>, <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mi>T</mml:mi><mml:mi>E</mml:mi></mml:mrow></mml:math>, and <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mi>E</mml:mi><mml:mi>E</mml:mi></mml:mrow></mml:math> dataset",Testing the ΛCDM Cosmological Model with Forthcoming Measurements of the Cosmic Microwave Background with SPT-3G,0.750119
"Measurement of the CMB temperature power spectrum and constraints on cosmology from the SPT-3G 2018 <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mrow><mml:mi>T</mml:mi><mml:mi>T</mml:mi></mml:mrow></mml:mrow></mml:math>, <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mi>T</mml:mi><mml:mi>E</mml:mi></mml:mrow></mml:math>, and <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mi>E</mml:mi><mml:mi>E</mml:mi></mml:mrow></mml:math> dataset",Measurement and Modeling of Polarized Atmosphere at the South Pole with SPT-3G,0.583949
"Measurement of the CMB temperature power spectrum and constraints on cosmology from the SPT-3G 2018 <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mrow><mml:mi>T</mml:mi><mml:mi>T</mml:mi></mml:mrow></mml:mrow></mml:math>, <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mi>T</mml:mi><mml:mi>E</mml:mi></mml:mrow></mml:math>, and <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mi>E</mml:mi><mml:mi>E</mml:mi></mml:mrow></mml:math> dataset",SPT-3G D1: Constraints on inflationary gravitational waves with two years of SPT-3G data,0.814483
"Measurement of the CMB temperature power spectrum and constraints on cosmology from the SPT-3G 2018 <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mrow><mml:mi>T</mml:mi><mml:mi>T</mml:mi></mml:mrow></mml:mrow></mml:math>, <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mi>T</mml:mi><mml:mi>E</mml:mi></mml:mrow></mml:math>, and <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mi>E</mml:mi><mml:mi>E</mml:mi></mml:mrow></mml:math> dataset","Simultaneous Millimeter-wave, Gamma-ray, and Optical Monitoring of the Blazar PKS 2326-502 During a Flaring State",0.703844
"Measurement of the CMB temperature power spectrum and constraints on cosmology from the SPT-3G 2018 <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mrow><mml:mi>T</mml:mi><mml:mi>T</mml:mi></mml:mrow></mml:mrow></mml:math>, <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mi>T</mml:mi><mml:mi>E</mml:mi></mml:mrow></mml:math>, and <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mi>E</mml:mi><mml:mi>E</mml:mi></mml:mrow></mml:math> dataset",Testing the $\mathbfΛ$CDM Cosmological Model with Forthcoming Measurements of the Cosmic Microwave Background with SPT-3G,0.786603
The Simons Observatory: science goals and forecasts for the enhanced Large Aperture Telescope,Testing the ΛCDM Cosmological Model with Forthcoming Measurements of the Cosmic Microwave Background with SPT-3G,0.604066
The Simons Observatory: science goals and forecasts for the enhanced Large Aperture Telescope,Measurement and Modeling of Polarized Atmosphere at the South Pole with SPT-3G,0.441897
The Simons Observatory: science goals and forecasts for the enhanced Large Aperture Telescope,SPT-3G D1: Constraints on inflationary gravitational waves with two years of SPT-3G data,0.693643
The Simons Observatory: science goals and forecasts for the enhanced Large Aperture Telescope,"Simultaneous Millimeter-wave, Gamma-ray, and Optical Monitoring of the Blazar PKS 2326-502 During a Flaring State",0.709974
The Simons Observatory: science goals and forecasts for the enhanced Large Aperture Telescope,Testing the $\mathbfΛ$CDM Cosmological Model with Forthcoming Measurements of the Cosmic Microwave Background with SPT-3G,0.614187
Testing the ΛCDM Cosmological Model with Forthcoming Measurements of the Cosmic Microwave Background with SPT-3G,Measurement and Modeling of Polarized Atmosphere at the South Pole with SPT-3G,0.643614
Testing the ΛCDM Cosmological Model with Forthcoming Measurements of the Cosmic Microwave Background with SPT-3G,SPT-3G D1: Constraints on inflationary gravitational waves with two years of SPT-3G data,0.753824
Testing the ΛCDM Cosmological Model with Forthcoming Measurements of the Cosmic Microwave Background with SPT-3G,"Simultaneous Millimeter-wave, Gamma-ray, and Optical Monitoring of the Blazar PKS 2326-502 During a Flaring State",0.61879
Testing the ΛCDM Cosmological Model with Forthcoming Measurements of the Cosmic Microwave Background with SPT-3G,Testing the $\mathbfΛ$CDM Cosmological Model with Forthcoming Measurements of the Cosmic Microwave Background with SPT-3G,0.910585
Measurement and Modeling of Polarized Atmosphere at the South Pole with SPT-3G,SPT-3G D1: Constraints on inflationary gravitational waves with two years of SPT-3G data,0.660966
Measurement and Modeling of Polarized Atmosphere at the South Pole with SPT-3G,"Simultaneous Millimeter-wave, Gamma-ray, and Optical Monitoring of the Blazar PKS 2326-502 During a Flaring State",0.570502
Measurement and Modeling of Polarized Atmosphere at the South Pole with SPT-3G,Testing the $\mathbfΛ$CDM Cosmological Model with Forthcoming Measurements of the Cosmic Microwave Background with SPT-3G,0.62495
SPT-3G D1: Constraints on inflationary gravitational waves with two years of SPT-3G data,"Simultaneous Millimeter-wave, Gamma-ray, and Optical Monitoring of the Blazar PKS 2326-502 During a Flaring State",0.744297
SPT-3G D1: Constraints on inflationary gravitational waves with two years of SPT-3G data,Testing the $\mathbfΛ$CDM Cosmological Model with Forthcoming Measurements of the Cosmic Microwave Background with SPT-3G,0.751771
"Simultaneous Millimeter-wave, Gamma-ray, and Optical Monitoring of the Blazar PKS 2326-502 During a Flaring State",Testing the $\mathbfΛ$CDM Cosmological Model with Forthcoming Measurements of the Cosmic Microwave Background with SPT-3G,0.617212
