title_i,title_j,cosine_similarity
CHIME/FRB Outriggers: KKO Station System and Commissioning Results,A Catalog of Local Universe Fast Radio Bursts from CHIME/FRB and the KKO,0.739461
CHIME/FRB Outriggers: KKO Station System and Commissioning Results,CHIME/FRB Outriggers: Design Overview,0.907464
CHIME/FRB Outriggers: KKO Station System and Commissioning Results,IGAPS: the merged IPHAS and UVEX optical surveys of the northern Galactic plane,0.556445
CHIME/FRB Outriggers: KKO Station System and Commissioning Results,The 2014–2017 outburst of the young star ASASSN-13db,0.400965
CHIME/FRB Outriggers: KKO Station System and Commissioning Results,Detection of the YORP effect on the contact binary (68346) 2001 KZ66 from combined radar and optical observations,0.329216
CHIME/FRB Outriggers: KKO Station System and Commissioning Results,CHIME All-sky Multiday Pulsar Stacking Search (CHAMPSS): System Overview and First Discoveries,0.783082
CHIME/FRB Outriggers: KKO Station System and Commissioning Results,Shape model and spin-state analysis of PHA contact binary (85990) 1999 JV6 from combined radar and optical observations,0.427028
CHIME/FRB Outriggers: KKO Station System and Commissioning Results,A survey for variable young stars with small telescopes: First results from HOYS-CAPS,0.503278
CHIME/FRB Outriggers: KKO Station System and Commissioning Results,A survey for variable young stars with small telescopes – IV. Rotation periods of YSOs in IC 5070,0.449673
CHIME/FRB Outriggers: KKO Station System and Commissioning Results,Variability in IC5070: Two Young Stars with Deep Recurring Eclipses*,0.502297
CHIME/FRB Outriggers: KKO Station System and Commissioning Results,Physical modelling of near-Earth asteroid (23187) 2000 PN9 with ground-based optical and radar observations,0.359074
CHIME/FRB Outriggers: KKO Station System and Commissioning Results,The 2014-2017 outburst of the young star ASASSN-13db: A time-resolved picture of a very low-mass star between EXors and FUors,0.404348
CHIME/FRB Outriggers: KKO Station System and Commissioning Results,Variability in IC5070: two young stars with deep recurring eclipses,0.333587
CHIME/FRB Outriggers: KKO Station System and Commissioning Results,"Optical brightness and colours of V2492Cyg before, during and after the recent record peak in brightness",0.380166
CHIME/FRB Outriggers: KKO Station System and Commissioning Results,Physical modelling of YORP-evolved NEA (23187) 2000 PN9 from optical and radar observations,0.410767
CHIME/FRB Outriggers: KKO Station System and Commissioning Results,A Catalog of Local Universe Fast Radio Bursts from CHIME/FRB and the KKO Outrigger,0.725778
A Catalog of Local Universe Fast Radio Bursts from CHIME/FRB and the KKO,CHIME/FRB Outriggers: Design Overview,0.719269
A Catalog of Local Universe Fast Radio Bursts from CHIME/FRB and the KKO,IGAPS: the merged IPHAS and UVEX optical surveys of the northern Galactic plane,0.609519
A Catalog of Local Universe Fast Radio Bursts from CHIME/FRB and the KKO,The 2014–2017 outburst of the young star ASASSN-13db,0.47658
A Catalog of Local Universe Fast Radio Bursts from CHIME/FRB and the KKO,Detection of the YORP effect on the contact binary (68346) 2001 KZ66 from combined radar and optical observations,0.321383
A Catalog of Local Universe Fast Radio Bursts from CHIME/FRB and the KKO,CHIME All-sky Multiday Pulsar Stacking Search (CHAMPSS): System Overview and First Discoveries,0.62621
A Catalog of Local Universe Fast Radio Bursts from CHIME/FRB and the KKO,Shape model and spin-state analysis of PHA contact binary (85990) 1999 JV6 from combined radar and optical observations,0.420385
A Catalog of Local Universe Fast Radio Bursts from CHIME/FRB and the KKO,A survey for variable young stars with small telescopes: First results from HOYS-CAPS,0.607725
A Catalog of Local Universe Fast Radio Bursts from CHIME/FRB and the KKO,A survey for variable young stars with small telescopes – IV. Rotation periods of YSOs in IC 5070,0.522021
A Catalog of Local Universe Fast Radio Bursts from CHIME/FRB and the KKO,Variability in IC5070: Two Young Stars with Deep Recurring Eclipses*,0.524407
A Catalog of Local Universe Fast Radio Bursts from CHIME/FRB and the KKO,Physical modelling of near-Earth asteroid (23187) 2000 PN9 with ground-based optical and radar observations,0.390864
A Catalog of Local Universe Fast Radio Bursts from CHIME/FRB and the KKO,The 2014-2017 outburst of the young star ASASSN-13db: A time-resolved picture of a very low-mass star between EXors and FUors,0.484201
A Catalog of Local Universe Fast Radio Bursts from CHIME/FRB and the KKO,Variability in IC5070: two young stars with deep recurring eclipses,0.365405
A Catalog of Local Universe Fast Radio Bursts from CHIME/FRB and the KKO,"Optical brightness and colours of V2492Cyg before, during and after the recent record peak in brightness",0.492345
A Catalog of Local Universe Fast Radio Bursts from CHIME/FRB and the KKO,Physical modelling of YORP-evolved NEA (23187) 2000 PN9 from optical and radar observations,0.399582
A Catalog of Local Universe Fast Radio Bursts from CHIME/FRB and the KKO,A Catalog of Local Universe Fast Radio Bursts from CHIME/FRB and the KKO Outrigger,0.990831
CHIME/FRB Outriggers: Design Overview,IGAPS: the merged IPHAS and UVEX optical surveys of the northern Galactic plane,0.559902
CHIME/FRB Outriggers: Design Overview,The 2014–2017 outburst of the young star ASASSN-13db,0.423764
CHIME/FRB Outriggers: Design Overview,Detection of the YORP effect on the contact binary (68346) 2001 KZ66 from combined radar and optical observations,0.348216
CHIME/FRB Outriggers: Design Overview,CHIME All-sky Multiday Pulsar Stacking Search (CHAMPSS): System Overview and First Discoveries,0.731844
CHIME/FRB Outriggers: Design Overview,Shape model and spin-state analysis of PHA contact binary (85990) 1999 JV6 from combined radar and optical observations,0.447842
CHIME/FRB Outriggers: Design Overview,A survey for variable young stars with small telescopes: First results from HOYS-CAPS,0.486061
CHIME/FRB Outriggers: Design Overview,A survey for variable young stars with small telescopes – IV. Rotation periods of YSOs in IC 5070,0.401595
CHIME/FRB Outriggers: Design Overview,Variability in IC5070: Two Young Stars with Deep Recurring Eclipses*,0.49116
CHIME/FRB Outriggers: Design Overview,Physical modelling of near-Earth asteroid (23187) 2000 PN9 with ground-based optical and radar observations,0.376768
CHIME/FRB Outriggers: Design Overview,The 2014-2017 outburst of the young star ASASSN-13db: A time-resolved picture of a very low-mass star between EXors and FUors,0.43388
CHIME/FRB Outriggers: Design Overview,Variability in IC5070: two young stars with deep recurring eclipses,0.370057
CHIME/FRB Outriggers: Design Overview,"Optical brightness and colours of V2492Cyg before, during and after the recent record peak in brightness",0.401504
CHIME/FRB Outriggers: Design Overview,Physical modelling of YORP-evolved NEA (23187) 2000 PN9 from optical and radar observations,0.420495
CHIME/FRB Outriggers: Design Overview,A Catalog of Local Universe Fast Radio Bursts from CHIME/FRB and the KKO Outrigger,0.711957
IGAPS: the merged IPHAS and UVEX optical surveys of the northern Galactic plane,The 2014–2017 outburst of the young star ASASSN-13db,0.555293
IGAPS: the merged IPHAS and UVEX optical surveys of the northern Galactic plane,Detection of the YORP effect on the contact binary (68346) 2001 KZ66 from combined radar and optical observations,0.37886
IGAPS: the merged IPHAS and UVEX optical surveys of the northern Galactic plane,CHIME All-sky Multiday Pulsar Stacking Search (CHAMPSS): System Overview and First Discoveries,0.536175
IGAPS: the merged IPHAS and UVEX optical surveys of the northern Galactic plane,Shape model and spin-state analysis of PHA contact binary (85990) 1999 JV6 from combined radar and optical observations,0.502451
IGAPS: the merged IPHAS and UVEX optical surveys of the northern Galactic plane,A survey for variable young stars with small telescopes: First results from HOYS-CAPS,0.666255
IGAPS: the merged IPHAS and UVEX optical surveys of the northern Galactic plane,A survey for variable young stars with small telescopes – IV. Rotation periods of YSOs in IC 5070,0.590782
IGAPS: the merged IPHAS and UVEX optical surveys of the northern Galactic plane,Variability in IC5070: Two Young Stars with Deep Recurring Eclipses*,0.60235
IGAPS: the merged IPHAS and UVEX optical surveys of the northern Galactic plane,Physical modelling of near-Earth asteroid (23187) 2000 PN9 with ground-based optical and radar observations,0.419686
IGAPS: the merged IPHAS and UVEX optical surveys of the northern Galactic plane,The 2014-2017 outburst of the young star ASASSN-13db: A time-resolved picture of a very low-mass star between EXors and FUors,0.542923
IGAPS: the merged IPHAS and UVEX optical surveys of the northern Galactic plane,Variability in IC5070: two young stars with deep recurring eclipses,0.444431
IGAPS: the merged IPHAS and UVEX optical surveys of the northern Galactic plane,"Optical brightness and colours of V2492Cyg before, during and after the recent record peak in brightness",0.522809
IGAPS: the merged IPHAS and UVEX optical surveys of the northern Galactic plane,Physical modelling of YORP-evolved NEA (23187) 2000 PN9 from optical and radar observations,0.435343
IGAPS: the merged IPHAS and UVEX optical surveys of the northern Galactic plane,A Catalog of Local Universe Fast Radio Bursts from CHIME/FRB and the KKO Outrigger,0.598519
The 2014–2017 outburst of the young star ASASSN-13db,Detection of the YORP effect on the contact binary (68346) 2001 KZ66 from combined radar and optical observations,0.463413
The 2014–2017 outburst of the young star ASASSN-13db,CHIME All-sky Multiday Pulsar Stacking Search (CHAMPSS): System Overview and First Discoveries,0.415579
The 2014–2017 outburst of the young star ASASSN-13db,Shape model and spin-state analysis of PHA contact binary (85990) 1999 JV6 from combined radar and optical observations,0.480378
The 2014–2017 outburst of the young star ASASSN-13db,A survey for variable young stars with small telescopes: First results from HOYS-CAPS,0.604755
The 2014–2017 outburst of the young star ASASSN-13db,A survey for variable young stars with small telescopes – IV. Rotation periods of YSOs in IC 5070,0.604388
The 2014–2017 outburst of the young star ASASSN-13db,Variability in IC5070: Two Young Stars with Deep Recurring Eclipses*,0.663231
The 2014–2017 outburst of the young star ASASSN-13db,Physical modelling of near-Earth asteroid (23187) 2000 PN9 with ground-based optical and radar observations,0.491532
