abstract_i,abstract_j,cosine_similarity
0,1,0.154835
0,2,0.14413
0,3,0.008275
0,4,-0.028998
0,5,0.059475
0,6,0.169353
0,7,0.152891
0,8,0.085681
0,9,0.320408
0,10,0.070291
0,11,0.13627
0,12,0.154835
1,2,-0.009533
1,3,0.31807
1,4,-0.109712
1,5,-0.030852
1,6,0.761798
1,7,-0.072885
1,8,-0.040742
1,9,0.54458
1,10,-0.042909
1,11,0.556555
1,12,1.0
2,3,-0.048885
2,4,0.698749
2,5,0.782032
2,6,-0.028616
2,7,0.650472
2,8,0.82083
2,9,0.085032
2,10,0.821632
2,11,-0.014746
2,12,-0.009533
3,4,-0.057239
3,5,-0.054908
3,6,0.243875
3,7,-0.105337
3,8,-0.015993
3,9,0.317883
3,10,-0.017991
3,11,0.281386
3,12,0.31807
4,5,0.808496
4,6,-0.118888
4,7,0.563138
4,8,0.676031
4,9,-0.047452
4,10,0.660713
4,11,-0.064147
4,12,-0.109712
5,6,-0.048342
5,7,0.683339
5,8,0.730482
5,9,0.013478
5,10,0.723285
5,11,-0.036778
5,12,-0.030852
6,7,-0.061458
6,8,-0.048915
6,9,0.457006
6,10,-0.054171
6,11,0.561365
6,12,0.761798
7,8,0.566364
7,9,-0.004409
7,10,0.565435
7,11,-0.014728
7,12,-0.072885
8,9,0.060501
8,10,0.992535
8,11,-0.051543
8,12,-0.040742
9,10,0.047965
9,11,0.414638
9,12,0.544581
10,11,-0.051276
10,12,-0.042909
11,12,0.556555
