abstract_i,abstract_j,cosine_similarity
0,1,0.063519
0,2,-0.025373
0,3,0.088637
0,4,0.378316
0,5,0.856032
0,6,0.167851
0,7,0.15171
0,8,0.099145
0,9,0.133973
0,10,0.239852
0,11,0.638688
0,12,0.387274
0,13,0.026981
0,14,0.182518
1,2,0.09126
1,3,0.053049
1,4,0.117263
1,5,0.037384
1,6,0.081658
1,7,0.071173
1,8,0.011545
1,9,0.14572
1,10,0.083537
1,11,0.047692
1,12,0.097421
1,13,0.117764
1,14,0.061006
2,3,0.004913
2,4,-0.016984
2,5,-0.025751
2,6,0.065318
2,7,0.038099
2,8,-0.012489
2,9,0.085722
2,10,0.084362
2,11,-0.016688
2,12,-0.008228
2,13,0.003503
2,14,0.040988
3,4,0.187742
3,5,0.147947
3,6,0.15653
3,7,0.267794
3,8,0.29035
3,9,0.049322
3,10,0.237646
3,11,0.151639
3,12,0.069434
3,13,0.017494
3,14,0.27556
4,5,0.470646
4,6,0.130131
4,7,0.123394
4,8,0.099396
4,9,0.099403
4,10,0.269112
4,11,0.534348
4,12,0.24537
4,13,0.009285
4,14,0.153873
5,6,0.240396
5,7,0.133343
5,8,0.122882
5,9,0.169107
5,10,0.248114
5,11,0.702192
5,12,0.435009
5,13,0.037163
5,14,0.169688
6,7,0.260963
6,8,0.103368
6,9,0.236527
6,10,0.284868
6,11,0.249146
6,12,0.212393
6,13,0.093099
6,14,0.242574
7,8,0.470596
7,9,0.129019
7,10,0.741986
7,11,0.105333
7,12,0.136134
7,13,0.130386
7,14,0.989483
8,9,0.081272
8,10,0.586683
8,11,0.196629
8,12,0.104038
8,13,0.297104
8,14,0.46919
9,10,0.089794
9,11,0.134123
9,12,0.655318
9,13,0.016176
9,14,0.104245
10,11,0.218957
10,12,0.129618
10,13,0.194287
10,14,0.756146
11,12,0.366762
11,13,0.069842
11,14,0.134725
12,13,-0.038661
12,14,0.12028
13,14,0.121738
