title_i,title_j,cosine_similarity
Two-year optical site characterization for the Pacific Ocean Neutrino Experiment (P-ONE) in the Cascadia Basin,The analysis of VERITAS muon images using convolutional neural networks,0.347682
Two-year optical site characterization for the Pacific Ocean Neutrino Experiment (P-ONE) in the Cascadia Basin,"First Combined Study on Lorentz Invariance Violation from Observations of Energy-dependent Time Delays from Multiple-type Gamma-Ray Sources. I. Motivation, Method Description, and Validation through Simulations of H.E.S.S., MAGIC, and VERITAS Data Sets",0.347264
Two-year optical site characterization for the Pacific Ocean Neutrino Experiment (P-ONE) in the Cascadia Basin,P-ONE second pathfinder mission: STRAW-b,0.899033
Two-year optical site characterization for the Pacific Ocean Neutrino Experiment (P-ONE) in the Cascadia Basin,Effect of dense planer focal plane array on device performances,0.106917
Two-year optical site characterization for the Pacific Ocean Neutrino Experiment (P-ONE) in the Cascadia Basin,Optical analysis of the Pacific Ocean Neutrino Experiment (P-ONE) site using data from the first pathfinder mooring,0.856301
Two-year optical site characterization for the Pacific Ocean Neutrino Experiment (P-ONE) in the Cascadia Basin,Pacific Ocean Neutrino Experiment (P-ONE): prototype line development,0.8353
Two-year optical site characterization for the Pacific Ocean Neutrino Experiment (P-ONE) in the Cascadia Basin,A domain-customizable SVG-based graph editor for software visualizations,-0.045942
Two-year optical site characterization for the Pacific Ocean Neutrino Experiment (P-ONE) in the Cascadia Basin,First combined studies on Lorentz Invariance Violation from observations of astrophysical sources,0.415225
Two-year optical site characterization for the Pacific Ocean Neutrino Experiment (P-ONE) in the Cascadia Basin,First combined studies on Lorentz Invariance Violation from observations\n of astrophysical sources,0.490589
Two-year optical site characterization for the Pacific Ocean Neutrino Experiment (P-ONE) in the Cascadia Basin,"Robust constraints on Lorentz Invariance Violation from H.E.S.S., MAGIC\n and VERITAS data combination",0.453428
Two-year optical site characterization for the Pacific Ocean Neutrino Experiment (P-ONE) in the Cascadia Basin,"Robust constraints on Lorentz Invariance Violation from H.E.S.S., MAGIC and VERITAS data combination",0.395599
The analysis of VERITAS muon images using convolutional neural networks,"First Combined Study on Lorentz Invariance Violation from Observations of Energy-dependent Time Delays from Multiple-type Gamma-Ray Sources. I. Motivation, Method Description, and Validation through Simulations of H.E.S.S., MAGIC, and VERITAS Data Sets",0.334942
The analysis of VERITAS muon images using convolutional neural networks,P-ONE second pathfinder mission: STRAW-b,0.34296
The analysis of VERITAS muon images using convolutional neural networks,Effect of dense planer focal plane array on device performances,0.100279
The analysis of VERITAS muon images using convolutional neural networks,Optical analysis of the Pacific Ocean Neutrino Experiment (P-ONE) site using data from the first pathfinder mooring,0.423937
The analysis of VERITAS muon images using convolutional neural networks,Pacific Ocean Neutrino Experiment (P-ONE): prototype line development,0.430068
The analysis of VERITAS muon images using convolutional neural networks,A domain-customizable SVG-based graph editor for software visualizations,0.03229
The analysis of VERITAS muon images using convolutional neural networks,First combined studies on Lorentz Invariance Violation from observations of astrophysical sources,0.578911
The analysis of VERITAS muon images using convolutional neural networks,First combined studies on Lorentz Invariance Violation from observations\n of astrophysical sources,0.576505
The analysis of VERITAS muon images using convolutional neural networks,"Robust constraints on Lorentz Invariance Violation from H.E.S.S., MAGIC\n and VERITAS data combination",0.48429
The analysis of VERITAS muon images using convolutional neural networks,"Robust constraints on Lorentz Invariance Violation from H.E.S.S., MAGIC and VERITAS data combination",0.500468
"First Combined Study on Lorentz Invariance Violation from Observations of Energy-dependent Time Delays from Multiple-type Gamma-Ray Sources. I. Motivation, Method Description, and Validation through Simulations of H.E.S.S., MAGIC, and VERITAS Data Sets",P-ONE second pathfinder mission: STRAW-b,0.253703
"First Combined Study on Lorentz Invariance Violation from Observations of Energy-dependent Time Delays from Multiple-type Gamma-Ray Sources. I. Motivation, Method Description, and Validation through Simulations of H.E.S.S., MAGIC, and VERITAS Data Sets",Effect of dense planer focal plane array on device performances,-0.014065
"First Combined Study on Lorentz Invariance Violation from Observations of Energy-dependent Time Delays from Multiple-type Gamma-Ray Sources. I. Motivation, Method Description, and Validation through Simulations of H.E.S.S., MAGIC, and VERITAS Data Sets",Optical analysis of the Pacific Ocean Neutrino Experiment (P-ONE) site using data from the first pathfinder mooring,0.307278
"First Combined Study on Lorentz Invariance Violation from Observations of Energy-dependent Time Delays from Multiple-type Gamma-Ray Sources. I. Motivation, Method Description, and Validation through Simulations of H.E.S.S., MAGIC, and VERITAS Data Sets",Pacific Ocean Neutrino Experiment (P-ONE): prototype line development,0.258803
"First Combined Study on Lorentz Invariance Violation from Observations of Energy-dependent Time Delays from Multiple-type Gamma-Ray Sources. I. Motivation, Method Description, and Validation through Simulations of H.E.S.S., MAGIC, and VERITAS Data Sets",A domain-customizable SVG-based graph editor for software visualizations,0.036939
"First Combined Study on Lorentz Invariance Violation from Observations of Energy-dependent Time Delays from Multiple-type Gamma-Ray Sources. I. Motivation, Method Description, and Validation through Simulations of H.E.S.S., MAGIC, and VERITAS Data Sets",First combined studies on Lorentz Invariance Violation from observations of astrophysical sources,0.595693
"First Combined Study on Lorentz Invariance Violation from Observations of Energy-dependent Time Delays from Multiple-type Gamma-Ray Sources. I. Motivation, Method Description, and Validation through Simulations of H.E.S.S., MAGIC, and VERITAS Data Sets",First combined studies on Lorentz Invariance Violation from observations\n of astrophysical sources,0.624994
