title_i,title_j,cosine_similarity
Direct View of Phonon Dynamics in Atomically Thin MoS<sub>2</sub>,Extreme lightwave electron field emission from a nanotip,0.386527
Direct View of Phonon Dynamics in Atomically Thin MoS<sub>2</sub>,A momentum-resolved view of polaron formation in materials,0.552784
Direct View of Phonon Dynamics in Atomically Thin MoS<sub>2</sub>,Excimer formation in zinc-phthalocyanine revealed using ultrafast electron diffraction,0.442033
Direct View of Phonon Dynamics in Atomically Thin MoS<sub>2</sub>,"Enhanced Acoustic Backscatter Due to High Abundance of Sand Dollars,<i>Dendraster excentricus</i>",-0.029165
Direct View of Phonon Dynamics in Atomically Thin MoS<sub>2</sub>,Ultrafast phonon diffuse scattering as a tool for observing chiral phonons in monolayer hexagonal lattices,0.711416
Direct View of Phonon Dynamics in Atomically Thin MoS<sub>2</sub>,Ultrafast electron diffuse scattering as a tool for studying phonon transport: Phonon hydrodynamics and second sound oscillations,0.626751
Direct View of Phonon Dynamics in Atomically Thin MoS<sub>2</sub>,High-precision magnetic field measurement and mapping of the LEReC 180° bending magnet using very low field NMR with Hall combined probe (140−350 G),0.123642
Direct View of Phonon Dynamics in Atomically Thin MoS<sub>2</sub>,Direct view of phonon dynamics in atomically thin MoS$_{2}$,0.992969
Direct View of Phonon Dynamics in Atomically Thin MoS<sub>2</sub>,Sub-cycle THz field emission of electrons from a tungsten nanotip,0.317343
Direct View of Phonon Dynamics in Atomically Thin MoS<sub>2</sub>,Ultrafast Electron Scattering: Femtosecond Electron Pulses in Materials Research,0.596797
Direct View of Phonon Dynamics in Atomically Thin MoS<sub>2</sub>,Ultrafast phonon dynamics in atomically thin MoS2 visualized in momentum and time,0.782549
Direct View of Phonon Dynamics in Atomically Thin MoS<sub>2</sub>,Ultrafast Phonon-Diffuse Scattering as a Tool for Observing Chiral Phonons in Monolayer Hexagonal Lattices,0.710177
Extreme lightwave electron field emission from a nanotip,A momentum-resolved view of polaron formation in materials,0.373993
Extreme lightwave electron field emission from a nanotip,Excimer formation in zinc-phthalocyanine revealed using ultrafast electron diffraction,0.359785
Extreme lightwave electron field emission from a nanotip,"Enhanced Acoustic Backscatter Due to High Abundance of Sand Dollars,<i>Dendraster excentricus</i>",-0.041533
