abstract_i,abstract_j,cosine_similarity
0,1,0.491803
0,2,0.206907
0,3,0.550627
0,4,0.288105
0,5,0.259811
0,6,0.31805
0,7,0.496583
0,8,0.720155
0,9,0.371858
0,10,0.830324
0,11,0.405439
0,12,0.386798
0,13,0.375237
0,14,0.571251
0,15,0.423362
0,16,0.369521
0,17,0.645762
0,18,0.474268
0,19,0.161179
0,20,0.439903
0,21,0.451908
0,22,0.372187
0,23,0.059598
0,24,0.427408
0,25,0.459201
0,26,0.430393
0,27,0.362638
0,28,0.463933
0,29,0.244187
0,30,0.574707
0,31,0.520916
0,32,0.314929
0,33,0.441136
0,34,0.365516
1,2,0.190185
1,3,0.2839
1,4,0.207287
1,5,0.349338
1,6,0.272836
1,7,0.515389
1,8,0.386351
1,9,0.352156
1,10,0.449743
1,11,0.384995
1,12,0.387657
1,13,0.356549
1,14,0.329863
1,15,0.446449
1,16,0.275461
1,17,0.324043
1,18,0.332082
1,19,0.171008
1,20,0.363727
1,21,0.390633
1,22,0.393752
1,23,0.180137
1,24,0.501616
1,25,0.391877
1,26,0.389448
1,27,0.360646
1,28,0.369485
1,29,0.200281
1,30,0.319841
1,31,0.421206
1,32,0.363328
1,33,0.386922
1,34,0.356591
2,3,0.152604
2,4,0.043702
2,5,0.1513
2,6,0.108466
2,7,0.092786
2,8,0.111193
2,9,0.043543
2,10,0.235733
2,11,0.042905
2,12,0.051414
2,13,0.066222
2,14,0.254193
2,15,0.221194
2,16,0.09577
2,17,0.142489
2,18,0.131008
2,19,0.025597
2,20,0.045342
2,21,0.040392
2,22,0.080974
2,23,0.123579
2,24,0.062722
2,25,0.138767
2,26,0.042244
2,27,0.079252
2,28,0.110353
2,29,0.103426
2,30,0.13874
2,31,0.107233
2,32,0.040691
2,33,0.085951
2,34,0.089073
3,4,0.21988
3,5,0.408785
3,6,0.283691
3,7,0.376176
3,8,0.735366
3,9,0.347325
3,10,0.641436
3,11,0.339038
3,12,0.349176
3,13,0.350328
3,14,0.774582
3,15,0.389407
3,16,0.508548
3,17,0.682418
3,18,0.552784
3,19,0.149728
3,20,0.352931
3,21,0.268622
3,22,0.259208
3,23,0.20962
3,24,0.413339
3,25,0.297249
3,26,0.335329
3,27,0.309969
3,28,0.326892
3,29,0.305991
3,30,0.663586
3,31,0.391149
3,32,0.278984
3,33,0.328447
3,34,0.300703
4,5,0.101487
4,6,0.530845
4,7,0.458441
4,8,0.396524
4,9,0.279114
4,10,0.272813
4,11,0.158298
4,12,0.200464
4,13,0.197434
4,14,0.215757
4,15,0.192436
4,16,0.209794
4,17,0.234329
4,18,0.23488
4,19,0.123307
4,20,0.185299
4,21,0.588042
4,22,0.311729
4,23,0.102876
4,24,0.172333
4,25,0.285179
4,26,0.197423
4,27,0.171508
4,28,0.374104
4,29,0.171677
4,30,0.284988
4,31,0.395546
4,32,0.140137
4,33,0.696773
4,34,0.501492
5,6,0.222775
5,7,0.373096
5,8,0.256248
5,9,0.586682
5,10,0.216453
5,11,0.53041
5,12,0.501114
5,13,0.518545
5,14,0.332166
5,15,0.409274
5,16,0.204101
5,17,0.191075
5,18,0.27138
5,19,0.605134
5,20,0.505399
5,21,0.175171
5,22,0.224867
5,23,0.54414
5,24,0.550235
5,25,0.168459
5,26,0.500644
5,27,0.59438
5,28,0.371236
5,29,0.480924
5,30,0.228041
5,31,0.27702
5,32,0.587753
5,33,0.221357
5,34,0.225053
6,7,0.429312
6,8,0.397876
6,9,0.334137
6,10,0.266707
6,11,0.323202
6,12,0.373845
6,13,0.349804
6,14,0.24083
6,15,0.273992
6,16,0.212206
6,17,0.28574
6,18,0.260128
6,19,0.218668
6,20,0.341298
6,21,0.472745
6,22,0.383054
6,23,0.183174
6,24,0.286433
6,25,0.2359
6,26,0.278243
6,27,0.262819
6,28,0.416138
6,29,0.250554
6,30,0.266432
6,31,0.394104
6,32,0.302914
6,33,0.576918
6,34,0.791797
7,8,0.5067
7,9,0.584526
7,10,0.502523
7,11,0.535615
7,12,0.558975
7,13,0.565508
7,14,0.354336
7,15,0.420741
7,16,0.356464
