abstract_i,abstract_j,cosine_similarity
0,1,0.691998
0,2,0.699785
0,3,0.656439
0,4,0.650209
0,5,0.666849
0,6,0.645187
0,7,0.654846
0,8,0.671698
0,9,0.713531
0,10,0.681816
0,11,0.741893
0,12,0.714392
0,13,0.715586
0,14,0.720473
0,15,0.609556
0,16,0.611482
0,17,0.612243
0,18,0.783051
0,19,0.80525
0,20,0.588517
0,21,0.647195
0,22,0.648391
0,23,0.657238
0,24,0.803185
0,25,0.635719
0,26,0.681844
0,27,0.719199
0,28,0.696889
0,29,0.683764
0,30,0.665267
0,31,0.737549
0,32,0.638473
0,33,0.641964
0,34,0.728162
0,35,0.640723
0,36,0.741342
1,2,0.745939
1,3,0.69089
1,4,0.681301
1,5,0.651227
1,6,0.672853
1,7,0.688187
1,8,0.633413
1,9,0.752589
1,10,0.725974
1,11,0.571195
1,12,0.734825
1,13,0.713896
1,14,0.790884
1,15,0.540144
1,16,0.588553
1,17,0.513773
1,18,0.689815
1,19,0.695489
1,20,0.477811
1,21,0.647115
1,22,0.594469
1,23,0.679914
1,24,0.694848
1,25,0.556762
1,26,0.732023
1,27,0.667093
1,28,0.716741
1,29,0.992644
1,30,0.654847
1,31,0.741587
1,32,0.524431
1,33,0.537037
1,34,0.758265
1,35,0.567425
1,36,0.746961
2,3,0.729499
2,4,0.676417
2,5,0.691115
2,6,0.758814
2,7,0.714424
2,8,0.625683
2,9,0.711054
2,10,0.682393
2,11,0.649195
2,12,0.70624
2,13,0.733982
2,14,0.746868
2,15,0.565728
2,16,0.568029
2,17,0.591076
2,18,0.689083
2,19,0.732055
2,20,0.550997
2,21,0.692091
2,22,0.689107
2,23,0.760982
2,24,0.73007
2,25,0.532694
2,26,0.685174
2,27,0.639769
2,28,0.683302
2,29,0.74735
2,30,0.694972
2,31,0.720111
2,32,0.568872
2,33,0.570839
2,34,0.733741
2,35,0.588187
2,36,0.728029
3,4,0.686561
3,5,0.768233
3,6,0.793969
3,7,0.984585
3,8,0.680915
3,9,0.764423
3,10,0.714913
3,11,0.580907
3,12,0.787144
3,13,0.731601
3,14,0.764064
3,15,0.703699
3,16,0.698302
3,17,0.644294
3,18,0.619197
3,19,0.66623
3,20,0.630608
3,21,0.822649
3,22,0.76656
3,23,0.79186
3,24,0.664684
3,25,0.639207
3,26,0.734823
3,27,0.727736
3,28,0.748843
3,29,0.702577
3,30,0.771266
3,31,0.727637
3,32,0.638983
3,33,0.668544
3,34,0.737899
3,35,0.659327
3,36,0.693158
4,5,0.86478
4,6,0.753155
4,7,0.686277
4,8,0.665203
4,9,0.823755
4,10,0.724869
4,11,0.545067
4,12,0.78043
4,13,0.817105
4,14,0.752066
4,15,0.611813
4,16,0.672424
4,17,0.588212
4,18,0.64416
4,19,0.66149
4,20,0.538813
4,21,0.666396
4,22,0.668646
4,23,0.758572
4,24,0.661026
4,25,0.700972
4,26,0.957172
4,27,0.672105
4,28,0.80005
4,29,0.677751
4,30,0.866135
4,31,0.738529
4,32,0.61305
4,33,0.572363
4,34,0.754809
4,35,0.596216
4,36,0.873873
5,6,0.798829
5,7,0.770349
5,8,0.737423
5,9,0.862409
5,10,0.773972
5,11,0.62938
5,12,0.783134
5,13,0.900554
5,14,0.765342
5,15,0.670687
5,16,0.74121
5,17,0.670363
5,18,0.645915
5,19,0.692481
5,20,0.687826
5,21,0.7683
5,22,0.754294
5,23,0.811228
5,24,0.689679
5,25,0.754061
5,26,0.887279
5,27,0.741763
5,28,0.864401
5,29,0.645019
5,30,0.998695
5,31,0.758286
5,32,0.68621
5,33,0.727758
5,34,0.769399
5,35,0.668118
5,36,0.848427
6,7,0.793202
6,8,0.635099
6,9,0.744748
6,10,0.704181
6,11,0.567716
6,12,0.744393
6,13,0.750704
6,14,0.730255
6,15,0.61496
6,16,0.653421
6,17,0.619846
6,18,0.631815
6,19,0.666717
6,20,0.613227
6,21,0.73223
6,22,0.692683
6,23,0.996417
6,24,0.664754
6,25,0.584562
6,26,0.756662
6,27,0.671339
6,28,0.717824
6,29,0.684205
6,30,0.803094
6,31,0.696055
6,32,0.618559
6,33,0.657583
6,34,0.714521
6,35,0.600877
6,36,0.750951
7,8,0.686607
7,9,0.763339
7,10,0.725148
7,11,0.575446
7,12,0.793775
7,13,0.732991
7,14,0.767375
7,15,0.694746
7,16,0.703742
7,17,0.647304
7,18,0.610801
7,19,0.659058
7,20,0.635967
7,21,0.830386
7,22,0.755643
7,23,0.792415
7,24,0.657409
7,25,0.637009
7,26,0.7424
7,27,0.736967
7,28,0.751794
7,29,0.695634
7,30,0.772772
7,31,0.73133
7,32,0.645472
7,33,0.656244
7,34,0.746008
7,35,0.670648
7,36,0.695205
8,9,0.761994
8,10,0.696458
8,11,0.637729
8,12,0.750601
