abstract_i,abstract_j,cosine_similarity
0,1,0.260407
0,2,0.074927
0,3,0.061987
0,4,-0.053171
0,5,0.061941
0,6,0.237896
0,7,0.020581
0,8,0.09969
0,9,0.229621
0,10,0.239717
0,11,0.351224
0,12,0.242053
0,13,0.251515
0,14,-0.016356
0,15,0.02006
0,16,0.236117
0,17,0.377519
0,18,-0.05714
0,19,0.212561
0,20,0.077845
0,21,0.037185
0,22,0.281019
0,23,0.112623
0,24,0.069168
0,25,0.035661
0,26,0.002591
0,27,-0.07834
0,28,-0.078432
0,29,0.191571
1,2,0.150808
1,3,-0.033765
1,4,-0.032215
1,5,-0.058487
1,6,0.67219
1,7,-0.054982
1,8,-0.021607
1,9,0.478286
1,10,0.146286
1,11,0.353595
1,12,0.376038
1,13,0.147703
1,14,0.011155
1,15,0.017789
1,16,0.187059
1,17,0.2762
1,18,0.036547
1,19,0.706104
1,20,0.181262
1,21,-0.038451
1,22,0.761086
1,23,0.021428
1,24,-0.043839
1,25,0.007006
1,26,0.064826
1,27,-0.098001
1,28,0.016249
1,29,0.40402
2,3,-0.086784
2,4,0.046151
2,5,0.055882
2,6,0.094433
2,7,0.027714
2,8,-0.055179
2,9,0.071203
2,10,0.077661
2,11,0.047805
2,12,0.229494
2,13,0.089356
2,14,0.055215
2,15,0.033347
2,16,0.007468
2,17,0.065257
2,18,-0.037224
2,19,0.115963
2,20,0.121946
2,21,-0.025913
2,22,0.19075
2,23,-0.017052
2,24,0.028358
2,25,0.007853
2,26,0.101641
2,27,-0.062394
2,28,-0.027034
2,29,0.156738
3,4,0.032433
3,5,-0.050491
3,6,0.031348
3,7,0.017307
3,8,0.931612
3,9,0.041715
3,10,0.145874
3,11,0.089771
3,12,-0.038512
3,13,0.149038
3,14,0.062499
3,15,0.075022
3,16,0.142794
3,17,0.109807
3,18,0.01605
3,19,0.0398
3,20,-0.044194
3,21,-0.020576
3,22,-0.054818
3,23,0.832313
3,24,0.040805
3,25,0.123074
3,26,0.014301
3,27,0.165715
3,28,0.023821
3,29,-0.058428
4,5,0.059388
4,6,-0.022496
4,7,0.011682
4,8,0.075887
4,9,-0.022645
4,10,0.00335
4,11,0.022118
4,12,0.013925
4,13,-0.028301
4,14,0.021019
4,15,0.031183
4,16,-0.048784
4,17,-0.053133
4,18,0.063078
4,19,-0.020722
4,20,0.046732
4,21,-0.030602
4,22,0.013355
4,23,-0.019284
4,24,-0.004589
4,25,0.243269
4,26,0.207087
4,27,0.108943
4,28,0.047086
4,29,0.030402
5,6,-0.052525
5,7,0.031563
5,8,-0.099354
5,9,-0.020465
5,10,0.21961
5,11,0.18524
5,12,0.023467
5,13,0.260413
5,14,0.120205
5,15,0.041018
5,16,0.127208
5,17,0.17341
5,18,0.047374
5,19,-0.059499
5,20,-0.028606
5,21,0.028285
5,22,-0.039327
5,23,-0.029738
5,24,0.001944
5,25,-0.062834
5,26,-0.010365
5,27,0.183598
5,28,0.263215
5,29,-0.000887
6,7,-0.001259
6,8,0.02835
6,9,0.407521
6,10,0.182845
6,11,0.248922
6,12,0.312963
6,13,0.126769
6,14,0.052484
6,15,0.085731
6,16,0.209212
6,17,0.208602
6,18,-0.025172
6,19,0.965734
6,20,0.234962
6,21,0.035487
6,22,0.695995
6,23,0.039799
6,24,0.011082
6,25,0.020877
6,26,-0.002103
6,27,-0.014242
6,28,0.064231
6,29,0.322389
7,8,0.011352
7,9,-0.028712
7,10,-0.065671
7,11,0.041591
7,12,0.066837
7,13,-0.013907
7,14,-0.01326
7,15,-0.005526
7,16,-0.018656
7,17,0.003597
7,18,0.552884
7,19,0.023341
7,20,0.062697
7,21,0.727344
7,22,-0.005288
7,23,0.046742
7,24,0.878078
7,25,-0.047531
7,26,0.026761
7,27,0.094108
7,28,0.04398
7,29,0.072102
8,9,0.055969
8,10,0.100672
8,11,0.103542
8,12,-0.027347
8,13,0.127635
8,14,0.053076
8,15,0.094931
8,16,0.10689
8,17,0.111477
8,18,-0.016987
8,19,0.035671
8,20,-0.038231
8,21,-0.023362
8,22,-0.044609
8,23,0.872729
8,24,0.038127
8,25,0.158585
8,26,0.026303
8,27,0.156038
8,28,0.007208
8,29,-0.071233
9,10,0.174404
9,11,0.290256
9,12,0.393856
9,13,0.162303
9,14,-0.075508
9,15,-0.044444
9,16,0.211151
9,17,0.227186
9,18,-0.030372
9,19,0.404803
9,20,0.246469
9,21,-0.054528
9,22,0.39365
9,23,0.084201
9,24,-0.026216
9,25,-0.038174
9,26,0.045472
9,27,-0.092636
9,28,0.012279
9,29,0.284903
10,11,0.425894
10,12,0.181316
10,13,0.503007
10,14,0.017874
10,15,0.11316
10,16,0.447518
10,17,0.428546
10,18,-0.053275
10,19,0.134859
10,20,0.052949
10,21,-0.06184
10,22,0.220093
10,23,0.096134
10,24,-0.054037
10,25,0.096901
10,26,-0.063584
10,27,-0.054573
10,28,0.001611
10,29,0.12908
11,12,0.255519
11,13,0.486603
11,14,-0.006966
11,15,0.063065
11,16,0.37802
11,17,0.523859
11,18,-0.003079
11,19,0.242508
11,20,0.02717
11,21,0.105307
11,22,0.265703
11,23,0.152732
11,24,0.042916
11,25,0.111963
11,26,0.013316
11,27,0.065447
11,28,-0.0435
11,29,0.216358
12,13,0.122782
12,14,-0.000502
12,15,-0.002447
12,16,-0.018335
12,17,0.16181
12,18,0.011709
12,19,0.308085
12,20,0.406895
12,21,0.002197
12,22,0.497477
12,23,0.008489
12,24,0.066412
12,25,0.090102
12,26,0.111961
12,27,-0.109642
12,28,-0.002699
12,29,0.529171
13,14,0.003053
13,15,0.075723
13,16,0.403383
13,17,0.456091
13,18,-0.027878
13,19,0.111161
13,20,-0.043966
13,21,0.070433
13,22,0.117368
13,23,0.182931
13,24,0.043449
13,25,0.109211
13,26,0.113103
13,27,0.021132
13,28,-0.014429
13,29,0.033602
14,15,0.551232
14,16,-0.049656
14,17,0.00852
14,18,-0.066895
14,19,0.054351
14,20,-0.033495
14,21,-0.012641
14,22,0.025531
14,23,0.06873
14,24,0.011197
14,25,-0.035496
14,26,-0.014124
14,27,-0.000775
14,28,0.447647
14,29,-0.019088
15,16,0.041005
15,17,0.097961
15,18,-0.056505
15,19,0.067862
15,20,-0.064967
15,21,0.037649
15,22,0.003809
15,23,0.091211
15,24,-0.049541
15,25,-0.007428
15,26,0.031835
15,27,0.047632
15,28,0.21995
15,29,-0.064522
16,17,0.702197
16,18,-0.02744
16,19,0.188521
16,20,-0.025272
16,21,0.033702
16,22,0.119849
16,23,0.141485
16,24,-0.003168
16,25,0.099165
16,26,-0.057864
16,27,-0.039193
16,28,0.061006
16,29,0.024623
17,18,-0.034071
17,19,0.193754
17,20,-0.012021
17,21,0.052212
17,22,0.230001
17,23,0.171723
17,24,0.019698
17,25,0.097322
17,26,0.02522
17,27,-0.004763
17,28,0.054588
17,29,0.113883
18,19,-0.002166
18,20,0.060144
18,21,0.414459
18,22,0.034573
18,23,0.010261
18,24,0.483916
18,25,-0.036269
18,26,0.114415
18,27,0.161146
