title_i,title_j,cosine_similarity
Back-reaction of long-wavelength cosmological fluctuations as measured by a clock field,Further Results on a Function Relevant for Conformal Blocks,0.166101
Back-reaction of long-wavelength cosmological fluctuations as measured by a clock field,Non-linear stability of α′-corrected Friedmann equations,0.494903
Back-reaction of long-wavelength cosmological fluctuations as measured by a clock field,Clock Fields and Logarithmic Decay of Dark Energy,0.631235
Back-reaction of long-wavelength cosmological fluctuations as measured by a clock field,Non-linear stability of $α'$-corrected Friedmann equations,0.485661
Back-reaction of long-wavelength cosmological fluctuations as measured by a clock field,Perturbative Correction to the Average Expansion Rate of Spacetimes with Perfect Fluids,0.758241
Back-reaction of long-wavelength cosmological fluctuations as measured by a clock field,Gauge-Invariant Scalar-Induced Gravitational Waves from Physical Observables,0.500502
Further Results on a Function Relevant for Conformal Blocks,Non-linear stability of α′-corrected Friedmann equations,0.188486
Further Results on a Function Relevant for Conformal Blocks,Clock Fields and Logarithmic Decay of Dark Energy,0.235332
Further Results on a Function Relevant for Conformal Blocks,Non-linear stability of $α'$-corrected Friedmann equations,0.181689
Further Results on a Function Relevant for Conformal Blocks,Perturbative Correction to the Average Expansion Rate of Spacetimes with Perfect Fluids,0.192451
Further Results on a Function Relevant for Conformal Blocks,Gauge-Invariant Scalar-Induced Gravitational Waves from Physical Observables,0.195534
Non-linear stability of α′-corrected Friedmann equations,Clock Fields and Logarithmic Decay of Dark Energy,0.559443
Non-linear stability of α′-corrected Friedmann equations,Non-linear stability of $α'$-corrected Friedmann equations,0.995258
Non-linear stability of α′-corrected Friedmann equations,Perturbative Correction to the Average Expansion Rate of Spacetimes with Perfect Fluids,0.570212
Non-linear stability of α′-corrected Friedmann equations,Gauge-Invariant Scalar-Induced Gravitational Waves from Physical Observables,0.445342
Clock Fields and Logarithmic Decay of Dark Energy,Non-linear stability of $α'$-corrected Friedmann equations,0.549578
Clock Fields and Logarithmic Decay of Dark Energy,Perturbative Correction to the Average Expansion Rate of Spacetimes with Perfect Fluids,0.497605
Clock Fields and Logarithmic Decay of Dark Energy,Gauge-Invariant Scalar-Induced Gravitational Waves from Physical Observables,0.447094
Non-linear stability of $α'$-corrected Friedmann equations,Perturbative Correction to the Average Expansion Rate of Spacetimes with Perfect Fluids,0.561849
Non-linear stability of $α'$-corrected Friedmann equations,Gauge-Invariant Scalar-Induced Gravitational Waves from Physical Observables,0.439868
Perturbative Correction to the Average Expansion Rate of Spacetimes with Perfect Fluids,Gauge-Invariant Scalar-Induced Gravitational Waves from Physical Observables,0.574026
