abstract_i,abstract_j,cosine_similarity
0,1,0.691422
0,2,0.796193
0,3,0.566204
0,4,0.691804
0,5,0.513846
0,6,0.779734
0,7,0.690756
0,8,0.584657
0,9,0.837597
0,10,0.812021
0,11,0.719907
0,12,0.807645
0,13,0.711957
0,14,0.663946
0,15,0.38749
0,16,0.698396
0,17,0.805309
0,18,0.552577
0,19,0.694815
0,20,0.609188
0,21,0.568971
0,22,0.694518
0,23,0.732972
0,24,0.808203
0,25,0.60069
0,26,0.810746
0,27,0.032164
0,28,0.807159
0,29,0.610695
0,30,0.722766
0,31,0.699602
0,32,0.6908
0,33,0.990831
0,34,0.726898
0,35,0.844605
0,36,0.725778
1,2,0.773277
1,3,0.547287
1,4,0.716617
1,5,0.492416
1,6,0.676431
1,7,0.997385
1,8,0.522779
1,9,0.751486
1,10,0.700382
1,11,0.789124
1,12,0.752777
1,13,0.599283
1,14,0.753174
1,15,0.424321
1,16,0.590524
1,17,0.7155
1,18,0.728201
1,19,0.596534
1,20,0.667729
1,21,0.530879
1,22,0.587098
1,23,0.788455
1,24,0.682949
1,25,0.664054
1,26,0.695946
1,27,0.004175
1,28,0.687809
1,29,0.671593
1,30,0.62883
1,31,0.591799
1,32,0.729993
1,33,0.687751
1,34,0.584768
1,35,0.750751
1,36,0.567545
2,3,0.68569
2,4,0.73492
2,5,0.500627
2,6,0.773259
2,7,0.772772
2,8,0.676064
2,9,0.798944
2,10,0.805416
2,11,0.750189
2,12,0.981699
2,13,0.745527
2,14,0.720441
2,15,0.422834
2,16,0.741069
2,17,0.725283
2,18,0.648074
2,19,0.713869
2,20,0.687588
2,21,0.682105
2,22,0.705133
2,23,0.758378
2,24,0.78065
2,25,0.680804
2,26,0.736222
2,27,0.016299
2,28,0.803865
2,29,0.692698
2,30,0.741456
2,31,0.738025
2,32,0.706755
2,33,0.799545
2,34,0.737798
2,35,0.813181
2,36,0.736717
3,4,0.755843
3,5,0.371544
3,6,0.629265
3,7,0.550863
3,8,0.887161
3,9,0.638113
3,10,0.715176
3,11,0.548381
3,12,0.688209
3,13,0.843427
3,14,0.529732
3,15,0.423117
3,16,0.815797
3,17,0.547588
3,18,0.523667
3,19,0.733417
3,20,0.802917
3,21,0.958319
3,22,0.453959
3,23,0.55406
3,24,0.532515
3,25,0.804692
3,26,0.540971
3,27,0.060176
3,28,0.726661
3,29,0.764644
3,30,0.505291
3,31,0.805217
3,32,0.575317
3,33,0.586564
3,34,0.75201
3,35,0.604423
3,36,0.797416
4,5,0.455674
4,6,0.784301
4,7,0.715004
4,8,0.718474
4,9,0.711114
4,10,0.799896
4,11,0.744369
4,12,0.733701
4,13,0.849558
4,14,0.647228
4,15,0.476091
4,16,0.746834
4,17,0.745644
4,18,0.595642
4,19,0.679163
4,20,0.86509
4,21,0.773818
4,22,0.531557
4,23,0.745951
4,24,0.592764
4,25,0.865452
4,26,0.68468
4,27,0.0347
4,28,0.778473
4,29,0.953806
4,30,0.615111
4,31,0.736215
4,32,0.691002
4,33,0.696223
4,34,0.668789
4,35,0.66023
4,36,0.771609
5,6,0.48824
5,7,0.492903
5,8,0.403021
5,9,0.517026
5,10,0.533521
5,11,0.461987
5,12,0.491867
5,13,0.43819
5,14,0.424265
5,15,0.150818
5,16,0.504427
5,17,0.460502
5,18,0.32155
5,19,0.446024
5,20,0.416216
5,21,0.380647
5,22,0.507183
5,23,0.456139
5,24,0.532858
5,25,0.418246
5,26,0.552783
5,27,-0.091431
5,28,0.51454
5,29,0.45296
5,30,0.513242
5,31,0.509899
5,32,0.550528
5,33,0.535548
5,34,0.451934
5,35,0.507002
5,36,0.463231
6,7,0.67754
6,8,0.629562
6,9,0.732597
6,10,0.765764
6,11,0.649558
6,12,0.776017
6,13,0.751633
6,14,0.710698
6,15,0.378519
6,16,0.705798
6,17,0.764311
6,18,0.555538
6,19,0.627733
6,20,0.691214
6,21,0.629311
6,22,0.709419
6,23,0.648579
6,24,0.711894
6,25,0.6888
6,26,0.798585
6,27,-0.005084
6,28,0.800632
6,29,0.739933
6,30,0.766638
6,31,0.701504
6,32,0.702408
6,33,0.785773
6,34,0.652412
6,35,0.726831
6,36,0.693554
7,8,0.525404
7,9,0.759868
7,10,0.702463
7,11,0.794886
7,12,0.7536
7,13,0.602567
7,14,0.760004
