abstract_i,abstract_j,cosine_similarity
0,1,0.487033
0,2,0.418202
0,3,0.567754
0,4,0.466503
0,5,0.625217
0,6,0.67979
0,7,0.105634
0,8,0.269571
0,9,0.384305
0,10,0.356924
0,11,0.490839
0,12,0.353433
0,13,0.54976
0,14,0.584596
0,15,0.365929
0,16,0.426336
0,17,0.526396
0,18,0.242413
0,19,0.852271
0,20,0.428596
0,21,0.482976
0,22,0.518028
0,23,0.699355
0,24,0.325165
0,25,-0.020315
0,26,0.331324
0,27,0.326093
0,28,0.402381
0,29,0.70173
0,30,0.339334
0,31,0.388281
0,32,0.534341
0,33,0.314706
0,34,0.437603
1,2,0.443066
1,3,0.461175
1,4,0.454079
1,5,0.445278
1,6,0.505216
1,7,-0.008567
1,8,0.377394
1,9,0.165086
1,10,0.252712
1,11,0.469993
1,12,0.482592
1,13,0.503421
1,14,0.47432
1,15,0.470515
1,16,0.293447
1,17,0.420586
1,18,0.275358
1,19,0.52585
1,20,0.425514
1,21,0.558666
1,22,0.435189
1,23,0.56991
1,24,0.302472
1,25,0.0019
1,26,0.310141
1,27,0.112746
1,28,0.573399
1,29,0.480503
1,30,0.187973
1,31,0.568662
1,32,0.674284
1,33,0.202725
1,34,0.468197
2,3,0.391079
2,4,0.334632
2,5,0.531174
2,6,0.586582
2,7,0.066039
2,8,0.114255
2,9,0.364908
2,10,0.447531
2,11,0.590246
2,12,0.294642
2,13,0.470344
2,14,0.47393
2,15,0.363208
2,16,0.398202
2,17,0.437932
2,18,0.05772
2,19,0.376984
2,20,0.471528
2,21,0.489444
2,22,0.355599
2,23,0.550766
2,24,0.204355
2,25,0.068019
2,26,0.374879
2,27,0.450166
2,28,0.444243
2,29,0.481486
2,30,0.426949
2,31,0.247028
2,32,0.455784
2,33,0.453598
2,34,0.93985
3,4,0.307792
3,5,0.670648
3,6,0.619642
3,7,0.043774
3,8,0.266339
3,9,0.446682
3,10,0.353042
3,11,0.518554
3,12,0.359826
3,13,0.680765
3,14,0.480334
3,15,0.391498
3,16,0.54907
3,17,0.528488
3,18,0.159982
3,19,0.467653
3,20,0.620661
3,21,0.581793
3,22,0.513059
3,23,0.64973
3,24,0.248895
3,25,-0.018511
3,26,0.430116
3,27,0.365338
3,28,0.313908
3,29,0.624706
3,30,0.337727
3,31,0.387638
3,32,0.528069
3,33,0.379884
3,34,0.426607
4,5,0.319024
4,6,0.429313
4,7,0.069975
4,8,0.327084
4,9,0.084115
4,10,0.103965
4,11,0.389706
4,12,0.390856
4,13,0.355152
4,14,0.454102
4,15,0.394852
4,16,0.22395
4,17,0.362621
4,18,0.256882
4,19,0.378192
4,20,0.292969
4,21,0.397591
4,22,0.345965
4,23,0.397423
4,24,0.358842
4,25,-0.045089
4,26,0.206285
4,27,0.138437
4,28,0.563476
4,29,0.35688
4,30,0.156647
4,31,0.494444
4,32,0.511372
4,33,0.21567
4,34,0.35864
5,6,0.673029
5,7,0.051091
5,8,0.359529
5,9,0.535366
5,10,0.465239
5,11,0.651379
5,12,0.436126
5,13,0.690691
5,14,0.607241
5,15,0.534269
5,16,0.551693
5,17,0.698039
5,18,0.196799
5,19,0.580496
5,20,0.614242
5,21,0.566058
5,22,0.632525
5,23,0.723435
5,24,0.312945
5,25,0.02321
5,26,0.473374
5,27,0.477884
5,28,0.433649
5,29,0.748931
5,30,0.430915
5,31,0.407471
5,32,0.533508
5,33,0.505527
5,34,0.553288
6,7,0.047936
6,8,0.126788
6,9,0.396303
6,10,0.419771
6,11,0.601
6,12,0.275918
6,13,0.575216
6,14,0.611641
6,15,0.33789
6,16,0.45223
6,17,0.535687
6,18,0.14502
6,19,0.513386
6,20,0.489117
6,21,0.590999
6,22,0.427365
6,23,0.737553
6,24,0.320206
6,25,0.024836
6,26,0.312677
6,27,0.345086
6,28,0.460729
6,29,0.706739
6,30,0.400458
6,31,0.300518
6,32,0.565929
6,33,0.492497
6,34,0.601738
7,8,-0.012191
7,9,0.044606
7,10,0.021393
7,11,0.102169
7,12,0.013521
7,13,0.048819
7,14,0.030377
7,15,0.036281
7,16,0.079591
7,17,0.055618
7,18,-0.007146
7,19,0.091916
7,20,0.00442
7,21,0.031555
7,22,0.029333
7,23,0.051681
7,24,0.017991
7,25,-0.035902
7,26,0.050526
7,27,0.082762
7,28,0.058176
7,29,0.026441
7,30,0.023597
7,31,0.017285
7,32,0.025035
7,33,0.059745
7,34,0.044457
8,9,0.213817
8,10,0.135025
8,11,0.25565
8,12,0.809668
8,13,0.383785
8,14,0.308246
8,15,0.742675
8,16,0.278232
8,17,0.360131
8,18,0.278461
8,19,0.341846
8,20,0.320145
8,21,0.310759
8,22,0.554434
8,23,0.299556
8,24,0.265301
8,25,-0.034802
8,26,0.255212
8,27,0.127192
8,28,0.299652
8,29,0.327972
8,30,0.109177
8,31,0.723814
8,32,0.387074
8,33,0.127374
8,34,0.138242
9,10,0.348484
9,11,0.393525
9,12,0.282943
9,13,0.43671
9,14,0.273862
9,15,0.331794
9,16,0.493769
9,17,0.472778
9,18,0.115081
9,19,0.347839
9,20,0.417085
9,21,0.348527
9,22,0.521068
9,23,0.408933
9,24,0.125254
9,25,-0.004708
9,26,0.449708
9,27,0.475242
9,28,0.143891
9,29,0.477593
9,30,0.450074
9,31,0.216757
9,32,0.250419
9,33,0.410945
9,34,0.371447
10,11,0.343073
10,12,0.263165
10,13,0.352608
10,14,0.304267
10,15,0.350479
10,16,0.270963
10,17,0.390565
10,18,0.128882
10,19,0.373164
10,20,0.325728
10,21,0.309485
10,22,0.375317
10,23,0.360272
10,24,0.173363
10,25,0.10206
10,26,0.356455
10,27,0.459028
10,28,0.259899
10,29,0.405018
10,30,0.426041
10,31,0.122673
10,32,0.249228
10,33,0.300277
10,34,0.437761
11,12,0.3623
11,13,0.617408
11,14,0.694498
11,15,0.415285
11,16,0.512093
11,17,0.668572
11,18,0.232768
11,19,0.49793
11,20,0.612719
11,21,0.550648
11,22,0.487395
11,23,0.730729
11,24,0.387322
11,25,0.039119
11,26,0.471375
11,27,0.348416
11,28,0.536414
11,29,0.66512
11,30,0.371764
11,31,0.326126
11,32,0.559934
11,33,0.458572
11,34,0.600268
12,13,0.457409
12,14,0.413943
12,15,0.932757
12,16,0.336878
12,17,0.435481
12,18,0.24736
12,19,0.41227
12,20,0.434593
12,21,0.462691
12,22,0.610663
12,23,0.385586
12,24,0.245963
12,25,-0.003023
12,26,0.35363
12,27,0.235629
12,28,0.434304
12,29,0.372001
12,30,0.204156
12,31,0.65458
12,32,0.463688
12,33,0.220453
12,34,0.325999
13,14,0.613402
13,15,0.509747
13,16,0.501635
13,17,0.545484
13,18,0.213598
13,19,0.538723
13,20,0.821058
13,21,0.516406
13,22,0.576048
13,23,0.756534
13,24,0.405218
13,25,0.02034
13,26,0.461175
13,27,0.453898
13,28,0.487878
13,29,0.633356
13,30,0.48671
13,31,0.462299
13,32,0.620017
13,33,0.574892
13,34,0.50742
14,15,0.4615
14,16,0.402556
14,17,0.530728
14,18,0.3339
14,19,0.568718
14,20,0.577734
14,21,0.490745
14,22,0.477437
14,23,0.75775
14,24,0.443842
14,25,0.037173
14,26,0.355831
14,27,0.276413
14,28,0.524083
14,29,0.644474
14,30,0.347617
14,31,0.383815
14,32,0.625224
14,33,0.487595
14,34,0.508115
15,16,0.353115
15,17,0.449926
15,18,0.294291
15,19,0.434939
15,20,0.495465
15,21,0.483599
15,22,0.598532
15,23,0.430978
15,24,0.315018
15,25,0.048835
15,26,0.421293
15,27,0.353259
15,28,0.510068
15,29,0.400092
15,30,0.28758
15,31,0.601576
15,32,0.491492
15,33,0.309671
15,34,0.400148
16,17,0.51973
16,18,0.138569
16,19,0.406634
16,20,0.409248
16,21,0.525941
16,22,0.471963
16,23,0.501765
16,24,0.259916
16,25,-0.055114
16,26,0.438711
16,27,0.371536
16,28,0.249242
16,29,0.518521
16,30,0.400107
16,31,0.343934
16,32,0.354083
16,33,0.434911
16,34,0.423706
17,18,0.18133
17,19,0.52152
17,20,0.485593
17,21,0.538549
17,22,0.688206
17,23,0.645003
17,24,0.295386
17,25,-0.036209
17,26,0.448187
17,27,0.384827
17,28,0.45677
17,29,0.71439
17,30,0.358508
17,31,0.376294
17,32,0.448918
17,33,0.36612
17,34,0.464854
18,19,0.296234
18,20,0.249481
18,21,0.114429
18,22,0.212957
18,23,0.289314
18,24,0.465799
18,25,0.03109
18,26,0.103734
18,27,0.040938
18,28,0.326464
18,29,0.260686
18,30,0.054737
18,31,0.322391
18,32,0.330025
18,33,0.105568
18,34,0.100237
19,20,0.402589
19,21,0.533922
19,22,0.556476
19,23,0.695517
19,24,0.369369
19,25,0.001947
19,26,0.383361
19,27,0.276817
19,28,0.434776
19,29,0.688079
19,30,0.282131
19,31,0.405075
19,32,0.491456
19,33,0.252762
19,34,0.394101
20,21,0.463066
20,22,0.51378
20,23,0.685818
20,24,0.378282
20,25,-0.00953
20,26,0.445947
20,27,0.442408
20,28,0.422825
