abstract_i,abstract_j,cosine_similarity
0,1,0.329943
0,2,0.422177
0,3,0.149773
0,4,0.296891
0,5,0.436718
0,6,0.180239
0,7,0.295512
0,8,0.52223
0,9,-0.044517
0,10,0.242521
0,11,0.362428
0,12,0.341975
0,13,0.261622
0,14,0.431248
0,15,0.372009
0,16,0.574599
0,17,0.161694
0,18,0.324659
0,19,0.207505
0,20,0.318784
0,21,0.143968
0,22,0.348246
0,23,0.266576
0,24,0.762837
0,25,-0.040616
0,26,0.258314
0,27,0.644445
0,28,0.262872
0,29,0.397767
0,30,0.575082
0,31,0.338619
0,32,0.250057
0,33,0.372314
0,34,0.294325
0,35,0.212298
0,36,0.729001
0,37,0.232539
0,38,0.366824
0,39,0.387764
0,40,0.340144
0,41,0.289285
0,42,0.292795
0,43,0.286658
0,44,0.077663
0,45,0.374618
0,46,0.143619
0,47,0.172916
0,48,0.344196
0,49,0.245442
0,50,0.303971
0,51,0.11708
0,52,0.496389
0,53,0.241687
0,54,0.294768
0,55,0.269342
0,56,0.208486
0,57,0.379349
0,58,0.320843
0,59,0.408849
0,60,0.320368
1,2,0.603638
1,3,0.202494
1,4,0.481934
1,5,0.344865
1,6,0.44764
1,7,0.508117
1,8,0.370095
1,9,0.023889
1,10,0.614594
1,11,0.283673
1,12,0.598398
1,13,0.518374
1,14,0.553599
1,15,0.589521
1,16,0.43205
1,17,0.532267
1,18,0.376654
1,19,0.43618
1,20,0.503534
1,21,0.409323
1,22,0.594406
1,23,0.501011
1,24,0.496909
1,25,0.022167
1,26,0.455283
1,27,0.366481
1,28,0.411403
1,29,0.38924
1,30,0.512799
1,31,0.575204
1,32,0.521513
1,33,0.44438
1,34,0.54438
1,35,0.38419
1,36,0.352359
1,37,0.381835
1,38,0.390871
1,39,0.551184
1,40,0.58204
1,41,0.511621
1,42,0.495739
1,43,0.436168
1,44,0.3816
1,45,0.432312
1,46,0.25338
1,47,0.427791
1,48,0.549636
1,49,0.458954
1,50,0.280708
1,51,0.277019
1,52,0.675643
1,53,0.516814
1,54,0.414778
1,55,0.556035
1,56,0.318706
1,57,0.503131
1,58,0.53043
1,59,0.46723
1,60,0.297468
2,3,0.186316
2,4,0.366838
2,5,0.506024
2,6,0.307471
2,7,0.421501
2,8,0.368116
2,9,0.006065
2,10,0.395489
2,11,0.406386
2,12,0.393686
2,13,0.349182
2,14,0.622606
2,15,0.508188
2,16,0.368228
2,17,0.335298
2,18,0.321778
2,19,0.430146
2,20,0.455836
2,21,0.329645
2,22,0.384187
2,23,0.334099
2,24,0.376853
2,25,0.044942
2,26,0.386334
2,27,0.364529
2,28,0.44696
2,29,0.498395
2,30,0.452406
2,31,0.527513
2,32,0.362
2,33,0.478321
2,34,0.476056
2,35,0.313686
2,36,0.433508
2,37,0.298127
2,38,0.457003
2,39,0.552199
2,40,0.478263
2,41,0.347082
2,42,0.363157
2,43,0.238291
2,44,0.319437
2,45,0.396192
2,46,0.265338
2,47,0.299947
2,48,0.449133
2,49,0.334795
2,50,0.298241
2,51,0.154547
2,52,0.578269
2,53,0.355921
2,54,0.392768
2,55,0.368178
2,56,0.231331
2,57,0.502708
2,58,0.46695
2,59,0.492096
2,60,0.317837
3,4,0.178237
3,5,0.130147
3,6,0.01838
3,7,0.210349
3,8,0.067469
3,9,0.024871
3,10,0.186005
3,11,0.316441
3,12,0.205734
3,13,0.125587
3,14,0.019429
3,15,0.274759
3,16,0.097947
3,17,0.280317
3,18,0.226516
3,19,0.020876
3,20,0.185806
3,21,0.028378
3,22,0.231096
3,23,0.13827
3,24,0.14088
3,25,-0.047975
3,26,0.168365
3,27,0.110269
3,28,-0.048452
3,29,-0.018831
3,30,0.142178
3,31,0.368416
3,32,0.124579
3,33,0.158522
3,34,0.114122
3,35,0.064983
3,36,0.168967
3,37,0.281433
3,38,0.119969
3,39,0.167058
3,40,0.143644
3,41,0.070048
3,42,0.089206
3,43,0.065093
3,44,0.050294
3,45,0.146813
3,46,-0.003414
3,47,0.004181
3,48,0.170662
3,49,0.145028
3,50,0.24791
3,51,0.774219
3,52,0.238134
3,53,0.12274
3,54,0.006309
3,55,0.304575
3,56,0.280511
3,57,0.108621
3,58,0.1214
3,59,0.116439
3,60,0.252273
4,5,0.277619
4,6,0.451532
4,7,0.315319
4,8,0.260139
4,9,-0.046393
4,10,0.436693
4,11,0.123228
4,12,0.498106
4,13,0.826556
4,14,0.334982
4,15,0.445868
4,16,0.283774
4,17,0.433029
4,18,0.217671
4,19,0.437896
4,20,0.456123
4,21,0.369059
4,22,0.405461
4,23,0.365149
4,24,0.3191
4,25,0.023548
4,26,0.327595
4,27,0.228914
4,28,0.427327
4,29,0.3421
4,30,0.291884
4,31,0.380546
4,32,0.450269
4,33,0.393846
4,34,0.391564
4,35,0.454694
4,36,0.237376
4,37,0.242566
4,38,0.332017
4,39,0.350867
4,40,0.391494
4,41,0.481636
4,42,0.746476
4,43,0.429724
4,44,0.402126
4,45,0.367558
4,46,0.414882
4,47,0.434481
4,48,0.536319
4,49,0.515882
4,50,0.23151
4,51,0.279381
4,52,0.541774
4,53,0.441375
4,54,0.399568
4,55,0.39308
4,56,0.536656
4,57,0.30864
4,58,0.428585
4,59,0.362203
4,60,0.238802
5,6,0.217115
5,7,0.238798
5,8,0.316203
5,9,-0.042842
5,10,0.254338
5,11,0.377408
5,12,0.327899
5,13,0.222511
5,14,0.448197
5,15,0.410433
5,16,0.379315
5,17,0.218349
5,18,0.268432
5,19,0.197031
5,20,0.322953
5,21,0.128713
5,22,0.362569
5,23,0.286681
5,24,0.373704
5,25,-0.028664
5,26,0.241962
5,27,0.475428
5,28,0.286428
5,29,0.343088
5,30,0.38708
5,31,0.443434
5,32,0.356008
5,33,0.318283
5,34,0.384822
5,35,0.279412
5,36,0.493725
5,37,0.224777
5,38,0.328851
5,39,0.477235
5,40,0.393864
5,41,0.218451
5,42,0.254558
5,43,0.130724
5,44,0.148362
5,45,0.326973
5,46,0.260306
5,47,0.220881
5,48,0.343404
5,49,0.363493
5,50,0.270335
5,51,0.131341
5,52,0.40761
5,53,0.348319
5,54,0.27332
5,55,0.289893
