title_i,title_j,cosine_similarity
THE SPECIFIC HEAT OF MONEL METAL BETWEEN − 183° AND 25 °C.,HEAT CAPACITY MEASUREMENTS ON GELATIN GELS. II.,0.498463
THE SPECIFIC HEAT OF MONEL METAL BETWEEN − 183° AND 25 °C.,A Variable Temperature X-Ray Powder Camera,-0.030625
THE SPECIFIC HEAT OF MONEL METAL BETWEEN − 183° AND 25 °C.,"AN X-RAY METHOD FOR THE STUDY OF ""BOUND WATER"" IN HYDROPHILIC COLLOIDS AT LOW TEMPERATURES",0.253377
THE SPECIFIC HEAT OF MONEL METAL BETWEEN − 183° AND 25 °C.,AN X-RAY POWDER CAMERA FOR SPECIMENS AT VARIOUS KNOWN TEMPERATURES,0.338181
HEAT CAPACITY MEASUREMENTS ON GELATIN GELS. II.,A Variable Temperature X-Ray Powder Camera,-0.074527
HEAT CAPACITY MEASUREMENTS ON GELATIN GELS. II.,"AN X-RAY METHOD FOR THE STUDY OF ""BOUND WATER"" IN HYDROPHILIC COLLOIDS AT LOW TEMPERATURES",0.691086
HEAT CAPACITY MEASUREMENTS ON GELATIN GELS. II.,AN X-RAY POWDER CAMERA FOR SPECIMENS AT VARIOUS KNOWN TEMPERATURES,0.610945
A Variable Temperature X-Ray Powder Camera,"AN X-RAY METHOD FOR THE STUDY OF ""BOUND WATER"" IN HYDROPHILIC COLLOIDS AT LOW TEMPERATURES",-0.036622
A Variable Temperature X-Ray Powder Camera,AN X-RAY POWDER CAMERA FOR SPECIMENS AT VARIOUS KNOWN TEMPERATURES,0.001759
"AN X-RAY METHOD FOR THE STUDY OF ""BOUND WATER"" IN HYDROPHILIC COLLOIDS AT LOW TEMPERATURES",AN X-RAY POWDER CAMERA FOR SPECIMENS AT VARIOUS KNOWN TEMPERATURES,0.754315
