abstract_i,abstract_j,cosine_similarity
0,1,0.678247
0,2,-0.055638
0,3,0.517149
0,4,0.749516
0,5,0.544598
0,6,0.671961
0,7,0.523503
0,8,0.671016
0,9,0.591862
0,10,0.387993
0,11,0.566325
0,12,0.640824
0,13,0.17587
0,14,0.683619
0,15,0.770066
1,2,-0.020933
1,3,0.618276
1,4,0.778253
1,5,0.530896
1,6,0.659292
1,7,0.359399
1,8,0.723056
1,9,0.690833
1,10,0.32338
1,11,0.685678
1,12,0.690168
1,13,0.189393
1,14,0.590364
1,15,0.622676
2,3,0.079574
2,4,-0.01555
2,5,0.043132
2,6,0.072864
2,7,-0.030094
2,8,0.012081
2,9,-0.020093
2,10,0.040512
2,11,-0.004205
2,12,-0.029863
2,13,-0.065319
2,14,0.082148
2,15,-0.073334
3,4,0.66301
3,5,0.575548
3,6,0.650271
3,7,0.401362
3,8,0.725187
3,9,0.744285
3,10,0.408816
3,11,0.759206
3,12,0.732209
3,13,0.3316
3,14,0.537744
3,15,0.526902
4,5,0.683639
4,6,0.746266
4,7,0.46078
4,8,0.796377
4,9,0.755737
4,10,0.436403
4,11,0.75055
4,12,0.774247
4,13,0.27002
4,14,0.699216
4,15,0.723487
5,6,0.697762
5,7,0.398072
5,8,0.520507
5,9,0.563345
5,10,0.342492
5,11,0.592117
5,12,0.549773
5,13,0.249938
5,14,0.659069
5,15,0.543571
6,7,0.51294
6,8,0.699935
6,9,0.685028
6,10,0.463579
6,11,0.703617
6,12,0.672289
6,13,0.306906
6,14,0.709316
6,15,0.650804
7,8,0.425462
7,9,0.437358
7,10,0.605541
7,11,0.481472
7,12,0.47192
7,13,0.316125
7,14,0.465606
7,15,0.607804
8,9,0.798467
8,10,0.41036
8,11,0.724734
8,12,0.833544
8,13,0.266677
8,14,0.619021
8,15,0.600186
9,10,0.380879
9,11,0.774409
9,12,0.816662
9,13,0.247093
9,14,0.585876
9,15,0.612925
10,11,0.482581
10,12,0.442429
10,13,0.455188
10,14,0.357602
10,15,0.450369
11,12,0.813899
11,13,0.351639
11,14,0.527413
11,15,0.585026
12,13,0.319471
12,14,0.590998
12,15,0.612604
13,14,0.193033
13,15,0.225602
14,15,0.641243
