abstract_i,abstract_j,cosine_similarity
0,1,0.185026
0,2,0.293825
0,3,0.019869
0,4,0.208827
0,5,0.150657
0,6,0.237175
0,7,0.187563
0,8,0.210737
0,9,0.035751
0,10,0.297905
0,11,0.014242
0,12,0.029381
0,13,0.029016
0,14,0.165065
0,15,0.169994
0,16,-0.060408
0,17,-0.058419
0,18,0.290113
0,19,0.407922
0,20,0.005077
0,21,-0.080849
0,22,0.245005
0,23,0.161305
0,24,0.334004
0,25,0.434809
0,26,-0.011754
0,27,-0.110132
0,28,0.181827
0,29,0.334217
0,30,0.067973
0,31,0.083968
0,32,0.229977
0,33,0.314609
0,34,0.141152
0,35,0.029128
0,36,-0.179022
0,37,0.032058
0,38,0.030756
0,39,-0.010382
0,40,0.195519
0,41,-0.010385
0,42,-0.150918
0,43,0.169199
0,44,0.339806
0,45,0.069346
0,46,-0.115398
0,47,0.316391
0,48,0.007655
0,49,0.028971
0,50,0.294235
0,51,-0.064324
0,52,0.163527
0,53,-0.017276
0,54,0.224739
0,55,0.173882
0,56,0.068744
0,57,0.237692
0,58,-2.7e-05
0,59,0.242719
0,60,0.026488
0,61,0.03527
0,62,0.057876
0,63,0.021747
0,64,0.046788
0,65,0.315153
0,66,0.171199
0,67,0.117179
0,68,-0.036357
0,69,0.183057
0,70,0.103364
0,71,0.136192
0,72,0.199151
0,73,0.190335
0,74,0.288129
0,75,0.048752
0,76,0.078483
0,77,0.217196
0,78,0.006757
0,79,-0.111333
0,80,0.214689
0,81,0.164381
1,2,0.321283
1,3,-0.052049
1,4,0.442874
1,5,0.071244
1,6,0.072434
1,7,0.201479
1,8,0.484118
1,9,-0.06359
1,10,0.224355
1,11,-0.052554
1,12,0.027303
1,13,0.013794
1,14,0.002845
1,15,0.106769
1,16,-0.05049
1,17,0.014878
1,18,0.143928
1,19,0.240452
1,20,0.034456
1,21,0.046291
1,22,0.265483
1,23,0.072128
1,24,0.227238
1,25,0.170164
1,26,0.087868
1,27,-0.096188
1,28,0.076826
1,29,0.331062
1,30,0.066273
1,31,-0.044424
1,32,0.212207
1,33,0.137668
1,34,0.070589
1,35,0.028333
1,36,-0.045305
1,37,0.034168
1,38,-0.050414
1,39,0.040901
1,40,0.016423
1,41,-0.015505
1,42,-0.048788
1,43,0.138966
1,44,0.117226
1,45,0.051045
1,46,-0.087402
1,47,0.04184
1,48,-0.045753
1,49,0.027745
1,50,0.117131
1,51,0.005238
1,52,0.15681
1,53,0.073164
1,54,0.341321
1,55,0.027073
1,56,0.004401
1,57,0.11932
1,58,0.1554
1,59,0.165727
1,60,0.028124
1,61,0.083697
1,62,-0.054381
1,63,-0.024369
1,64,-0.025812
1,65,0.242612
1,66,0.296172
1,67,0.10932
1,68,0.040668
1,69,0.016062
1,70,0.112355
1,71,0.213296
1,72,0.176847
1,73,0.171756
1,74,0.374241
1,75,0.129044
1,76,0.044765
1,77,0.357876
1,78,-0.001182
1,79,-0.059808
1,80,0.163921
1,81,0.037073
2,3,-0.077281
2,4,0.431336
2,5,0.107267
2,6,0.155515
2,7,0.360716
2,8,0.551662
2,9,-0.058023
2,10,0.21549
2,11,-0.002039
2,12,-0.016875
2,13,0.018255
2,14,0.281355
2,15,0.230282
2,16,-0.045271
2,17,0.019385
2,18,0.282492
2,19,0.302671
2,20,0.020911
2,21,0.010176
2,22,0.404478
2,23,0.117267
2,24,0.259533
2,25,0.213075
2,26,0.214998
2,27,-0.070357
2,28,0.359289
2,29,0.39126
2,30,0.098681
2,31,-0.060431
2,32,0.368571
2,33,0.295862
2,34,0.107127
2,35,0.043902
2,36,-0.011446
2,37,0.057427
2,38,-0.064485
2,39,0.073489
2,40,0.159705
2,41,-0.038664
2,42,-0.067862
2,43,0.091189
2,44,0.292646
2,45,0.095778
2,46,-0.067107
2,47,0.059939
2,48,-0.036624
2,49,0.043133
2,50,0.347056
2,51,0.035913
2,52,0.077597
2,53,0.059363
2,54,0.350362
2,55,0.050513
2,56,0.01817
2,57,0.201151
2,58,0.154506
2,59,0.38603
2,60,0.001357
2,61,0.006225
2,62,-0.037984
2,63,-0.053971
2,64,-0.007311
2,65,0.403757
2,66,0.41511
2,67,0.242458
2,68,-0.007749
2,69,0.073584
2,70,0.271411
2,71,0.332356
2,72,0.248466
2,73,0.387706
2,74,0.623263
2,75,0.170476
2,76,0.275808
2,77,0.225228
2,78,-0.051192
2,79,0.021178
2,80,0.314727
2,81,0.230595
3,4,-0.011672
3,5,0.038428
3,6,0.03305
3,7,-0.060458
3,8,-0.062588
3,9,0.683985
3,10,-0.007516
3,11,0.016076
3,12,0.045783
3,13,-0.106073
3,14,-0.023188
3,15,0.032052
3,16,0.007386
3,17,0.014262
3,18,0.066302
3,19,0.050678
3,20,0.204098
3,21,-0.041778
3,22,-0.079031
3,23,-0.006937
3,24,0.095683
3,25,-0.057514
3,26,0.021185
3,27,0.018076
3,28,-0.045159
3,29,-0.027051
3,30,-0.064705
3,31,0.853861
3,32,-0.032384
3,33,-0.004006
3,34,0.062931
3,35,-0.025559
3,36,0.03627
3,37,-0.103454
3,38,0.68993
3,39,0.013055
3,40,0.114778
3,41,0.53019
3,42,0.058267
3,43,-0.030649
3,44,-0.013103
3,45,-0.013447
3,46,7.3e-05
3,47,0.065781
3,48,0.757576
3,49,-0.033307
3,50,-0.0214
3,51,-0.001956
3,52,0.0387
3,53,0.039
3,54,-0.023661
3,55,0.025204
3,56,0.100241
3,57,0.013983
3,58,-0.003415
3,59,0.002831
3,60,0.184194
3,61,0.066669
3,62,0.765311
3,63,0.736218
3,64,0.634317
3,65,-0.040094
3,66,-0.072815
3,67,0.04339
3,68,0.054555
3,69,0.06148
3,70,0.03548
3,71,0.002609
3,72,-0.042151
3,73,-0.028423
3,74,-0.160171
3,75,-0.02647
3,76,0.09918
3,77,-0.096952
3,78,0.728433
3,79,-0.026921
3,80,0.055231
3,81,0.07413
4,5,0.056089
4,6,0.118516
4,7,0.252375
4,8,0.526698
4,9,-0.047927
4,10,0.231672
4,11,0.08444
