abstract_i,abstract_j,cosine_similarity
0,1,0.19448
0,2,0.678736
0,3,0.83945
0,4,0.070059
0,5,-0.053378
0,6,0.861984
0,7,0.055764
0,8,0.057316
0,9,0.903777
0,10,0.642169
0,11,0.054148
0,12,0.026928
0,13,0.776215
0,14,0.104812
0,15,0.519853
0,16,0.097357
0,17,-0.097443
0,18,0.554467
0,19,0.821166
0,20,0.561098
1,2,0.310466
1,3,0.17785
1,4,0.059881
1,5,-0.023597
1,6,0.147972
1,7,0.055759
1,8,0.123255
1,9,0.157679
1,10,0.335588
1,11,0.03607
1,12,0.087129
1,13,0.182828
1,14,0.136524
1,15,0.073879
1,16,0.089411
1,17,-0.029582
1,18,0.038089
1,19,0.20648
1,20,0.059559
2,3,0.713087
2,4,0.009696
2,5,0.015281
2,6,0.707744
2,7,0.07603
2,8,0.064591
2,9,0.689158
2,10,0.805196
2,11,0.106023
2,12,0.005388
2,13,0.736439
2,14,0.041899
2,15,0.485329
2,16,0.020432
2,17,-0.049743
2,18,0.484838
2,19,0.67626
2,20,0.5386
3,4,0.020834
3,5,-0.055397
3,6,0.862301
3,7,0.029821
3,8,0.042414
3,9,0.840806
3,10,0.721286
3,11,0.091853
3,12,0.005303
3,13,0.936627
3,14,0.082914
3,15,0.46825
3,16,0.057345
3,17,-0.095141
3,18,0.51283
3,19,0.837742
3,20,0.559861
4,5,0.162927
4,6,0.017969
4,7,0.026993
4,8,0.300091
4,9,0.052869
4,10,0.018619
4,11,-0.044994
4,12,0.162279
4,13,-0.000551
4,14,0.044368
4,15,-0.04431
4,16,0.785303
4,17,0.106279
4,18,-0.033907
4,19,0.010323
4,20,-0.068958
5,6,-0.04083
5,7,-0.009907
5,8,0.006108
5,9,-0.078318
5,10,0.027937
5,11,-0.055848
5,12,0.068106
5,13,-0.04307
5,14,0.072224
5,15,-0.070492
5,16,0.156306
5,17,0.163007
5,18,-0.058019
5,19,-0.04688
5,20,-0.079165
6,7,0.026873
6,8,0.052859
6,9,0.889442
6,10,0.691918
6,11,0.06404
6,12,0.007935
6,13,0.832843
6,14,0.069637
6,15,0.530247
6,16,0.042786
6,17,-0.088418
6,18,0.556241
6,19,0.796604
6,20,0.596625
7,8,0.070928
7,9,0.008916
7,10,0.049988
7,11,0.236861
7,12,0.065106
7,13,0.009625
7,14,0.055609
7,15,-0.04166
7,16,0.041392
7,17,-0.000657
7,18,-0.01479
7,19,0.014848
7,20,-0.074264
8,9,0.096515
8,10,0.063481
8,11,0.091839
8,12,0.216214
8,13,0.038503
8,14,0.139544
8,15,-0.041082
8,16,0.375367
8,17,0.021395
8,18,0.004729
8,19,-0.003694
8,20,-0.067266
9,10,0.687711
9,11,0.070625
9,12,0.008412
9,13,0.792418
9,14,0.118774
9,15,0.519598
9,16,0.094078
9,17,-0.097083
9,18,0.551838
9,19,0.792894
9,20,0.568269
10,11,0.12461
10,12,0.007967
10,13,0.744163
10,14,0.090608
10,15,0.415211
10,16,0.026794
10,17,-0.065503
10,18,0.448845
10,19,0.643894
10,20,0.476021
11,12,-0.039241
11,13,0.080683
11,14,0.03788
11,15,0.023696
11,16,-0.123845
11,17,-0.098023
11,18,0.057756
11,19,0.056451
11,20,0.000644
12,13,-0.007857
12,14,0.206261
12,15,-0.00402
12,16,0.270316
12,17,0.079484
12,18,0.010113
12,19,-0.027748
12,20,-0.02338
13,14,0.062719
13,15,0.503607
13,16,0.026026
13,17,-0.095281
13,18,0.538817
13,19,0.799003
13,20,0.599298
14,15,0.031827
14,16,0.068144
14,17,-0.012881
14,18,0.062135
14,19,0.124935
14,20,0.000857
15,16,-0.01994
15,17,-0.067888
15,18,0.842989
15,19,0.497569
15,20,0.856536
16,17,0.095656
16,18,0.018226
16,19,0.027387
16,20,-0.033009
17,18,-0.096692
17,19,-0.088151
17,20,-0.094252
18,19,0.497904
18,20,0.837951
19,20,0.558825
