title_i,title_j,cosine_similarity
"Differential and Total Proton Cross Sections, Particle Production, and the Parton Model",Multipion Production in Relativistic Heavy-Ion Collisions,0.476667
"Differential and Total Proton Cross Sections, Particle Production, and the Parton Model",The fusion of suprathermal ions in a dense plasma,0.227092
"Differential and Total Proton Cross Sections, Particle Production, and the Parton Model",Heavy-flavor production in proton-proton interactions,0.565217
"Differential and Total Proton Cross Sections, Particle Production, and the Parton Model",Scaling laws for inclusive production of hadrons in high-energy particle-nucleus collisions,0.584885
"Differential and Total Proton Cross Sections, Particle Production, and the Parton Model","Cumulative Enhancement of<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mfrac><mml:mrow><mml:mi>J</mml:mi></mml:mrow><mml:mrow><mml:mi>ψ</mml:mi></mml:mrow></mml:mfrac></mml:math>Production in Hadron-Nucleus Collisions",0.627736
"Differential and Total Proton Cross Sections, Particle Production, and the Parton Model","Production of<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>W</mml:mi></mml:math>bosons in proton-nucleus collisions",0.647935
"Differential and Total Proton Cross Sections, Particle Production, and the Parton Model",Photon-proton reactions,0.547161
"Differential and Total Proton Cross Sections, Particle Production, and the Parton Model",Production of heavy particles by protons on protons,0.613747
"Differential and Total Proton Cross Sections, Particle Production, and the Parton Model","Production of the<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:msup><mml:mrow><mml:mi>D</mml:mi></mml:mrow><mml:mrow><mml:mo>*</mml:mo></mml:mrow></mml:msup></mml:mrow><mml:mn/><mml:mo>(</mml:mo><mml:mn>2010</mml:mn><mml:mo>)</mml:mo><mml:mn/></mml:math>resonance",0.562976
Multipion Production in Relativistic Heavy-Ion Collisions,The fusion of suprathermal ions in a dense plasma,0.28227
Multipion Production in Relativistic Heavy-Ion Collisions,Heavy-flavor production in proton-proton interactions,0.505665
Multipion Production in Relativistic Heavy-Ion Collisions,Scaling laws for inclusive production of hadrons in high-energy particle-nucleus collisions,0.62073
Multipion Production in Relativistic Heavy-Ion Collisions,"Cumulative Enhancement of<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mfrac><mml:mrow><mml:mi>J</mml:mi></mml:mrow><mml:mrow><mml:mi>ψ</mml:mi></mml:mrow></mml:mfrac></mml:math>Production in Hadron-Nucleus Collisions",0.604655
Multipion Production in Relativistic Heavy-Ion Collisions,"Production of<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>W</mml:mi></mml:math>bosons in proton-nucleus collisions",0.491074
Multipion Production in Relativistic Heavy-Ion Collisions,Photon-proton reactions,0.460255
Multipion Production in Relativistic Heavy-Ion Collisions,Production of heavy particles by protons on protons,0.554511
Multipion Production in Relativistic Heavy-Ion Collisions,"Production of the<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:msup><mml:mrow><mml:mi>D</mml:mi></mml:mrow><mml:mrow><mml:mo>*</mml:mo></mml:mrow></mml:msup></mml:mrow><mml:mn/><mml:mo>(</mml:mo><mml:mn>2010</mml:mn><mml:mo>)</mml:mo><mml:mn/></mml:math>resonance",0.484668
