title_i,title_j,cosine_similarity
Polynomial method and graph bootstrap percolation,"Teaching dimension, VC dimension, and critical sets in Latin squares",0.386683
Polynomial method and graph bootstrap percolation,The Unbounded-Error Communication Complexity of symmetric XOR functions,0.248278
Polynomial method and graph bootstrap percolation,Asymptotic Density of Graphs Excluding Disconnected Minors,0.480905
Polynomial method and graph bootstrap percolation,Lower bounds for graph bootstrap percolation via properties of polynomials,1.0
"Teaching dimension, VC dimension, and critical sets in Latin squares",The Unbounded-Error Communication Complexity of symmetric XOR functions,0.394011
"Teaching dimension, VC dimension, and critical sets in Latin squares",Asymptotic Density of Graphs Excluding Disconnected Minors,0.344014
"Teaching dimension, VC dimension, and critical sets in Latin squares",Lower bounds for graph bootstrap percolation via properties of polynomials,0.386683
The Unbounded-Error Communication Complexity of symmetric XOR functions,Asymptotic Density of Graphs Excluding Disconnected Minors,0.295332
The Unbounded-Error Communication Complexity of symmetric XOR functions,Lower bounds for graph bootstrap percolation via properties of polynomials,0.248278
Asymptotic Density of Graphs Excluding Disconnected Minors,Lower bounds for graph bootstrap percolation via properties of polynomials,0.480905
