abstract_i,abstract_j,cosine_similarity
0,1,0.273206
0,2,0.272118
0,3,0.2568
0,4,-0.106504
0,5,0.03765
0,6,0.482984
0,7,-0.077726
0,8,-0.05171
0,9,0.348561
0,10,-0.065789
0,11,-0.066648
0,12,0.554004
0,13,0.239191
0,14,0.660507
0,15,0.059658
0,16,0.001027
0,17,0.28084
0,18,0.287582
0,19,0.12559
0,20,-0.025367
0,21,0.321401
0,22,0.126655
0,23,-0.011668
0,24,0.246757
0,25,0.191407
0,26,-0.014247
0,27,-0.031811
0,28,0.428619
1,2,0.256207
1,3,0.645843
1,4,-0.0724
1,5,-0.043714
1,6,0.289352
1,7,-0.032783
1,8,-0.04508
1,9,0.34132
1,10,-0.021428
1,11,-0.035176
1,12,0.335038
1,13,0.390452
1,14,0.232561
1,15,-0.03061
1,16,-0.027588
1,17,0.133217
1,18,0.543274
1,19,0.434122
1,20,-0.000271
1,21,0.6772
1,22,0.060961
1,23,-0.004918
1,24,0.530266
1,25,0.539694
1,26,-0.012644
1,27,-0.011676
1,28,0.429825
2,3,0.262925
2,4,-0.045672
2,5,-0.003833
2,6,0.307883
2,7,-0.020141
2,8,0.003677
2,9,0.359745
2,10,-0.00358
2,11,-0.011829
2,12,0.228227
2,13,0.401945
2,14,0.241327
2,15,0.026477
2,16,0.033131
2,17,0.073521
2,18,0.442461
2,19,0.128294
2,20,-0.035787
2,21,0.385237
2,22,0.07424
2,23,-0.008091
2,24,0.464918
2,25,0.402923
2,26,-0.008925
2,27,0.016137
2,28,0.261088
3,4,-0.082159
3,5,-0.008343
3,6,0.249891
3,7,-0.047327
3,8,-0.037856
3,9,0.294193
3,10,-0.039881
3,11,0.009511
3,12,0.215616
3,13,0.306153
3,14,0.193609
3,15,-0.005782
3,16,-0.007324
3,17,0.162074
3,18,0.474704
3,19,0.325259
3,20,-0.045737
3,21,0.544078
3,22,0.053436
3,23,-0.040473
3,24,0.581506
3,25,0.530911
3,26,-0.053724
3,27,-0.018737
3,28,0.349517
4,5,0.009969
4,6,-0.047488
4,7,0.575408
4,8,0.475542
4,9,-0.001532
4,10,0.242045
4,11,0.382242
4,12,-0.120716
4,13,-0.050592
4,14,-0.07761
4,15,-0.043796
4,16,-0.059573
4,17,-0.025079
4,18,-0.007844
4,19,-0.081266
4,20,0.222405
4,21,-0.026434
4,22,0.173826
4,23,0.477292
4,24,-0.080388
